"Name","Instance Count","Size (bytes)"
"java.lang.Integer",60252,964032
"java.util.HashMap$Node",24734,791488
"java.lang.Object[]",24454,974112
"java.nio.HeapByteBuffer",20505,1148280
"java.lang.String",20442,490608
"zmq.Msg",20235,1133160
"org.hamcrest.core.Is",19630,314080
"org.hamcrest.core.IsEqual",19618,313888
"org.zeromq.ZMQException",19616,784640
"java.lang.Long",15368,368832
"java.util.ArrayList",14211,341064
"org.zeromq.timer.ZTimer$Timer",10003,160048
"zmq.util.Timers$Timer",9982,399280
"byte[]",1644,1136176
"java.util.concurrent.ConcurrentHashMap$Node",926,29632
"java.lang.Object",519,8304
"java.util.LinkedHashMap$Entry",245,9800
"sun.util.locale.LocaleObjectCache$CacheEntry",207,8280
"java.lang.Class[]",180,4640
"java.util.HashMap$Node[]",177,13664
"java.util.LinkedHashMap",167,10688
"java.lang.ref.SoftReference",165,6600
"java.lang.Class",159,50880
"java.lang.invoke.BoundMethodHandle$Species_LL",136,5440
"sun.util.locale.BaseLocale",119,3808
"java.util.concurrent.locks.ReentrantLock",116,1856
"java.util.concurrent.locks.ReentrantLock$NonfairSync",110,3520
"java.lang.ThreadLocal$ThreadLocalMap$Entry",108,3456
"java.util.Locale",106,3392
"sun.util.locale.BaseLocale$Key",106,3392
"java.lang.invoke.MethodType",104,4160
"org.apache.maven.surefire.api.util.internal.ClassMethod",103,2472
"jdk.internal.util.WeakReferenceKey",95,3040
"java.lang.invoke.DirectMethodHandle",94,3760
"java.util.HashMap",92,4416
"int[]",88,13728
"sun.reflect.annotation.AnnotationInvocationHandler",76,1824
"java.util.LinkedHashMap$LinkedValues",75,1800
"java.lang.invoke.LambdaForm$Name",65,2080
"java.lang.String[]",63,2304
"java.security.Provider$ServiceKey",63,1512
"jdk.proxy2.$Proxy1",60,960
"org.apache.maven.surefire.api.util.internal.ImmutableMap$Node",54,1296
"jdk.internal.reflect.DirectMethodHandleAccessor",52,1664
"java.nio.StringCharBuffer",48,2688
"java.lang.Character$UnicodeBlock",43,688
"java.math.BigInteger",43,1720
"java.util.concurrent.ConcurrentHashMap",40,2560
"java.net.InetSocketAddress$InetSocketAddressHolder",39,936
"java.net.UnixDomainSocketAddress",39,624
"java.net.InetSocketAddress",38,608
"java.util.concurrent.ConcurrentHashMap$Node[]",37,21328
"java.lang.reflect.Method[]",34,1352
"java.nio.channels.spi.AbstractInterruptibleChannel$1",34,544
"sun.nio.ch.SocketChannelImpl",34,3808
"java.lang.ref.SoftReference[]",33,2640
"java.util.ArrayDeque",32,768
"java.io.FileDescriptor",31,1240
"java.lang.invoke.DirectMethodHandle$Constructor",29,1392
"sun.nio.fs.WindowsPath",29,1160
"java.net.Inet4Address",28,672
"java.util.HashSet",28,448
"java.lang.Byte",26,416
"java.net.InetAddress$InetAddressHolder",26,832
"java.util.concurrent.atomic.AtomicBoolean",26,416
"java.lang.Short",25,400
"sun.security.pkcs11.SunPKCS11$Descriptor",25,1000
"char[]",24,648
"java.lang.Class$ReflectionData",24,1536
"java.lang.reflect.Constructor[]",24,576
"java.util.concurrent.atomic.AtomicLong",24,576
"java.lang.invoke.LambdaForm$NamedFunction",23,552
"jdk.internal.reflect.DirectConstructorHandleAccessor",23,552
"sun.nio.ch.SourceChannelImpl",23,1288
"java.security.Provider$Service",22,1408
"sun.nio.ch.SinkChannelImpl",22,1232
"java.lang.invoke.LambdaForm$Name[]",21,888
"java.util.concurrent.ConcurrentLinkedDeque$Node",21,504
"java.lang.invoke.BoundMethodHandle$Species_LLLL",20,960
"java.lang.reflect.Method",19,1672
"java.lang.invoke.BoundMethodHandle$Species_L",18,720
"java.security.Provider$UString",17,408
"sun.nio.ch.SelectionKeyImpl",17,816
"java.lang.invoke.LambdaForm",16,768
"zmq.util.MultiMap",16,384
"java.lang.invoke.BoundMethodHandle$Species_LJ",14,672
"java.util.ArrayList$Itr",14,448
"zmq.Signaler",14,784
"zmq.pipe.YQueue$Chunk",14,448
"java.lang.invoke.MethodTypeForm",13,416
"java.lang.reflect.Field[]",13,232
"java.util.HashMap$EntrySet",13,208
"jdk.internal.module.ServicesCatalog$ServiceProvider",13,312
"sun.nio.ch.WEPollSelectorImpl",12,1152
"java.util.Collections$UnmodifiableSet",11,176
"java.util.concurrent.ConcurrentHashMap$KeySetView",11,264
"java.util.concurrent.ConcurrentLinkedQueue$Node",11,264
"org.junit.runners.model.FrameworkMethod",11,176
"zmq.util.MultiMap$EntryComparator",11,176
"char[][]",10,240
"java.lang.ThreadLocal$SuppliedThreadLocal",10,240
"java.lang.invoke.LambdaFormEditor$Transform",10,480
"java.util.Collections$UnmodifiableRandomAccessList",10,240
"java.util.concurrent.ConcurrentLinkedDeque",10,240
"java.lang.Class$AnnotationData",9,216
"java.lang.invoke.MethodHandleImpl$AsVarargsCollector",9,432
"java.nio.channels.SelectionKey[]",9,216
"java.security.spec.ECPoint",9,216
"java.util.Collections$SetFromMap",9,216
"java.util.concurrent.atomic.AtomicInteger",9,144
"jdk.internal.ref.CleanerImpl$PhantomCleanableRef",9,432
"java.lang.StringBuilder",8,192
"java.nio.DirectByteBuffer",8,512
"java.util.Collections$UnmodifiableCollection$1",8,192
"zmq.io.IOObject",8,192
"java.util.concurrent.ConcurrentLinkedQueue",7,168
"java.util.concurrent.CountDownLatch",7,112
"zmq.io.Metadata",7,112
"zmq.pipe.Pipe",7,672
"java.lang.Thread$FieldHolder",6,240
"java.lang.invoke.BoundMethodHandle$Species_LLLLL",6,336
"java.security.SecureRandom",6,384
"java.util.HashMap$EntryIterator",6,192
"java.util.concurrent.ConcurrentHashMap$MapEntry",6,144
"java.util.jar.Attributes$Name",6,144
"org.apache.maven.surefire.api.util.internal.ImmutableMap",6,144
"sun.nio.ch.PipeImpl",6,144
"sun.nio.ch.Util$2",6,96
"zmq.Mailbox",6,192
"zmq.poll.Poller$Handle",6,192
"java.lang.Package",5,160
"java.lang.Package$VersionInfo",5,200
"java.lang.ThreadLocal$ThreadLocalMap",5,120
"java.lang.invoke.LambdaFormEditor$TransformKey",5,120
"java.math.BigInteger[]",5,264
"java.util.HashMap$KeySet",5,80
"java.util.concurrent.atomic.AtomicReference",5,80
"java.util.concurrent.locks.AbstractQueuedSynchronizer$ConditionObject",5,120
"jdk.internal.module.SystemModuleFinders$SystemModuleReader",5,120
"jdk.internal.ref.Cleaner",5,200
"jdk.internal.util.StrongReferenceKey",5,80
"org.apache.maven.surefire.api.booter.ForkedProcessEventType",5,160
"sun.security.provider.MoreDrbgParameters",5,240
"sun.security.util.NamedCurve",5,200
"sun.security.util.ObjectIdentifier",5,160
"zmq.pipe.YPipe",5,160
"zmq.pipe.YQueue",5,240
