"Time [s]","Process load","System load"
0.0,0,0
1.01,12.32,36.7
2.01,13.89,33.91
3.01,7.64,27.33
4.02,2.6,26.35
5.02,0.78,20.75
6.03,0.51,19.32
7.03,0.64,22.03
8.03,1.43,22.23
9.04,2.33,20.79
10.04,3.63,25.81
11.04,0.25,19.36
12.04,0.25,20.3
13.05,0.52,18.33
14.05,0.25,20.2
15.05,1.56,22.08
16.06,1.68,25.54
17.06,11.85,30.99
18.06,23.08,50.83
19.07,12.48,31.86
20.07,12.95,33.68
21.07,4.03,25.46
22.07,13.8,40.36
23.08,3.62,20.49
24.08,15.06,44.26
25.09,10.1,35.1
26.09,13.52,33.04
27.09,9.09,31.86
28.09,3.65,26.69
29.09,2.33,22.74
30.1,2.33,25.41
31.1,0.91,20.31
32.1,0.77,22.66
33.11,1.55,22.95
34.11,2.47,22.62
35.11,1.17,24.59
36.11,2.59,25.2
37.12,1.17,15.21
38.12,12.07,35.17
39.12,1.03,24.66
40.12,0.64,19.63
41.13,0.39,21.96
42.13,0.9,11.43
43.13,1.17,3.76
44.13,1.04,8.06
45.14,0.78,7.65
46.14,1.03,10.63
47.15,0.38,6.74
48.15,0.39,8.95
49.15,0.52,7.15
50.16,0.9,7.13
51.16,0.91,6.38
52.16,0.9,6.23
53.16,1.03,6.36
54.17,0.77,7.25
55.17,0.39,5.72
56.17,0.77,7.8
57.17,1.43,5.85
58.18,0.52,7.26
59.18,0.64,6.73
60.19,0.39,4.67
61.19,0.25,7.54
62.19,1.03,9.59
63.2,0.9,3.63
64.2,0.52,6.48
65.21,1.29,9.46
66.21,1.04,4.55
67.21,0.39,7.01
68.22,0.78,7.91
69.22,0.64,2.47
70.22,1.16,6.87
71.23,10.1,22.93
72.23,9.09,21.69
73.23,6.35,21.78
74.23,0.12,15.24
75.24,1.03,6.47
76.24,0.13,5.2
77.25,0.64,6.61
78.25,1.17,5.19
79.25,0.38,5.19
80.26,0.52,7.14
81.26,0.9,5.84
82.26,0.78,4.68
83.27,0.25,7.51
84.27,1.04,4.81
85.27,0.52,5.18
86.28,0.51,6.87
87.28,0.64,3.64
88.28,0.65,7.4
89.28,0.25,7.01
90.29,0.78,6.23
91.29,0.51,5.72
92.29,1.04,8.19
93.29,8.96,12.6
94.3,11.94,16.61
95.3,12.17,20.33
96.31,10.88,16.84
97.31,14.42,17.02
98.31,11.04,17.14
99.32,10.36,15.29
100.32,11.07,15.23
101.32,3.5,9.76
102.32,0,6.87
103.32,0.78,4.54
104.33,2.33,7.9
105.33,3.5,9.74
106.34,1.17,7.66
107.34,1.55,6.35
108.34,0.78,6.37
109.35,6.74,11.8
110.35,6.25,12.75
111.35,0.77,6.49
112.35,3.77,9.74
113.36,13.86,20.23
114.36,9.72,17.11
115.37,14.91,22.44
116.37,17.05,20.3
117.37,10.65,16.89
118.37,9.32,16.45
119.38,9.75,12.61
120.38,11.93,16.99
121.38,14.39,20.36
122.39,8.84,13.13
123.39,8.94,12.32
124.39,9.5,14.32
125.39,8.84,13.24
126.4,12.35,15.6
127.4,17.39,23.62
128.41,18.65,25
129.41,13.09,17.63
130.42,14.26,18.28
131.42,22.22,28.32
132.42,9.06,16.58
133.43,8.94,11.53
134.43,10.27,15.47
135.43,10.63,17.12
136.44,11.15,15.94
137.44,11.44,15.6
138.44,8.83,14.42
139.45,11.54,15.95
140.45,12.58,17.5
141.45,10,15.07
142.46,9.71,15.67
143.46,10.13,12.74
144.46,10.93,18.86
145.47,18.91,26.81
146.47,21.14,28.4
147.47,18.3,26.61
148.48,18.82,26.48
149.48,18.32,29.49
150.48,17.84,22.78
151.48,19,27.73
152.48,19.73,30.64
153.49,16.87,21.02
154.49,17.43,24.58
155.49,17.91,24.53
156.49,18.35,32.42
157.5,17.91,37.52
158.5,19.56,41.84
159.51,18.78,40.16
160.51,17.97,39.84
161.51,17.83,25.26
162.51,18.28,25.41
163.52,17,22.33
164.52,17.49,25.52
165.52,17.69,25.49
166.53,17.5,23.86
167.53,21.63,36.15
168.54,18.45,25.85
169.54,18.69,25.44
170.54,18.21,23.4
171.54,18.35,24.6
172.54,17.83,25.39
173.55,17.53,21.8
174.55,17.11,24.76
175.56,16.97,23.83
176.56,20.05,26.82
177.56,17.77,24.38
178.57,18.02,26.97
179.57,17.18,25.9
180.57,18.55,23.34
181.57,17.13,24.4
182.58,18.45,25.08
183.58,20,23.38
184.58,17.97,25.91
185.58,17.57,25.25
186.58,16.6,21.26
187.59,16.63,20.79
188.59,15.74,22.63
189.59,23.49,30.5
190.59,9.62,13.91
191.6,10.11,15.95
192.6,12.32,18.04
193.61,10.88,14.63
194.61,10.67,16.66
195.61,8.59,13.15
196.61,9.1,10.93
197.62,12.3,21.5
198.62,8.46,14.05
199.62,10.13,12.6
200.62,9.98,15.68
201.63,10.52,15.2
202.63,10.78,16.63
203.63,9.5,13.15
204.63,9.08,15.17
205.64,10.1,16.6
206.64,10.65,21.67
207.64,10.26,16.11
208.65,9.85,16.07
209.65,8.82,11.27
210.65,8.45,13.91
211.66,9.58,14.25
212.66,8.96,10.78
213.66,8.96,13.38
214.67,9.87,15.18
215.67,11.56,14.55
216.67,14.05,25.24
217.67,10.15,17.57
218.67,10.13,15.59
219.68,8.69,11.93
220.68,8.43,15.29
221.68,9.09,12.87
222.69,8.72,12.1
223.69,8.85,13.28
224.69,10,18.06
225.69,9.11,12.24
226.69,9.2,15.95
227.69,8.45,17.16
228.7,11.05,15.09
230.14,8.65,14.24
