"Time [s]","Committed size","Free size","Used size"
0.0,258048000,249172000,8876000
1.0,258048000,237076000,20972000
2.0,258048000,247823000,10225000
3.01,258048000,243843000,14205000
4.01,258048000,242334000,15714000
5.01,258048000,242116000,15932000
6.01,258048000,209129000,48919000
7.01,258048000,159424000,98624000
8.02,258048000,159424000,98624000
9.02,258048000,158866000,99182000
10.02,258048000,156216000,101832000
11.02,258048000,155998000,102050000
12.02,258048000,155998000,102050000
13.03,258048000,155998000,102050000
14.03,258048000,155998000,102050000
15.03,258048000,155998000,102050000
16.03,28672000,16970000,11702000
17.03,28672000,12434000,16238000
18.04,30720000,19728000,10992000
19.04,30720000,23494000,7226000
20.04,30720000,10209000,20511000
21.04,145408000,130223000,15185000
22.04,145408000,119234000,26174000
23.05,145408000,106076000,39332000
24.05,145408000,119532000,25876000
25.05,145408000,90577000,54831000
26.06,145408000,61496000,83912000
27.06,145408000,129461000,15947000
28.06,145408000,124464000,20944000
29.07,145408000,118600000,26808000
30.07,145408000,112456000,32952000
31.07,145408000,105766000,39642000
32.07,145408000,99328000,46080000
33.08,145408000,94016000,51392000
34.08,145408000,88248000,57160000
35.08,145408000,81736000,63672000
36.08,145408000,77360000,68048000
37.08,145408000,138315000,7093000
38.09,145408000,133816000,11592000
39.09,145408000,133816000,11592000
40.09,145408000,133461000,11947000
41.1,145408000,133459000,11949000
42.1,145408000,133459000,11949000
43.1,145408000,133456000,11952000
44.11,145408000,133456000,11952000
45.11,145408000,133453000,11955000
46.11,145408000,133453000,11955000
47.12,145408000,133453000,11955000
48.12,145408000,133450000,11958000
49.12,145408000,133450000,11958000
50.13,145408000,133015000,12393000
51.13,145408000,133015000,12393000
52.13,145408000,133015000,12393000
53.14,145408000,133012000,12396000
54.14,145408000,133012000,12396000
55.14,145408000,133012000,12396000
56.14,145408000,133009000,12399000
57.14,145408000,133009000,12399000
58.15,145408000,133006000,12402000
59.15,145408000,133006000,12402000
60.15,145408000,132796000,12612000
61.16,145408000,132781000,12627000
62.16,145408000,132781000,12627000
63.16,145408000,132781000,12627000
64.17,145408000,132778000,12630000
65.17,145408000,132778000,12630000
66.17,145408000,132775000,12633000
67.17,145408000,132775000,12633000
68.18,145408000,125401000,20007000
69.18,145408000,138442000,6966000
70.18,145408000,91513000,53895000
71.19,145408000,91513000,53895000
72.19,145408000,91510000,53898000
73.19,145408000,91507000,53901000
74.2,145408000,91504000,53904000
75.2,145408000,91504000,53904000
76.2,145408000,91498000,53910000
77.2,145408000,91498000,53910000
78.21,145408000,91498000,53910000
79.21,145408000,91492000,53916000
80.22,145408000,91343000,54065000
81.22,145408000,91340000,54068000
82.23,145408000,91337000,54071000
83.23,145408000,91334000,54074000
84.23,145408000,90914000,54494000
85.24,145408000,90908000,54500000
86.24,145408000,90908000,54500000
87.24,145408000,90902000,54506000
