"Name","Instance Count","Size (bytes)"
"java.lang.Integer",51302,820832
"java.util.HashMap$Node",28718,918976
"java.lang.Object[]",28339,1204328
"java.lang.Long",19299,463176
"java.util.ArrayList",18304,439296
"java.lang.String",17715,425160
"zmq.core.Msg",17329,970424
"java.nio.HeapByteBuffer",17271,967176
"org.hamcrest.core.IsEqual",16794,268704
"org.hamcrest.core.Is",16789,268624
"org.zeromq.ZMQException",16788,671520
"zmq.util.Timers$Timer",9996,399840
"byte[]",1620,1157328
"org.zeromq.timer.Timer",1312,20992
"java.util.concurrent.ConcurrentHashMap$Node",914,29248
"java.lang.Object",445,7120
"java.util.LinkedHashMap$Entry",260,10400
"sun.util.locale.LocaleObjectCache$CacheEntry",236,9440
"java.util.HashMap$Node[]",179,11592
"java.lang.Class[]",168,4240
"java.util.LinkedHashMap",153,9792
"java.lang.Class",151,48320
"java.lang.ref.SoftReference",140,5600
"java.lang.invoke.BoundMethodHandle$Species_LL",138,5520
"java.util.Locale",117,3744
"sun.util.locale.BaseLocale",107,3424
"sun.util.locale.BaseLocale$Key",107,3424
"org.apache.maven.surefire.api.util.internal.ClassMethod",105,2520
"java.lang.invoke.MethodType",99,3960
"java.lang.invoke.DirectMethodHandle",95,3800
"jdk.internal.util.WeakReferenceKey",84,2688
"java.lang.ThreadLocal$ThreadLocalMap$Entry",83,2656
"int[]",81,12320
"sun.reflect.annotation.AnnotationInvocationHandler",78,1872
"java.util.LinkedHashMap$LinkedValues",75,1800
"java.util.HashMap",69,3312
"jdk.proxy2.$Proxy1",65,1040
"java.util.concurrent.locks.ReentrantLock",63,1008
"java.lang.invoke.LambdaForm$Name",62,1984
"java.security.Provider$ServiceKey",61,1464
"jdk.internal.reflect.DirectMethodHandleAccessor",56,1792
"org.apache.maven.surefire.api.util.internal.ImmutableMap$Node",54,1296
"java.util.concurrent.locks.ReentrantLock$NonfairSync",53,1696
"java.lang.String[]",45,1464
"java.math.BigInteger",45,1800
"java.lang.reflect.Method[]",44,1912
"java.nio.StringCharBuffer",44,2464
"java.lang.ref.SoftReference[]",43,3224
"java.lang.invoke.DirectMethodHandle$Constructor",38,1824
"java.net.UnixDomainSocketAddress",36,576
"sun.nio.fs.WindowsPath",35,1400
"java.util.HashMap$EntrySet",30,480
"java.net.InetSocketAddress",29,464
"java.io.FileDescriptor",27,1080
"java.lang.invoke.BoundMethodHandle$Species_LLLL",27,1296
"java.lang.Byte",26,416
"java.lang.Class$ReflectionData",26,1664
"java.lang.Short",26,416
"sun.security.pkcs11.SunPKCS11$Descriptor",25,1000
"char[]",24,3376
"java.net.InetAddress$InetAddressHolder",24,768
"java.lang.Character$UnicodeBlock",23,368
"java.lang.invoke.LambdaForm",23,1104
"java.lang.invoke.LambdaForm$Name[]",23,1056
"java.net.Inet4Address",23,552
