"Name","Instance Count","Size (bytes)"
"byte[]",919,52360
"java.util.concurrent.ConcurrentHashMap$Node",629,20128
"java.lang.String",482,11568
"java.lang.Integer",409,6544
"java.util.HashMap$Node",343,10976
"java.lang.Object",224,3584
"sun.util.locale.LocaleObjectCache$CacheEntry",214,8560
"java.lang.Class",120,38400
"java.lang.ref.SoftReference",117,4680
"java.lang.Object[]",112,7184
"java.util.Locale",104,3328
"sun.util.locale.BaseLocale",103,3296
"sun.util.locale.BaseLocale$Key",96,3072
"int[]",67,6320
"java.security.Provider$ServiceKey",67,1608
"java.lang.Class[]",55,1416
"java.util.HashMap",55,2640
"jdk.internal.util.WeakReferenceKey",49,1568
"java.util.ArrayList",46,1104
"java.lang.String[]",39,1528
"java.util.concurrent.locks.ReentrantLock$NonfairSync",38,1216
"java.lang.invoke.MethodType",35,1400
"java.math.BigInteger",35,1400
"char[]",34,6144
"java.lang.Character$UnicodeBlock",33,528
"java.util.concurrent.locks.ReentrantLock",32,512
"java.util.HashMap$Node[]",31,3024
"java.nio.HeapByteBuffer",30,1680
"java.lang.Byte",26,416
"java.lang.Short",25,400
"java.lang.StringBuilder",25,600
"java.util.LinkedHashMap$Entry",25,1000
"java.security.Provider$Service",22,1408
"java.nio.StringCharBuffer",21,1176
"sun.security.pkcs11.SunPKCS11$Descriptor",21,840
"java.lang.invoke.LambdaForm$Name",20,640
"jdk.internal.ref.CleanerImpl$PhantomCleanableRef",20,960
"java.security.Provider$UString",18,432
"zmq.Signaler$$Lambda.0x00000000881af0c0",17,272
"sun.nio.fs.WindowsPath",16,640
"java.io.FileDescriptor",15,600
"java.net.UnixDomainSocketAddress",15,240
"java.util.HashMap$KeyIterator",14,448
"java.util.concurrent.ConcurrentHashMap",14,896
"sun.nio.fs.WindowsPathParser$Result",14,336
"zmq.Command",14,336
"java.util.LinkedHashMap",13,832
"java.util.concurrent.ConcurrentLinkedDeque$Node",13,312
"java.lang.ThreadLocal$ThreadLocalMap$Entry",12,384
"java.util.HashMap$EntrySet",12,192
"jdk.internal.module.ServicesCatalog$ServiceProvider",12,288
"java.net.InetSocketAddress",11,176
"java.util.concurrent.ConcurrentHashMap$Node[]",11,9200
"zmq.Signaler$$Lambda.0x00000000881af6e8",11,176
"byte[][]",10,320
"char[][]",10,240
"java.lang.reflect.Method[]",10,256
"java.net.Inet4Address",10,240
"java.nio.channels.spi.AbstractInterruptibleChannel$1",10,160
"sun.nio.ch.SelectionKeyImpl",10,480
"java.lang.ref.SoftReference[]",9,728
"java.net.InetAddress$InetAddressHolder",9,288
"java.net.InetSocketAddress$InetSocketAddressHolder",9,216
"java.util.ArrayList$Itr",9,288
"java.lang.Class$ReflectionData",8,512
"java.lang.invoke.DirectMethodHandle$Constructor",8,384
"java.lang.reflect.Method",8,704
"java.util.HashSet",8,128
"sun.nio.ch.PipeImpl$Initializer$LoopbackConnector",8,128
"java.lang.Long",7,168
"java.lang.ThreadLocal$SuppliedThreadLocal",7,168
"java.lang.invoke.DirectMethodHandle",7,280
"java.nio.channels.SelectionKey[]",7,168
"java.security.DrbgParameters$NextBytes",7,168
"java.lang.Package",6,192
"java.lang.invoke.LambdaForm$NamedFunction",6,144
"java.lang.invoke.MethodHandleNatives$CallSiteContext",6,192
"java.net.URL",6,384
"java.security.spec.ECFieldFp",6,96
"java.util.ArrayDeque",6,144
"java.util.Collections$SetFromMap",6,144
"java.util.concurrent.locks.AbstractQueuedSynchronizer$ConditionNode",6,192
"java.util.regex.Pattern$GroupTail",6,144
"org.apache.maven.surefire.api.util.internal.ImmutableMap$Node",6,144
"sun.nio.ch.SocketChannelImpl",6,672
