"Name","Instance Count","Size (bytes)"
"byte[]",810,48272
"java.lang.String",640,15360
"java.util.concurrent.ConcurrentHashMap$Node",608,19456
"java.lang.Integer",396,6336
"java.util.HashMap$Node",340,10880
"java.lang.Object",233,3728
"sun.util.locale.LocaleObjectCache$CacheEntry",217,8680
"java.lang.ref.SoftReference",121,4840
"java.util.Locale",115,3680
"java.lang.Object[]",109,6528
"sun.util.locale.BaseLocale",109,3488
"sun.util.locale.BaseLocale$Key",105,3360
"java.lang.Class",102,32640
"java.util.ArrayList",61,1464
"int[]",54,2272
"java.util.HashMap",53,2544
"java.security.Provider$ServiceKey",52,1248
"java.lang.Class[]",50,1304
"java.lang.String[]",50,1544
"java.math.BigInteger",44,1760
"java.lang.invoke.MethodType",41,1640
"jdk.internal.util.WeakReferenceKey",40,1280
"java.util.concurrent.locks.ReentrantLock$NonfairSync",32,1024
"char[]",31,21984
"java.util.concurrent.locks.ReentrantLock",28,448
"java.lang.Character$UnicodeBlock",27,432
"java.util.HashMap$Node[]",27,2936
"java.lang.Byte",26,416
"java.lang.Short",25,400
"java.nio.HeapByteBuffer",25,1400
"java.util.LinkedHashMap$Entry",24,960
"java.lang.StringBuilder",22,528
"java.util.HashMap$EntrySet",22,352
"zmq.Signaler$$Lambda.0x00000000b91b4ee8",22,352
"sun.security.pkcs11.SunPKCS11$Descriptor",20,800
"java.net.UnixDomainSocketAddress",19,304
"java.nio.StringCharBuffer",19,1064
"java.security.Provider$Service",18,1152
"sun.nio.fs.WindowsPathParser$Result",18,432
"java.util.concurrent.ConcurrentHashMap",17,1088
"sun.nio.fs.WindowsPath",17,680
"java.lang.invoke.LambdaForm$Name",15,480
"java.nio.channels.spi.AbstractInterruptibleChannel$1",15,240
"java.lang.ThreadLocal$ThreadLocalMap$Entry",14,448
"java.security.Provider$UString",14,336
"java.io.FileDescriptor",13,520
"java.lang.invoke.DirectMethodHandle",13,520
"jdk.internal.module.ServicesCatalog$ServiceProvider",13,312
"jdk.internal.ref.CleanerImpl$PhantomCleanableRef",13,624
"zmq.Signaler$$Lambda.0x00000000b91b5748",13,208
"java.net.InetSocketAddress",12,192
"java.util.concurrent.ConcurrentLinkedDeque$Node",12,288
"zmq.Command",12,288
"java.util.LinkedHashMap",11,704
"java.util.concurrent.ConcurrentHashMap$Node[]",11,4912
"char[][]",10,240
"java.lang.invoke.DirectMethodHandle$Constructor",10,480
"java.net.InetAddress$InetAddressHolder",10,320
"java.util.HashMap$KeyIterator",10,320
"java.lang.Package$VersionInfo",9,360
"java.lang.invoke.BoundMethodHandle$Species_LL",9,360
"java.lang.ref.SoftReference[]",9,464
"sun.nio.ch.SocketChannelImpl",9,1008
"java.lang.Class$ReflectionData",8,512
