"Name","Instance Count","Size (bytes)"
"byte[]",752,83920
"java.lang.String",672,16128
"java.util.concurrent.ConcurrentHashMap$Node",636,20352
"java.lang.Integer",393,6288
"java.util.HashMap$Node",329,10528
"sun.util.locale.LocaleObjectCache$CacheEntry",224,8960
"java.lang.Object",197,3152
"java.lang.ref.SoftReference",117,4680
"sun.util.locale.BaseLocale$Key",105,3360
"sun.util.locale.BaseLocale",103,3296
"java.lang.Class",102,32640
"java.lang.Object[]",97,15240
"java.util.Locale",97,3104
"int[]",75,7128
"java.security.Provider$ServiceKey",67,1608
"java.util.ArrayList",60,1440
"java.lang.String[]",58,1720
"java.lang.Class[]",50,1288
"java.lang.Character$UnicodeBlock",43,688
"java.util.HashMap",42,2016
"jdk.internal.util.WeakReferenceKey",42,1344
"java.util.HashMap$Node[]",41,8976
"java.math.BigInteger",40,1600
"java.util.concurrent.locks.ReentrantLock$NonfairSync",40,1280
"java.lang.invoke.MethodType",35,1400
"java.util.LinkedHashMap$Entry",32,1280
"java.nio.HeapByteBuffer",31,1736
"java.util.concurrent.locks.ReentrantLock",31,496
"char[]",29,3936
"java.lang.Byte",26,416
"java.lang.Short",26,416
"sun.security.pkcs11.SunPKCS11$Descriptor",25,1000
"java.nio.channels.spi.AbstractInterruptibleChannel$1",22,352
"java.security.Provider$Service",21,1344
"java.lang.StringBuilder",20,480
"java.security.Provider$UString",20,480
"sun.nio.fs.WindowsPath",20,800
"sun.nio.fs.WindowsPathParser$Result",19,456
"java.nio.StringCharBuffer",18,1008
"java.lang.invoke.LambdaForm$Name",16,512
"jdk.internal.ref.CleanerImpl$PhantomCleanableRef",16,768
"zmq.Signaler$$Lambda.0x00000000891af870",16,256
"java.io.FileDescriptor",15,600
"java.util.concurrent.ConcurrentHashMap",15,960
"java.net.UnixDomainSocketAddress",14,224
"java.util.HashMap$EntrySet",14,224
"zmq.core.Command",14,336
"java.lang.ThreadLocal$ThreadLocalMap$Entry",13,416
"java.util.TreeMap$Entry",13,520
"java.util.concurrent.ConcurrentHashMap$Node[]",13,9520
"zmq.Signaler$$Lambda.0x00000000891b4238",13,208
"byte[][]",12,384
"java.util.HashMap$KeyIterator",12,384
"java.util.concurrent.ConcurrentLinkedDeque$Node",12,288
"char[][]",11,264
"java.lang.invoke.DirectMethodHandle",11,440
"jdk.internal.module.ServicesCatalog$ServiceProvider",11,264
"java.lang.ref.SoftReference[]",10,584
"java.security.DrbgParameters$NextBytes",10,240
"java.util.ArrayList$Itr",10,320
"sun.nio.ch.SelectionKeyImpl",10,480
"java.lang.Package",9,288
"java.net.InetSocketAddress",9,144
"java.net.InetSocketAddress$InetSocketAddressHolder",9,216
"java.nio.channels.SelectionKey[]",9,216
"sun.nio.ch.SocketChannelImpl",9,1008
"java.lang.reflect.Method",8,704
"java.net.SocketAddress[]",8,192
"java.util.HashSet",8,128
"sun.security.util.NamedCurve",8,320
"java.lang.Package$VersionInfo",7,280
"java.lang.invoke.DirectMethodHandle$Constructor",7,336
"java.lang.invoke.LambdaForm",7,336
"java.lang.invoke.MethodHandleNatives$CallSiteContext",7,224
"java.net.Inet4Address",7,168
"java.util.concurrent.CopyOnWriteArrayList",7,168
"sun.nio.ch.PipeImpl$Initializer$LoopbackConnector",7,112
"sun.nio.ch.SinkChannelImpl",7,392
"java.lang.Class$ReflectionData",6,384
"java.lang.invoke.LambdaForm$NamedFunction",6,144
"java.lang.invoke.MethodTypeForm",6,192
"java.util.concurrent.locks.AbstractQueuedSynchronizer$ConditionNode",6,192
"org.apache.maven.surefire.api.util.internal.ImmutableMap$Node",6,144
"sun.nio.ch.PipeImpl$Initializer",6,192
"sun.nio.ch.SocketOptionRegistry$RegistryKey",6,144
"sun.security.util.ObjectIdentifier",6,192
"zmq.core.Msg$Builder",6,336
"zmq.io.StreamEngine$$Lambda.0x00000000891b2440",6,96
"java.io.File",5,160
"java.io.ObjectStreamField",5,200
"java.lang.invoke.BoundMethodHandle$Species_LL",5,200
"java.lang.invoke.VarHandle$AccessDescriptor",5,200
"java.lang.reflect.Method[]",5,128
"java.net.InetAddress$InetAddressHolder",5,160
"java.util.Collections$SetFromMap",5,120
"java.util.concurrent.locks.AbstractQueuedSynchronizer$ConditionObject",5,120
"zmq.util.Utils$$Lambda.0x0000000089193000",5,80
"boolean[]",4,840
"java.lang.Long",4,96
"java.lang.ref.ReferenceQueue",4,128
"java.math.BigInteger[]",4,160
"java.nio.channels.SelectableChannel[]",4,96
"java.security.ProtectionDomain$Key",4,64
"java.security.spec.EllipticCurve",4,128
"java.util.ArrayDeque",4,96
"java.util.HashMap$KeySet",4,64
"java.util.concurrent.atomic.AtomicInteger",4,64
"java.util.jar.Attributes$Name",4,96
"jdk.internal.ref.Cleaner",4,160
"sun.nio.ch.PipeImpl",4,96
"sun.nio.ch.WEPollSelectorImpl",4,384
"sun.nio.fs.WindowsFileAttributes",4,256
"zmq.core.Msg",4,224
"zmq.util.erno.Errno",4,64
"java.io.RandomAccessFile",3,120
"java.lang.RuntimePermission",3,72
"java.lang.ThreadLocal$SuppliedThreadLocal",3,72
"java.lang.invoke.BoundMethodHandle$Species_L",3,120
"java.lang.invoke.LambdaFormEditor$Transform",3,144
"java.lang.reflect.Constructor[]",3,72
"java.net.URL",3,192
"java.nio.DirectByteBuffer",3,192
"java.security.CodeSource",3,120
"java.security.spec.ECFieldF2m",3,72
"java.text.DateFormat$Field",3,72
"java.util.Collections$UnmodifiableSet",3,48
"java.util.Optional",3,48
"java.util.concurrent.ConcurrentHashMap$KeySetView",3,72
"java.util.concurrent.ConcurrentHashMap$MapEntry",3,72
"java.util.concurrent.ConcurrentLinkedQueue$Node",3,72
"java.util.concurrent.CountDownLatch$Sync",3,96
"jdk.internal.module.SystemModuleFinders$SystemModuleReader",3,72
"jdk.internal.util.StrongReferenceKey",3,48
"org.hamcrest.core.IsNull",3,48
"sun.nio.ch.SourceChannelImpl",3,168
"sun.nio.ch.Util$BufferCache",3,72
"sun.nio.fs.NativeBuffer$Deallocator",3,72
"sun.reflect.annotation.AnnotationInvocationHandler",3,72
"sun.security.provider.DRBG",3,72
"zmq.Signaler",3,168
"zmq.Signaler$$Lambda.0x00000000891b9bd0",3,48
"zmq.Signaler$$Lambda.0x00000000891b9df0",3,48
"zmq.io.Metadata",3,48
"zmq.io.coder.decoder.MessageReady",3,48
"zmq.io.coder.encoder.Encoder$$Lambda.0x00000000891b1bb0",3,48
"zmq.io.coder.v2.V2Decoder",3,240
"zmq.io.mechanism.Mechanism$$Lambda.0x00000000891b9760",3,48
"zmq.util.value.ValueReference",3,48
"java.io.FileCleanable",2,112
"java.lang.NamedPackage",2,48
"java.lang.Thread$FieldHolder",2,80
"java.lang.invoke.DirectMethodHandle$Accessor",2,96
"java.lang.invoke.Invokers",2,48
"java.lang.invoke.LambdaForm$Name[]",2,88
"java.lang.invoke.LambdaFormEditor",2,32
"java.lang.reflect.Constructor",2,144
"java.lang.reflect.Field",2,144
"java.nio.file.attribute.FileAttribute[]",2,32
"java.security.BasicPermissionCollection",2,48
"java.security.Permissions",2,48
"java.security.Principal[]",2,32
"java.security.ProtectionDomain",2,80
"java.security.ProtectionDomain[]",2,72
"java.security.SecureClassLoader$CodeSourceKey",2,32
"java.security.spec.ECPoint",2,48
"java.util.Collections$UnmodifiableCollection$1",2,48
