"Time [s]","Process load","System load"
0.0,0,0
1.01,14.4,24.53
2.01,10.63,18.15
3.03,24.02,36.04
4.03,17.46,27.36
5.03,25.9,33.2
6.03,19.53,31.25
7.03,20.83,28.51
8.04,24.4,35.83
9.04,14.8,26.47
10.04,11.85,20.59
11.04,12.85,20.63
12.05,14.8,25.44
13.05,30.82,36.67
14.1,25.34,37.39
15.1,16.95,23.74
16.1,18.27,25.52
17.1,20.91,29.63
18.1,21.33,29.26
19.11,15.47,26.27
20.11,21.65,32.29
21.11,13.38,19.75
22.11,23.43,31.9
23.12,26.58,35.79
24.12,24.32,31.99
25.12,20.64,29.46
26.13,19.61,28.85
27.13,15.49,22.52
28.13,27.26,36.87
29.13,19.79,27.34
30.13,12.5,19.65
31.13,13.01,24.35
32.13,16.74,26.87
33.14,10.79,16.9
34.14,14.25,22.3
35.32,9.98,20.3
36.32,15.85,22.6
37.32,18.02,31.25
38.33,13.75,23.88
39.33,14.76,25
40.33,13.52,24.7
41.33,8.59,13.4
42.54,14.69,23.55
43.54,17.72,27.36
44.54,10.4,17.82
45.54,18.73,29.27
46.55,19.99,31.8
47.55,10.02,14.58
48.55,16.07,29.56
49.55,9.87,20.12
50.55,14.17,20.29
51.56,10.38,21.02
52.56,9.09,20.91
53.57,9.98,22.56
54.57,10.26,22.08
55.57,12.45,19.45
56.73,9.34,21.62
57.73,15.57,29.33
58.74,12.84,21.66
59.74,12.48,21.85
60.74,13.93,23.56
61.74,16.1,27.54
62.74,11.32,26.4
63.74,11.7,25.24
64.75,11.54,23.47
65.75,10.62,25.77
66.75,11.18,21.2
67.76,11.56,19.75
68.76,13.99,29.92
69.76,17.93,36.77
70.77,19.45,29.44
71.77,21.67,35.95
72.77,12.89,23.3
73.78,10.64,23.88
74.78,9.98,23.21
75.78,10.02,23.15
76.78,8.96,19.88
77.79,9.6,21.28
78.79,8.72,19.27
79.79,8.69,21.93
80.79,7.55,23.83
81.79,13.52,23.15
82.8,7.66,20.65
83.8,10.49,27.24
84.8,11.41,21.65
85.81,8.84,21.2
86.81,8.69,22.98
87.81,9.61,19.87
88.82,10.76,26.32
89.82,8.44,19.73
90.82,13.36,25.44
91.83,12.19,31.5
92.83,8.45,20.45
93.83,10.26,19.85
94.83,8.43,22.33
95.83,10.14,23.8
96.84,8.18,20.65
97.84,10.91,23.13
98.84,7.52,20.5
99.85,9.33,17.77
100.85,7.25,20.08
101.86,14.4,27.23
102.86,10.78,19.77
103.86,7.16,22.4
104.86,7.8,20.3
105.86,10.25,22.95
106.87,8.32,20.81
107.87,6.36,18.83
108.87,8.05,18.84
109.87,8.72,23.44
110.87,8.58,21.97
111.88,9.58,21.37
112.88,8.2,24.6
113.88,7.38,22.44
114.88,8.05,22.6
115.89,7.92,22.61
116.89,7.68,18.35
117.89,7.42,19.79
118.89,6.62,19.6
119.89,6.23,18.95
120.9,7.68,18.1
121.9,6.6,19.97
122.9,7.41,16.63
123.9,8.57,17.93
124.9,9.36,21.46
125.91,8.69,16.99
127.21,9.23,16.05
128.21,10.11,18.95
129.22,9.58,17.86
130.22,7.69,15.5
131.22,8.59,18.1
132.22,8.72,18.61
133.22,8.95,16.22
134.23,8.8,19.82
135.25,9.47,15.73
136.25,8.44,17.94
137.25,12.86,21.7
138.25,9.09,17.01
139.35,9.56,18.55
140.36,8.6,19.65
141.36,9.98,16.6
142.36,11.17,20.79
143.37,8.94,16.85
144.37,7.4,19.1
145.37,7.39,21.53
146.38,8.98,20.44
147.38,7.52,14.67
148.38,7.42,17.57
149.38,8.44,18.95
150.38,10.41,15.1
151.39,8.44,18.71
152.39,10.39,19.75
153.39,10.52,16.5
154.39,9.23,18.21
155.4,8.58,16.38
156.4,9.5,16.93
157.4,8.3,18.69
158.4,11.32,16.4
159.4,8.99,16.27
160.65,8.41,17.78
161.65,9.78,19.7
162.65,10.25,22.58
163.66,9.74,22.22
164.66,10.79,17.69
165.66,12.09,22.63
166.66,8.95,20.25
167.66,8.32,13.65
168.67,9.63,22.63
169.67,10.65,24.69
170.67,7.01,20.5
171.67,7.54,21.47
172.68,8.7,22.99
173.68,9.34,16.74
174.68,9.63,21.22
175.68,8.05,19.08
176.69,8.55,14.52
177.69,8.2,15.75
178.69,8.2,17.7
179.69,8.17,14.02
180.69,8.46,17.44
181.69,8.72,18.36
182.7,8.3,13.35
183.7,8.81,19.32
184.7,7.52,17.78
185.71,9.62,18.18
186.71,8.44,17.94
187.71,9.48,18.06
188.71,8.31,21.44
189.71,8.06,19.12
190.72,8.83,18.06
191.72,10.26,17.65
192.72,8.69,19.6
193.72,9.1,17.69
194.73,8.3,21.13
195.73,10.53,22.24
196.73,8.83,16.11
197.74,8.31,19.49
198.74,8.2,20.81
199.74,8.05,17.79
200.74,7.01,21.31
201.75,11.8,23.59
202.75,9.24,17.19
203.75,8.3,21.55
205.01,7.63,15.67
206.02,8.32,20.16
207.02,6.88,20.65
208.02,7.8,21.46
209.02,7.8,17.04
210.03,7.64,18.78
211.06,7.52,17.19
212.07,8.3,17
213.07,7.51,18.8
214.07,6.76,18.83
215.07,8.31,16.37
216.08,8.44,17.67
217.08,8.59,19.92
218.08,7.93,15.47
219.08,8.05,19.23
220.09,9.19,18
221.09,7.26,16.1
222.09,10.93,23.02
223.09,9.23,22.62
224.16,8.16,13.89
225.17,9.97,22.28
226.17,8.07,18.61
227.17,10.53,20.55
228.17,10.78,24.3
229.17,9.62,23.93
230.18,9.47,20.12
231.18,10.12,21.02
232.18,7.28,16.52
233.18,7.94,19.65
234.18,7.03,16.53
235.19,7.66,15.59
236.19,9.47,19.86
237.19,10.15,18.22
238.19,8.3,18.43
239.2,7.91,18.82
240.2,8.2,19.53
241.2,7.66,19.75
242.2,8.58,19.09
243.21,16.75,31.96
244.21,8.05,21.04
245.21,7.01,19.1
246.21,7.79,18.97
247.22,6.61,14.13
248.22,8.45,20.81
249.22,8.31,17.79
250.22,8.06,16.15
251.22,8.99,19
252.22,7.94,17.96
253.23,8.3,14.8
254.23,8.29,22.02
255.23,8.31,16.37
256.24,9.07,16.6
257.24,8.06,18.07
258.24,8.94,17.38
259.25,8.17,18.16
260.25,8.32,19.89
261.25,9.84,14.38
262.26,10.37,19.44
263.26,11.17,21.44
264.27,12.32,19.73
265.27,10.76,20.48
266.27,8.69,18.17
267.28,8.18,12.08
268.28,8.69,20.9
269.28,8.7,16.1
270.28,8.19,14.68
271.29,9.34,18.95
272.29,8.54,18
273.29,8.96,16.24
274.29,8.07,18.22
275.3,8.03,15.43
276.3,8.33,16.27
277.3,8.69,15.69
278.3,7.93,13.52
279.31,9.36,19.5
280.31,9.08,17.92
281.31,8.72,14.19
282.39,8.1,18.49
283.39,8.58,15.35
284.39,8.33,13.54
285.39,8.33,15.88
286.52,8.2,16.04
287.52,8.2,13.28
288.52,8.59,17.57
289.52,8.43,15.95
290.76,8.51,16.19
291.76,8.98,18.99
292.77,8.96,20.65
293.77,8.69,13.23
294.78,8.69,19.73
295.78,8.69,17.11
296.78,9.09,14.16
297.78,8.45,16.91
298.79,7.92,14.81
299.79,8.59,16.53
300.79,8.3,19.73
301.79,8.3,15.96
302.79,9.11,16.8
303.93,9.32,16.47
304.92,8.09,16.04
305.93,8.56,17.26
306.93,8.05,18.45
307.93,8.33,14.58
308.93,8.45,13.52
309.93,8.44,17.94
310.97,8.38,15.52
311.97,9.76,23.56
312.97,1.29,14.55
313.97,8.06,13.39
314.98,9.49,20.02
315.98,8.07,15.89
316.98,8.43,14.14
317.98,8.95,19.99
318.99,7.78,17.12
319.99,8.44,16.12
320.99,9.61,23.23
322.0,9.34,18.17
323.0,12.84,20.36
324.0,8.05,17.28
325.0,8.2,15.88
326.01,8.82,19.47
327.01,8.83,17.91
328.01,8.59,14.32
329.01,13.38,20.65
330.02,23.26,33.13
331.02,8.46,15.24
332.02,8.19,18.85
333.02,8.98,19.92
334.02,8.46,15.88
335.02,7.91,19.58
336.02,8.07,19.01
337.03,8.43,13.89
338.03,9.85,18.26
339.04,7.9,14.24
340.04,8.46,15.89
341.04,10.76,22.82
342.04,8.06,15.35
343.04,8.97,17.69
344.05,9.86,19.33
345.05,8.56,13.62
346.05,8.45,17.04
347.3,8.25,15.67
348.3,8.31,16.24
349.31,8.69,18.04
350.31,8.32,17.81
351.38,8.95,16.1
352.39,8.83,16.87
353.39,10.15,19.4
354.39,8.44,12.48
355.59,8.99,18.1
356.59,12.73,21.57
357.6,24.25,31.38
358.6,9.48,16.89
359.6,10.92,19.77
360.6,9.08,14.53
361.6,9.5,17.18
362.61,8.71,18.73
363.61,9.09,14.7
364.61,8.68,17.62
365.62,8.18,17.77
366.62,8.05,15.74
367.62,8.98,20.05
368.62,8.43,14.4
369.62,12.08,20
370.63,9.33,21.39
371.7,8.78,15.25
372.7,11.18,22.37
373.7,8.3,23.88
374.7,13.78,22.5
375.71,8.05,18.3
376.71,7.14,24.55
377.71,7.94,17.57
378.71,9.24,22.5
379.72,7.51,19.17
380.79,8,15.65
381.79,8.98,16.53
382.79,7.66,21.18
383.8,8.59,20.28
384.8,8.04,21.41
385.8,8.45,18.99
386.8,8.44,19.48
387.81,8.33,21.87
388.81,8.56,17
389.81,7.78,12.72
390.82,7.91,22.94
391.82,8.04,21.27
392.82,10.8,21.48
393.82,12.36,21.48
394.83,11.54,21.53
395.83,10.24,23.33
396.83,9.5,25.52
397.83,8.57,16.63
398.84,8.7,20.14
399.84,8.7,20.79
400.84,9.08,23.36
401.85,9.98,23.6
402.85,7,20.49
403.86,10.24,20.48
404.86,9.73,24.27
405.86,8.06,22.24
406.87,9.45,24.48
407.87,9.36,23.54
408.87,8.57,22.98
409.88,10.63,20.1
410.88,7.51,22.54
411.88,9.73,21.8
412.89,10.37,15.17
413.89,7.91,18.3
414.89,7.92,22.48
415.9,8.04,20.88
416.9,6.87,20.22
417.9,9.9,20.83
419.11,8.52,13.06
420.11,8.82,18.69
421.11,8.45,20.93
422.12,8.17,18.82
423.12,8.98,18.08
424.12,9.72,20.63
425.13,7.92,12.98
426.13,8.17,16.61
427.13,8.95,17.26
428.14,8.17,15.05
429.23,8.26,17.11
430.23,8.31,17.67
431.23,8.84,13
432.23,8.07,16.92
433.23,8.33,17.84
434.23,8.69,14.14
435.24,7.93,18.08
436.24,8.18,17.67
437.24,10,18.19
438.24,8.58,18.05
439.25,8.84,13.4
440.45,8.45,15.7
441.45,8.34,20.72
442.45,9.5,19.53
443.45,7.39,17.89
444.46,10.24,18.41
445.46,11.05,17.14
446.46,8.42,16.34
447.47,8.95,18.43
448.47,8.44,13.62
449.47,8.85,18.49
450.47,8.45,18.86
451.48,8.44,17.91
452.48,8.98,17.83
453.48,8.15,14.25
454.49,8.93,17.1
455.49,8.06,19.63
456.49,8.42,14.51
457.5,9.46,17.63
458.5,9.5,19.92
459.5,9.36,15.08
460.5,8.56,18.69
461.51,9.88,19.88
462.51,8.71,16.25
463.51,8.57,18.71
464.51,8.98,17.57
465.51,8.05,15.46
466.52,8.44,17.94
467.52,7.66,16.76
468.52,8.83,21.15
469.52,8.95,19.21
470.53,8.31,12.86
471.53,9.5,22
472.53,10,22.72
473.54,8.81,15.56
474.54,11.16,21.93
475.54,9.63,17.19
476.54,8.29,17.62
477.55,8.04,17.5
478.55,8.44,15.59
479.55,8.2,17.97
480.56,8.69,17.52
481.56,9.59,15.03
482.56,8.7,16.76
483.57,9.2,16.46
484.57,8.69,15.82
485.71,9.02,18.29
486.71,8.99,15.23
487.72,8.17,15.96
488.72,9.2,19.58
489.72,7.93,13.91
490.72,11.82,20
491.72,10.14,20.29
492.72,8.33,14.84
493.73,8.72,18.75
494.73,13.11,23.1
495.73,9.59,18.16
496.74,8.44,18.56
497.96,8.64,18.02
498.96,8.72,18.37
499.96,8.32,20.42
500.96,12.33,23.49
501.97,13.62,28.68
503.09,8.33,20.6
504.09,8.34,16.29
505.09,4.68,18.46
506.1,8.43,20.23
507.14,9.99,17.99
508.14,8.35,18.78
509.14,8.42,17.76
510.15,8.98,15.1
511.15,8.18,16.61
512.15,8.45,17.57
513.15,8.2,13.67
514.15,8.06,19.26
515.15,8.69,19.86
516.15,8.33,13.4
517.16,7.74,14.97
518.17,9.62,19.38
519.17,9.76,17.45
520.17,8.71,22.63
521.17,8.72,17.05
522.17,9.37,19.4
523.17,8.03,18.79
524.53,8.94,20.67
525.53,8.7,16.77
526.53,12.97,24.51
527.53,9.12,17.33
528.54,8.3,14.4
529.54,8.33,19
530.54,7.66,15.07
531.54,8.85,20.17
532.54,8.3,20.49
533.55,7.51,15.56
534.58,8.2,16.65
535.58,8.46,19
536.59,8.44,12.99
537.83,8.17,15.71
538.83,10.77,21.68
539.84,8.29,16.96
540.84,7.92,19.36
541.84,9.08,22.3
542.85,8.02,14.12
543.85,7.67,17.56
544.86,8.83,15.44
545.86,9.23,18.08
546.86,8.83,20.77
548.12,8.06,15.51
549.12,8.48,16.56
550.12,8.05,18.56
551.12,7.93,17.04
552.12,8.46,14.84
553.12,8.59,18.49
554.12,8.07,15.1
555.13,8.45,15.75
556.13,8.17,21.92
557.13,8.44,17.82
558.13,7.91,17.52
559.14,8.3,16.6
560.14,8.45,16.12
561.2,7.64,17.88
562.2,7.78,18.95
563.2,8.3,16.88
564.21,7.92,18.05
565.21,7.55,15.89
566.21,8.05,14.81
567.21,8.55,16.84
568.22,8.3,17.38
569.22,8.18,18.18
570.22,8.2,18.75
571.22,8.19,15.59
572.23,8.05,17.3
573.23,8.42,20.07
574.41,8.68,17.7
575.42,8.2,18.59
576.42,7.94,18.36
577.42,10.27,16.25
578.42,8.7,17.93
579.42,7.66,16.87
580.43,8.31,13.38
581.57,8.07,18.07
582.57,8.69,19.73
583.58,8.19,20.92
584.58,7.92,24.55
585.59,11.8,20.75
586.59,21.85,27.7
587.59,19.12,30.3
588.59,14.67,23.13
589.59,8.94,13.87
590.6,10.65,22.06
591.6,9.35,16.89
592.6,8.44,14.05
593.61,15.04,26.19
594.61,9.88,17.16
595.61,11.56,19.23
596.61,15.18,24.92
597.62,8.83,13.25
598.62,9.64,16.79
599.62,10.01,20.02
600.62,10.65,16.76
601.62,11.05,19.63
602.62,10.52,17.93
603.63,8.83,14.28
604.63,8.58,19.1
605.63,8.33,14.97
606.63,8.03,14.52
607.63,9.11,16.15
608.63,9.11,14.58
609.63,8.58,14.96
610.64,9.97,20.46
611.64,8.57,15.33
612.64,8.32,14.56
613.74,8.54,16.49
614.74,8.58,16.37
615.74,10.8,19.4
616.75,9.1,19
617.75,12.86,20
618.75,8.46,15.62
619.75,12.35,20.94
620.75,11.2,16.4
621.75,9.59,16.07
622.76,8.68,17.36
623.76,9.74,16.76
