"Time [s]","Committed size","Free size","Used size"
0.0,247296000,239553000,7743000
1.01,247296000,198243000,49053000
2.01,178688000,166550000,12138000
3.01,178688000,104699000,73989000
4.01,218624000,187415000,31209000
5.01,292864000,225063000,67801000
6.02,292864000,237080000,55784000
7.02,292864000,158512000,134352000
8.02,476160000,388000000,88160000
9.02,476160000,339406000,136754000
10.03,476160000,260287000,215873000
11.03,481792000,412135000,69657000
12.03,481792000,335689000,146103000
13.03,481792000,281329000,200463000
14.04,661504000,593616000,67888000
15.04,661504000,508045000,153459000
16.04,661504000,425476000,236028000
17.04,661504000,292658000,368846000
18.05,667136000,591584000,75552000
19.05,667136000,383515000,283621000
20.05,667136000,227499000,439637000
21.06,831488000,707424000,124064000
22.06,831488000,657725000,173763000
23.06,831488000,455361000,376127000
24.06,831488000,260984000,570504000
25.06,831488000,182388000,649100000
26.07,832512000,640706000,191806000
27.07,832512000,516690000,315822000
28.07,832512000,302436000,530076000
29.08,832512000,237628000,594884000
30.08,1056256000,873587000,182669000
31.08,1056256000,538747000,517509000
32.09,1056256000,282252000,774004000
33.18,1055744000,955489000,100255000
34.18,1055744000,594404000,461340000
35.18,1055744000,394216000,661528000
36.18,1055744000,166590000,889154000
37.18,1385984000,1076681000,309303000
38.19,1385984000,702731000,683253000
39.19,1385984000,474474000,911510000
40.19,1433600000,1185408000,248192000
41.2,1433600000,880197000,553403000
42.2,1433600000,698415000,735185000
43.2,1433600000,589458000,844142000
44.2,1433600000,303700000,1129900000
45.21,1588224000,1365785000,222439000
46.21,1588224000,1129800000,458424000
47.21,1588224000,775887000,812337000
48.21,1588224000,616340000,971884000
49.22,1588224000,340187000,1248037000
50.22,1588736000,1417286000,171450000
51.22,1588736000,1113456000,475280000
52.22,1588736000,784395000,804341000
53.22,1588736000,351436000,1237300000
54.28,1590784000,1520237000,70547000
55.28,1590784000,1412520000,178264000
56.28,1590784000,1336679000,254105000
57.28,1590784000,1206388000,384396000
58.29,1590784000,1118881000,471903000
59.29,1590784000,1045102000,545682000
60.29,1590784000,935247000,655537000
61.29,1590784000,848103000,742681000
62.3,1590784000,764514000,826270000
63.3,1590784000,691075000,899709000
64.31,1590784000,587540000,1003244000
65.31,1590784000,483984000,1106800000
66.31,1590784000,407519000,1183265000
67.31,1590784000,310862000,1279922000
68.32,1590784000,249839000,1340945000
69.32,1590784000,1486698000,104086000
70.32,1590784000,1419922000,170862000
71.32,1590784000,1331696000,259088000
72.33,1590784000,1256289000,334495000
73.33,1590784000,1152101000,438683000
74.33,1590784000,1059618000,531166000
75.34,1590784000,989421000,601363000
76.34,1590784000,894675000,696109000
77.34,1590784000,793355000,797429000
78.34,1590784000,697997000,892787000
79.34,1590784000,622944000,967840000
80.34,1590784000,516987000,1073797000
81.35,1590784000,410576000,1180208000
82.35,1590784000,291634000,1299150000
83.35,1591808000,1497389000,94419000
84.35,1591808000,1390216000,201592000
85.36,1591808000,1293927000,297881000
86.36,1591808000,1199935000,391873000
87.36,1591808000,1086528000,505280000
88.36,1591808000,979675000,612133000
89.37,1591808000,890891000,700917000
90.37,1591808000,768975000,822833000
91.37,1591808000,673092000,918716000
92.37,1591808000,591878000,999930000
93.38,1591808000,492465000,1099343000
94.38,1591808000,395176000,1196632000
95.38,1591808000,272700000,1319108000
96.45,1591808000,1516353000,75455000
97.46,1591808000,1380359000,211449000
98.46,1591808000,1286089000,305719000
99.46,1591808000,1150440000,441368000
100.47,1591808000,1060423000,531385000
101.47,1591808000,934813000,656995000
102.47,1591808000,846404000,745404000
103.47,1591808000,723598000,868210000
104.47,1591808000,595724000,996084000
105.48,1591808000,509043000,1082765000
106.48,1591808000,400429000,1191379000
107.48,1591808000,281723000,1310085000
108.49,1593856000,1502587000,91269000
109.49,1593856000,1390856000,203000000
110.49,1593856000,1289244000,304612000
111.49,1593856000,1175545000,418311000
112.5,1593856000,1081548000,512308000
113.5,1593856000,953575000,640281000
114.51,1593856000,838167000,755689000
115.51,1593856000,724197000,869659000
116.51,1593856000,601772000,992084000
117.51,1593856000,495426000,1098430000
118.51,1593856000,393865000,1199991000
119.51,1593856000,290029000,1303827000
120.51,1593856000,1339605000,254251000
121.52,1593856000,970034000,623822000
122.52,1593856000,549845000,1044011000
123.52,1593856000,227271000,1366585000
124.52,1594880000,1230952000,363928000
125.52,1594880000,843693000,751187000
126.52,1594880000,579619000,1015261000
127.54,1595392000,1500875000,94517000
128.55,1595392000,1131805000,463587000
129.55,1595392000,807267000,788125000
130.55,1595392000,575328000,1020064000
131.73,1597440000,1500869000,96571000
132.73,1597440000,1180591000,416849000
133.73,1597440000,771835000,825605000
134.74,1597440000,496185000,1101255000
135.74,1598464000,1499954000,98510000
136.74,1598464000,1160810000,437654000
137.74,1598464000,709515000,888949000
138.74,1598464000,316723000,1281741000
139.74,1598976000,1416782000,182194000
140.75,1598976000,1258942000,340034000
141.75,1598976000,1105583000,493393000
142.75,1598976000,692540000,906436000
143.76,1598976000,442509000,1156467000
144.76,1598976000,293868000,1305108000
145.76,1600000000,1284685000,315315000
146.76,1600000000,970809000,629191000
147.77,1600000000,494040000,1105960000
148.93,1600512000,1525185000,75327000
149.93,1600512000,1100747000,499765000
150.93,1600512000,653039000,947473000
151.94,1600512000,273932000,1326580000
152.94,1602048000,1270632000,331416000
153.94,1602048000,936026000,666022000
154.94,1602048000,558298000,1043750000
156.07,1602048000,1500115000,101933000
157.07,1602048000,1283168000,318880000
158.08,1602048000,1192189000,409859000
159.08,1602048000,880562000,721486000
160.08,1602048000,592748000,1009300000
161.08,1602048000,446139000,1155909000
162.09,1602048000,314311000,1287737000
163.09,1603584000,1500697000,102887000
164.09,1603584000,1347563000,256021000
165.09,1603584000,1172077000,431507000
166.09,1603584000,1018041000,585543000
167.09,1603584000,841362000,762222000
168.1,1603584000,718443000,885141000
169.1,1603584000,543430000,1060154000
170.1,1603584000,394379000,1209205000
171.1,1603584000,232332000,1371252000
172.11,1605120000,1233204000,371916000
173.11,1605120000,847734000,757386000
174.11,1605120000,493837000,1111283000
175.11,1606144000,1502766000,103378000
176.11,1606144000,1162526000,443618000
177.12,1606144000,711677000,894467000
178.12,1606144000,397502000,1208642000
179.12,1606656000,1455313000,151343000
180.12,1606656000,1128361000,478295000
181.12,1606656000,758687000,847969000
182.13,1606656000,564518000,1042138000
183.13,1606656000,410734000,1195922000
184.13,1606656000,222037000,1384619000
185.14,1607168000,1439415000,167753000
186.14,1607168000,1249237000,357931000
187.14,1607168000,1067190000,539978000
188.14,1607168000,876102000,731066000
189.15,1607168000,683536000,923632000
190.15,1607168000,487399000,1119769000
191.15,1607168000,272137000,1335031000
192.15,1608192000,1490793000,117399000
193.16,1608192000,1259726000,348466000
194.16,1608192000,1098748000,509444000
195.16,1608192000,867492000,740700000
196.16,1608192000,716426000,891766000
197.16,1608192000,513933000,1094259000
198.16,1608192000,357729000,1250463000
199.36,1608704000,1507561000,101143000
200.36,1608704000,1273381000,335323000
201.37,1608704000,1070059000,538645000
202.37,1608704000,860327000,748377000
203.38,1608704000,656406000,952298000
204.38,1608704000,470805000,1137899000
205.38,1608704000,292780000,1315924000
206.44,1610240000,1529877000,80363000
207.44,1610240000,1305533000,304707000
208.44,1610240000,1086943000,523297000
209.44,1610240000,810934000,799306000
210.45,1610240000,422934000,1187306000
211.45,1610240000,237074000,1373166000
212.45,1610240000,1444383000,165857000
213.46,1610240000,1234582000,375658000
214.46,1610240000,1038724000,571516000
215.46,1610240000,814683000,795557000
216.46,1610240000,640488000,969752000
217.47,1610240000,493461000,1116779000
218.47,1610240000,320745000,1289495000
219.48,1610240000,1508493000,101747000
220.48,1610240000,1331619000,278621000
221.48,1610240000,1114961000,495279000
222.48,1610240000,934991000,675249000
223.48,1610240000,781447000,828793000
224.49,1610240000,625517000,984723000
225.49,1610240000,453070000,1157170000
226.49,1610240000,261092000,1349148000
227.49,1610240000,1464327000,145913000
228.49,1610240000,1240572000,369668000
229.49,1610240000,1004005000,606235000
230.5,1610240000,828381000,781859000
231.5,1610240000,630495000,979745000
232.5,1610240000,473741000,1136499000
233.5,1610240000,262937000,1347303000
234.51,1611264000,1507202000,104062000
235.51,1611264000,1318912000,292352000
236.52,1611264000,1108234000,503030000
237.52,1611264000,933054000,678210000
238.52,1611264000,700201000,911063000
239.53,1611264000,500717000,1110547000
240.53,1611264000,326969000,1284295000
241.73,1611264000,1528882000,82382000
242.74,1611264000,1277594000,333670000
243.74,1611264000,964051000,647213000
244.74,1611264000,573337000,1037927000
245.85,1611776000,1507989000,103787000
246.86,1611776000,1050804000,560972000
247.86,1611776000,688342000,923434000
248.86,1611776000,198151000,1413625000
249.86,1612288000,1232383000,379905000
250.86,1612288000,797390000,814898000
251.86,1612288000,440876000,1171412000
253.0,1612288000,1505267000,107021000
254.01,1612288000,1182448000,429840000
255.01,1612288000,809970000,802318000
256.02,1612288000,533041000,1079247000
257.02,1612288000,210230000,1402058000
258.02,1612800000,1349655000,263145000
259.02,1612800000,914214000,698586000
260.02,1612800000,529980000,1082820000
261.28,1613312000,1503603000,109709000
262.28,1613312000,1110961000,502351000
263.28,1613312000,770654000,842658000
264.28,1613312000,403868000,1209444000
265.28,1613824000,1476986000,136838000
266.29,1613824000,1052612000,561212000
267.29,1613824000,681271000,932553000
268.3,1613824000,362979000,1250845000
269.32,1613824000,1502572000,111252000
270.32,1613824000,1154551000,459273000
271.32,1613824000,833268000,780556000
272.32,1613824000,538761000,1075063000
273.33,1613824000,217486000,1396338000
274.33,1614336000,1368206000,246130000
275.34,1614336000,991299000,623037000
276.34,1614336000,668187000,946149000
277.34,1614336000,398998000,1215338000
278.58,1615360000,1503572000,111788000
279.59,1615360000,1206132000,409228000
280.59,1615360000,935613000,679747000
281.59,1615360000,638172000,977188000
282.6,1615360000,340746000,1274614000
283.6,1611776000,1472642000,139134000
284.6,1611776000,1174561000,437215000
285.6,1611776000,903544000,708232000
286.6,1611776000,632527000,979249000
287.61,1611776000,402546000,1209230000
288.94,1614848000,1529217000,85631000
289.94,1614848000,1179369000,435479000
290.95,1614848000,856433000,758415000
291.95,1614848000,533490000,1081358000
292.95,1614848000,264389000,1350459000
293.96,1614848000,1421223000,193625000
294.96,1614848000,1123996000,490852000
295.96,1614848000,661888000,952960000
296.96,1614848000,383550000,1231298000
297.97,1615872000,1500584000,115288000
298.97,1615872000,1092042000,523830000
299.97,1615872000,657225000,958647000
300.97,1615872000,380934000,1234938000
301.97,1613312000,1445942000,167370000
302.98,1613312000,854790000,758522000
303.98,1613312000,445296000,1168016000
304.98,1615360000,1447459000,167901000
305.99,1615360000,1304559000,310801000
306.99,1615360000,1304511000,310849000
307.99,1615360000,925413000,689947000
308.99,1615360000,540394000,1074966000
310.0,1615360000,1497290000,118070000
311.0,1615360000,1002825000,612535000
312.0,1615360000,535437000,1079923000
313.0,1615360000,204872000,1410488000
314.0,1614336000,1119356000,494980000
315.01,1614336000,705442000,908894000
316.01,1614336000,429910000,1184426000
317.04,1615360000,1495816000,119544000
318.04,1615360000,1113021000,502339000
319.05,1615360000,629514000,985846000
320.05,1615360000,273569000,1341791000
321.05,1614336000,1416766000,197570000
322.05,1614336000,1042057000,572279000
323.06,1614336000,691754000,922582000
324.06,1614336000,424091000,1190245000
325.29,1614848000,1497313000,117535000
326.29,1614848000,1148344000,466504000
327.29,1614848000,799374000,815474000
328.3,1614848000,450412000,1164436000
329.48,1613824000,1522484000,91340000
330.48,1613824000,1093040000,520784000
331.49,1613824000,770919000,842905000
332.49,1613824000,448796000,1165028000
333.49,1614336000,1411413000,202923000
334.5,1614336000,1079890000,534446000
335.5,1614336000,783226000,831110000
336.5,1614336000,501593000,1112743000
337.5,1614336000,204958000,1409378000
338.51,1614848000,1278290000,336558000
339.51,1614848000,787600000,827248000
340.51,1614848000,490199000,1124649000
341.79,1614336000,1495116000,119220000
342.79,1614336000,1118137000,496199000
343.8,1614336000,768094000,846242000
344.8,1614336000,391111000,1223225000
345.8,1614336000,1493957000,120379000
346.8,1614336000,1115739000,498597000
347.81,1614336000,818539000,795797000
348.81,1614336000,440281000,1174055000
349.93,1614336000,1494430000,119906000
350.93,1614336000,1087153000,527183000
351.93,1614336000,943554000,670782000
352.94,1614336000,592322000,1022014000
353.94,1614336000,268143000,1346193000
354.94,1610752000,1406617000,204135000
355.94,1610752000,1044642000,566110000
356.94,1610752000,682663000,928089000
