"Name","Instance Count","Size (bytes)"
"char[]",577421,79592680
"org.h2.value.ValueString",274486,6587664
"java.lang.String",243186,5836464
"java.lang.StringBuilder",115706,2776944
"byte[]",70389,19014688
"java.util.LinkedHashMap$Entry",67824,2712960
"int[]",65792,5553088
"com.sun.nio.zipfs.ZipFileSystem$IndexNode",59974,1919168
"java.lang.Object[]",53257,5350688
"org.h2.value.Value[]",34939,3886496
"org.h2.result.RowImpl",31724,1015168
"java.util.HashMap$Node",30151,964832
"org.h2.mvstore.RootReference",25485,1427160
"org.h2.table.IndexColumn",22720,545280
"java.util.ArrayList",17615,422760
"org.h2.expression.ExpressionColumn",16797,806256
"org.h2.value.ValueLong",10892,261408
"java.util.ArrayList$Itr",9542,305344
"java.lang.String[]",7483,262248
"java.util.concurrent.ConcurrentHashMap$Node",7059,225888
"org.h2.expression.Alias",6894,220608
"java.util.HashMap$Node[]",6784,1180504
"java.util.HashMap",6493,311664
"java.util.LinkedHashMap",6347,355432
"org.h2.table.Column",5781,508728
"java.lang.Class[]",5780,120616
"org.h2.mvstore.CursorPos",5684,136416
"java.lang.Integer",5600,89600
"java.lang.reflect.Method",4705,414040
"java.lang.Object",3962,63392
"java.lang.ref.WeakReference",3555,113760
"org.h2.expression.Expression[]",3498,67776
"org.h2.value.ValueInt",3348,53568
"org.h2.mvstore.MVMap$IntValueHolder",3337,53392
"java.lang.Long",3328,79872
"java.util.HashSet",3308,52928
"java.util.regex.Matcher",2978,190592
"org.h2.mvstore.tx.TransactionMap",2657,85024
"org.h2.value.ValueArray",2535,81120
"org.h2.expression.condition.CompareLike",2289,146496
"java.lang.ref.SoftReference",2260,90400
"org.h2.table.IndexColumn[]",2258,171096
"java.lang.Class",2034,650880
"org.h2.table.TableFilter[]",1993,37688
"java.util.Hashtable$Entry",1980,63360
"java.util.LinkedHashSet",1957,31312
"org.h2.table.Column[]",1949,120248
"java.util.TreeMap$Entry",1941,77640
"org.h2.expression.Parameter",1888,60416
"org.h2.expression.condition.ConditionAndOr",1788,57216
"org.springframework.core.type.classreading.SimpleAnnotationMetadataReadingVisitor$$Lambda$485.1251686742",1752,28032
"org.h2.mvstore.tx.Snapshot",1739,41736
"org.springframework.core.type.classreading.SimpleMethodMetadataReadingVisitor",1718,96208
"org.h2.index.IndexType",1716,41184
"java.beans.MethodRef",1678,40272
"org.h2.mvstore.tx.VersionedValueUncommitted",1569,50208
"org.h2.index.MetaIndex",1512,120960
"sun.reflect.annotation.AnnotationInvocationHandler",1423,34152
"org.h2.mvstore.tx.TxDecisionMaker",1394,78064
"java.util.LinkedHashMap$LinkedKeySet",1361,21776
"org.h2.expression.function.Function",1330,53200
"org.h2.expression.ExpressionVisitor",1280,61440
"org.h2.table.PlanItem",1245,49800
"org.springframework.core.annotation.AnnotationTypeMappings$Cache$$Lambda$220.1581078471",1229,19664
"org.springframework.core.annotation.AnnotationTypeMappings$$Lambda$219.1810923540",1212,19392
"java.util.Collections$UnmodifiableSet",1196,19136
"java.util.concurrent.ConcurrentHashMap$MapEntry",1136,27264
"org.h2.mvstore.Page$PageReference",1094,35008
"java.util.HashMap$KeySet",1091,17456
"java.util.HashMap$KeyIterator",1051,42040
"java.util.LinkedHashMap$LinkedKeyIterator",1046,33472
"java.util.LinkedHashMap$LinkedValues",977,15632
"java.util.concurrent.locks.ReentrantLock$NonfairSync",966,30912
"org.h2.util.ColumnNamer",950,22800
"org.h2.table.TableFilter",943,120704
"org.h2.index.IndexCursor",939,60096
"com.sun.proxy.$Proxy6",938,15008
"antlr.ANTLRHashString",831,26592
"java.util.Collections$SynchronizedSet",797,19128
"org.h2.command.dml.Select",790,170640
"org.apache.lucene.util.BytesRef",777,18648
"org.h2.table.Plan$1",770,18480
"sun.reflect.DelegatingMethodAccessorImpl",761,12176
"java.util.Collections$UnmodifiableCollection$1",752,18048
"boolean[]",736,22656
"java.util.concurrent.ConcurrentLinkedQueue$Node",732,17568
"java.beans.MethodDescriptor",707,39592
