"Time [s]","Process load","System load"
0.0,0,0
1.01,14.19,22.79
2.01,10.91,16.5
3.01,23.86,38.52
4.02,16.98,28.01
5.02,25.7,31.41
6.02,18.71,30.28
7.03,18.67,29.82
8.03,20.02,27.18
9.03,12.97,22.95
10.04,13.28,20.44
11.04,13.63,17.93
12.04,24.06,32
13.04,28.43,36.09
14.05,17,23.62
15.05,16.79,25.91
16.05,21.92,29.05
17.05,19.45,22.94
18.06,16.99,24.9
19.06,17.42,24.85
20.06,19.86,25.96
21.07,26.19,37.21
22.07,21.29,30.64
23.08,21,25.93
24.08,16.94,24.36
25.08,23.51,31.06
26.08,25.7,36.21
27.08,14.96,24.71
28.08,13.25,20.53
29.09,16.5,24.3
30.2,10.61,19.13
31.2,15.36,25
32.21,12.35,22.24
33.21,12.32,21.02
34.21,21.2,33.3
35.21,13.8,23.44
36.21,10.92,20.93
37.38,12.64,24.16
38.38,13.77,20.27
39.38,13.4,25.12
40.38,16.66,24.09
41.38,15.59,21.96
42.38,21.07,29
43.38,16.14,22.78
44.51,10.09,21.47
45.51,15.75,34.9
46.51,9.99,19.34
47.51,15.98,22.34
48.52,9.72,16.85
49.52,9.87,16.63
50.52,11.41,18.02
51.53,9.23,19.88
52.53,9.24,14.84
53.53,12.32,18.8
54.53,15.34,29
55.54,13.38,21.57
56.54,12.19,23.23
57.54,17.43,31.86
58.54,9.9,25.78
59.54,10.9,21.54
60.54,11.06,23.18
61.55,12.97,23.59
62.55,8.82,17.78
63.56,12.19,23.47
64.56,16.39,30.56
65.56,14.9,25.91
66.56,16.27,38.8
67.57,27.46,51.56
68.57,12.46,33.75
69.58,9.86,31.25
70.58,11.85,34.63
71.58,9.37,28.9
72.58,9.58,29.15
73.59,7.91,26.08
74.59,9.21,30.25
75.6,9.98,29.8
76.6,8.56,21.41
77.6,8.83,18.18
78.6,12.86,28.45
79.61,10.88,22.03
80.61,7.94,21.6
81.61,10.66,23.67
82.61,9.89,20.67
83.62,8.96,16.25
84.62,9.09,21.19
85.62,10.11,22.44
86.62,8.84,17.03
87.63,15.71,28.45
88.63,11.7,26.12
89.63,7.4,16.37
90.63,10,21.18
91.64,7.91,20.63
92.64,10.13,20.53
93.64,8.2,21.35
94.64,7.65,23.91
95.65,9.34,22.2
96.76,8.65,25.59
97.77,9.99,35.44
98.77,17.5,37.99
99.77,9.76,30.85
100.77,9.08,31.15
101.78,7.13,25.96
102.78,8.32,26.79
103.78,13.64,35.07
104.78,7.79,26.38
105.79,7.4,27.78
106.79,6.88,18.84
107.79,7.15,15.75
108.8,7.65,18.28
109.79,6.12,20.05
110.8,9.98,19.97
111.8,7.52,19.08
112.81,7.91,20.1
113.81,6.38,17.57
114.81,7.29,17.31
115.81,7.54,20.02
116.81,8.07,19.14
117.81,8.05,16.11
118.82,7.53,21.95
119.82,7,20.49
120.82,8.71,15.23
121.84,7.8,18.53
122.84,9.26,20.24
123.84,9.59,19.18
124.84,9.5,17.05
125.85,9.59,19.32
126.85,9.48,17.54
127.85,9.33,15.29
128.86,8.05,17.28
129.86,8.86,16.03
130.86,8.94,14.65
131.86,9.74,18.06
133.13,9.76,18.41
134.13,9.61,20.24
135.14,10.12,16.24
136.14,11.54,19.58
137.14,8.33,16.79
138.14,8.45,16.39
139.14,8.71,20.05
140.14,10.8,16.93
141.14,8.72,16.79
142.15,10.01,24.19
143.15,7.8,18.86
144.15,8.69,15.57
145.16,8.03,18.67
146.34,8.27,16.44
147.34,9.38,15.89
148.34,9.08,18.8
149.34,7.78,16.46
150.35,12.58,16.61
151.35,9.76,18.88
152.35,8.33,16.15
153.35,8.81,13.47
154.36,8.19,16.12
155.36,9.33,17.5
156.36,10.1,18.53
157.36,8.59,27.2
158.37,8.71,18.86
159.37,9.47,20.12
160.37,9.48,30.4
161.38,10.13,19.36
162.38,11.95,16.89
163.38,11.53,20.85
164.39,9.08,20.88
165.6,8.18,17.24
166.6,10.14,17.55
167.6,7.65,19.19
168.6,6.88,16.5
169.61,9.36,16.78
170.61,10.76,20.1
171.61,8.06,17.29
172.61,8.98,19.26
173.81,8.79,17.81
174.81,8.62,18.02
175.81,8.44,16.65
176.81,7.68,25.9
177.81,8.19,27.44
178.81,8.72,21.22
179.82,8.56,24.12
180.82,8.02,23.83
181.83,8.7,24.69
182.83,7.8,23.91
183.83,11.15,29.46
184.84,8.84,24.42
185.84,8.44,27.02
186.84,8.84,30.05
187.84,8.04,26.97
188.85,9.72,30.73
189.85,8.32,29
190.85,10.24,26.71
191.86,13.11,31.67
192.86,9.36,32.38
193.86,8.44,25.96
194.87,9.87,29.24
195.87,9.11,28.9
196.87,7.91,25.41
197.87,8.98,27.99
198.87,8.31,29.76
199.88,8.2,25.35
200.88,8.69,25.31
201.88,8.45,18.49
202.88,8.82,18.93
203.89,11.32,20.18
204.89,7.27,19.1
205.89,8.98,16.27
206.89,8.55,16.08
207.9,9.72,21.65
208.9,7.16,14.84
209.9,7.91,21.8
210.9,7.13,19.34
211.91,8.68,17.36
212.91,8.44,17.54
213.91,7.4,17.29
214.92,8.04,15.17
215.92,8.68,15.41
216.92,7.79,17.41
217.93,8.44,18.56
218.93,8.2,20.7
219.93,7.92,16.74
220.94,8.44,21.18
221.94,7.65,14.13
222.94,8.3,20.38
223.95,8.55,19.58
224.95,13.34,22.28
225.95,8.19,17.82
226.96,9.75,18.86
228.22,8.01,16.64
229.22,7.67,16.9
230.23,8.81,22.31
231.23,8.96,18.18
232.23,9.37,19.4
233.23,8.18,17.53
234.24,8.33,17.57
235.24,7.26,13.11
236.24,8.2,18.61
237.25,8.29,17.36
238.25,10.38,20.9
239.25,7.79,18.45
240.26,7.77,18
241.26,7.65,14.65
242.26,10,19.36
243.27,7.66,18.56
244.27,7.38,16.07
245.27,7.93,16.24
246.27,8.05,19.64
247.28,6.87,17.91
248.28,7.79,16.48
249.59,8.34,17.89
250.59,7.28,18.2
251.59,8.06,14.7
252.59,8.6,17.46
253.6,8.03,19.95
254.6,7.8,17.53
255.6,8.18,14.29
256.61,9.09,15.72
257.61,8.59,16.92
258.61,8.33,14.32
259.61,7.8,17.67
260.61,8.18,17.79
261.62,9.22,16.89
262.62,10.13,18.58
263.62,10.12,16.09
264.63,11.8,19.84
265.63,9.33,19.45
266.63,9.5,15.75
267.63,8.71,13.27
268.63,8.96,16.5
269.64,8.6,14.85
270.64,8.44,15.73
271.64,10.13,19.49
272.64,11.17,14.81
273.65,8.04,14.41
274.65,8.7,15.2
275.65,8.44,12.47
276.65,8.32,16.65
277.65,8.45,19.12
278.71,8.36,14.76
279.71,8.05,16.74
280.72,10.28,18.62
281.72,8.97,14.3
282.72,9.08,14.53
283.72,7.94,17.32
284.72,8.97,13.65
285.73,8.69,16.22
286.73,8.45,17.95
287.73,8.06,15.21
288.73,8.31,13.77
289.74,8.15,16.06
290.74,8.56,13.89
291.74,8.71,17.43
292.74,8.07,18.23
293.88,8.37,12.04
294.88,9.24,18.98
295.88,8.43,19.99
296.89,8.43,23.86
297.89,8.45,24.58
298.89,8.05,27.42
299.89,8.84,20.28
300.9,8.71,26.14
301.9,9.11,27.2
302.9,9.08,24.15
303.9,8.46,25.51
304.9,8.82,27.13
305.91,8.44,20.24
306.95,8.15,12.66
307.95,7.91,18.8
308.95,8.95,13.24
310.18,8.16,19.82
311.19,9.32,18.13
312.19,1.17,11.02
313.2,7.77,14.26
314.2,9.75,23.28
315.2,7.93,14.56
316.2,7.94,15.23
317.2,8.2,24.84
318.37,8.01,17.58
319.37,9.63,14.84
320.38,8.54,17.75
321.38,13.81,27.63
322.38,8.43,13.61
323.38,8.32,18.08
324.38,8.84,18.86
325.39,8.58,14.04
326.39,8.81,19.58
327.39,8.2,17.96
328.4,20.75,24.37
329.4,8.04,16.22
330.4,8.96,17
331.41,9.21,13.89
332.41,8.59,17.58
333.41,9.22,16.61
334.41,8.44,17.29
335.41,8.44,18.57
336.42,9.09,16.63
337.55,8.5,16.89
338.56,10.49,22.3
339.56,9.87,21.29
340.56,9.22,14.55
341.56,9.37,18.49
342.56,9.64,19.52
343.56,7.67,15.62
344.57,9.59,17.75
345.57,9.09,18.57
346.57,8.31,13.13
347.58,8.84,16.63
348.58,9.24,17.57
349.68,8.63,12.17
350.68,8.83,16.76
351.68,9.59,21.5
352.69,8.81,14.78
353.69,8.84,15.72
354.69,20.93,28.87
355.7,16.97,22.28
356.7,11.28,17.63
357.71,9.71,17.63
358.71,8.97,13.51
359.71,8.45,15.62
360.71,8.69,16.87
361.71,8.72,11.98
362.72,8.69,17.5
363.72,8.56,17.26
364.73,8.18,12.6
365.73,8.83,19.59
366.73,10.76,19.06
367.74,8.95,14.28
368.74,8.44,18.18
369.74,9.71,24.12
370.74,10.15,19.01
371.75,10.37,23.73
372.75,8.17,21.92
373.75,8.7,18.73
374.76,7.66,20.26
375.76,7.91,19.86
376.76,8.06,19.38
377.77,8.55,17.5
378.77,7.53,19.34
379.77,8.06,16.66
380.77,8.45,23.16
381.78,8.05,18.57
382.78,8.05,14.16
383.78,7.38,18.02
384.78,8.45,18.21
385.79,7.79,16.63
386.79,8.17,16.72
387.79,8.45,22.26
388.79,10.41,19.65
389.93,13.03,18.86
390.94,10.25,22.58
391.94,10.28,21.75
392.94,9.6,20.75
393.94,10.54,20.3
394.95,8.3,22.56
395.95,8.33,21.61
396.95,6.89,22.24
397.95,7.03,24.34
398.95,8.95,20.25
400.11,8.46,17.71
401.1,8.22,20.5
402.11,9.62,24.55
403.11,6.88,15.59
404.11,8.05,19.34
405.11,8.84,19.25
406.12,7.67,20.81
407.12,9.84,29.27
408.13,10.49,27.72
409.13,8.45,23.15
410.13,8.05,29.24
411.13,7.52,26.84
412.14,7.54,23.02
413.14,7.93,33.3
414.14,9.6,33.49
415.15,9.21,27.36
416.26,8.3,20.82
417.26,9.22,22.22
418.26,7.66,15.44
419.27,8.69,15.71
420.27,9.6,18.82
421.27,7.8,14.82
422.28,8.81,15.56
423.28,8.84,17.43
424.28,8.3,14.52
425.29,8.44,12.19
426.29,8.32,18.47
427.29,8.7,14.31
428.29,8.83,16.22
429.3,8.06,16
430.3,8.56,13.36
431.3,8.59,15.36
432.3,9.2,19.95
433.5,8.43,16.86
434.49,8.85,14.59
435.5,9.11,18.87
436.5,8.04,16.47
437.5,7.78,12.97
438.5,9.5,15.75
439.51,7.39,16.35
440.51,9.63,16.91
441.66,9.25,16.24
442.67,8.56,16.74
443.67,8.06,14.96
444.67,9.1,16.65
445.67,8.2,17.84
446.68,8.04,13.61
447.68,8.81,17.77
448.68,7.52,24.9
449.69,8.44,21.2
450.69,8.06,20.02
451.69,8.44,16.22
452.83,8.01,15.12
453.83,8.6,17.18
454.83,9.88,20.16
455.83,9.35,17.15
457.06,8.06,14.75
458.06,8.18,17.01
459.06,8.85,19.27
460.07,8.3,13.24
461.07,8.95,31.12
462.08,9.87,19.48
463.08,7.92,13.38
464.17,9.03,16.15
465.18,7.66,22.59
466.18,8.58,18.33
467.18,8.81,16.46
468.19,11.95,20.14
469.19,9.98,17.5
470.19,8.59,15.89
471.19,8.72,18.35
472.2,9.47,15.03
473.2,9.63,17.84
474.2,8.69,16.74
475.2,8.97,13.4
476.2,8.17,18.95
477.2,9.11,16.4
478.21,8.3,13.23
479.21,8.57,15.46
480.21,9.76,17.18
481.22,8.82,14.91
482.22,8.59,15.62
483.39,8.72,16.58
484.39,8.73,16.03
485.4,9.2,16.84
486.4,8.3,14.41
487.41,8.68,15.68
488.41,10.67,18.33
489.41,10.11,17.14
490.42,7.77,18.39
491.42,8.3,24.53
492.42,12.73,22.6
493.42,9.74,17.93
494.43,7.91,14.91
495.43,8.58,18.85
496.43,9.48,25.34
497.44,7.91,24.27
498.44,9.98,26.19
499.44,17.24,34.23
500.45,10.11,32.16
501.45,8.44,25.59
502.45,8.05,23.13
503.46,4.79,28.78
504.46,8.3,26.07
505.46,9.37,25.39
506.46,10.13,17.81
507.47,8.97,19.49
508.47,7.8,16.66
509.47,8.32,18.21
510.47,9.24,18.1
511.47,8.17,15.56
512.48,8.44,16.75
513.48,8.04,17.38
514.48,8.33,13.15
515.48,8.33,14.97
516.49,8.43,19.45
517.49,8.44,12.35
518.49,10.11,17.5
519.49,8.31,17.54
520.5,8.69,18.04
521.5,8.71,18.08
522.5,9.24,20.7
523.5,8.17,15.42
524.75,9.12,16.16
525.75,10.38,18.81
526.75,10.01,17.82
527.76,9.99,19.08
528.76,8.7,19.87
529.76,8.95,15.71
530.76,8.3,14.14
531.85,8.28,17.78
532.85,7.94,15.6
533.85,8.16,14.39
534.98,8.09,16.65
535.98,8.83,16.89
536.99,8.43,13.74
537.99,9.62,20.03
538.99,8.2,14.58
539.99,7.91,13.61
541.0,7.78,16.61
542.0,8.2,19.14
543.0,7.52,15.04
544.01,8.16,15.56
545.01,9.37,20.05
546.01,8.82,12.45
547.02,8.29,18.39
548.02,8.32,17.16
549.02,7.29,15.5
550.02,8.44,19.63
551.02,7.67,20.67
552.02,7.94,12.63
553.02,8.46,15.49
554.02,7.94,16.01
555.02,8.46,14.32
556.03,7.52,17.39
557.03,8.45,15.35
558.03,8.45,15.22
559.03,7.51,16.21
560.04,8.06,18.46
561.21,8.29,15.82
562.21,7.8,17.18
563.22,8.57,18.43
564.22,7.51,14.39
565.23,8.15,18.27
566.23,7.8,15.47
567.23,8.81,12.96
568.24,9.82,19.76
569.24,7.42,16.03
570.25,8.82,16.73
571.25,8.31,16.1
572.25,8.16,16.08
573.26,8.3,11.66
574.26,8.57,16.35
575.26,7.66,18.46
576.27,7.93,13.51
577.27,9.5,17.19
578.36,7.98,15.85
579.36,7.81,13.01
580.36,8.3,17.38
581.36,9.1,18.62
582.37,7.91,12.57
583.37,9.5,18.23
584.37,12.22,21.58
585.37,20.55,26.28
586.38,18.83,28.32
587.38,11.06,21.74
588.38,8.81,12.82
589.38,11.31,22.63
590.58,8.68,24.43
591.59,8.56,22.32
592.59,16.21,30.61
593.59,10,28.71
594.59,9.62,24.97
595.72,13.2,27.45
596.72,10.93,29.65
597.72,9.46,25.03
598.73,9.2,24.61
599.73,10.63,25.93
600.74,8.55,22.69
601.74,10.55,24.86
602.74,11.56,28.45
603.74,9.23,25.21
604.75,10.13,24.81
605.75,8.45,24.74
606.75,8.43,24.37
607.75,8.32,20.68
608.76,8.31,25.07
609.76,9.33,24.12
610.76,8.44,21.18
611.77,9.22,27.13
612.77,8.58,25.88
613.77,8.84,22.37
614.77,8.82,24.53
615.77,10.79,27.7
616.78,9.07,20.59
617.78,10.41,25.26
618.78,9.34,25.83
619.78,8.85,22.65
620.78,9.76,23.3
621.78,14.05,30.3
622.79,11.02,26.58
623.79,10.39,26.12
625.05,8.79,25.85
626.05,9.6,26.87
627.06,9.08,24.4
628.06,8.85,24.48
629.06,11.33,25.51
630.89,13.01,28.31
631.89,13.66,30.96
632.89,8.69,25.18
633.89,9.89,27.73
634.9,7.67,23.28
