"Time [s]","Committed size","Free size","Used size"
0.0,247296000,239553000,7743000
1.01,247296000,196951000,50345000
2.01,172544000,139584000,32960000
3.01,212992000,129817000,83175000
4.01,212992000,136572000,76420000
5.01,284672000,99297000,185375000
6.01,284672000,179640000,105032000
7.01,463872000,400632000,63240000
8.01,463872000,340368000,123504000
9.01,463872000,262201000,201671000
10.01,469504000,388693000,80811000
11.01,469504000,298170000,171334000
12.01,469504000,243219000,226285000
13.01,646656000,545414000,101242000
14.01,646656000,452639000,194017000
15.02,646656000,313717000,332939000
16.02,646656000,173933000,472723000
17.02,653312000,429486000,223826000
18.02,653312000,219687000,433625000
19.02,818688000,694890000,123798000
20.02,818688000,606709000,211979000
21.02,818688000,414150000,404538000
22.02,818688000,195868000,622820000
23.02,819712000,716531000,103181000
24.02,819712000,581746000,237966000
25.02,819712000,378318000,441394000
26.02,819712000,233961000,585751000
27.02,1043968000,846261000,197707000
28.02,1043968000,494562000,549406000
29.02,1043968000,242347000,801621000
30.03,1043968000,828380000,215588000
31.03,1043968000,564824000,479144000
32.03,1043968000,336893000,707075000
33.03,1374720000,1222369000,152351000
34.03,1374720000,846144000,528576000
35.03,1374720000,473727000,900993000
36.03,1418752000,1173712000,245040000
37.03,1418752000,891078000,527674000
38.03,1418752000,687902000,730850000
39.03,1418752000,557430000,861322000
40.16,1572864000,1477604000,95260000
41.16,1572864000,1140367000,432497000
42.16,1572864000,708158000,864706000
43.16,1572864000,452003000,1120861000
44.43,1573888000,1478681000,95207000
45.43,1573888000,1149137000,424751000
46.43,1573888000,820058000,753830000
47.43,1573888000,336698000,1237190000
48.43,1574400000,1475876000,98524000
49.43,1574400000,1385880000,188520000
50.43,1574400000,1244419000,329981000
51.43,1574400000,1143607000,430793000
52.43,1574400000,1041986000,532414000
53.43,1574400000,924036000,650364000
54.44,1574400000,825662000,748738000
55.44,1574400000,704776000,869624000
56.44,1574400000,586118000,988282000
57.44,1574400000,472915000,1101485000
58.44,1574400000,370063000,1204337000
59.44,1574400000,288089000,1286311000
60.44,1574400000,206075000,1368325000
61.44,1575936000,1416753000,159183000
62.44,1575936000,1282617000,293319000
63.44,1575936000,1145178000,430758000
64.44,1575936000,1000153000,575783000
65.44,1575936000,856888000,719048000
66.44,1575936000,735510000,840426000
67.44,1575936000,621311000,954625000
68.44,1575936000,506279000,1069657000
69.44,1575936000,338539000,1237397000
70.44,1575936000,225584000,1350352000
71.44,1575936000,1416663000,159273000
72.44,1575936000,1278234000,297702000
73.44,1575936000,1146283000,429653000
74.45,1575936000,1009047000,566889000
75.45,1575936000,888658000,687278000
76.45,1575936000,750248000,825688000
77.45,1575936000,642172000,933764000
78.45,1575936000,528535000,1047401000
79.45,1575936000,392789000,1183147000
80.45,1575936000,277506000,1298430000
81.45,1577472000,1467166000,110306000
82.45,1577472000,1330571000,246901000
83.45,1577472000,1207100000,370372000
84.45,1577472000,1056002000,521470000
85.45,1577472000,893462000,684010000
86.45,1577472000,767895000,809577000
87.45,1577472000,613842000,963630000
88.45,1577472000,469934000,1107538000
89.45,1577472000,327652000,1249820000
90.45,1577472000,189079000,1388393000
91.45,1577984000,1377581000,200403000
92.46,1577984000,1231636000,346348000
93.46,1577984000,1118431000,459553000
94.46,1577984000,939441000,638543000
95.46,1577984000,809756000,768228000
96.46,1577984000,637319000,940665000
97.46,1577984000,488903000,1089081000
98.46,1577984000,366941000,1211043000
99.46,1579520000,1490305000,89215000
100.46,1579520000,1014328000,565192000
101.46,1579520000,526052000,1053468000
102.53,1579008000,1484819000,94189000
103.53,1579008000,1077789000,501219000
104.53,1579008000,598211000,980797000
105.7,1580544000,1485739000,94805000
106.7,1580544000,1034884000,545660000
107.7,1580544000,680672000,899872000
108.7,1580544000,250999000,1329545000
109.7,1582592000,1231759000,350833000
110.7,1582592000,820360000,762232000
111.7,1582592000,477332000,1105260000
112.7,1584128000,1438461000,145667000
113.7,1584128000,908122000,676006000
114.7,1584128000,520088000,1064040000
