"Name","Instance Count","Size (bytes)"
"char[]",556063,76151184
"org.h2.value.ValueString",271164,6507936
"java.lang.String",240148,5763552
"java.lang.StringBuilder",110396,2649504
"int[]",62641,5385912
"byte[]",61503,14636872
"java.util.LinkedHashMap$Entry",59014,2360560
"java.lang.Object[]",52783,4764456
"com.sun.nio.zipfs.ZipFileSystem$IndexNode",51090,1634880
"org.h2.value.Value[]",34491,3857560
"org.h2.result.RowImpl",31261,1000352
"java.util.HashMap$Node",29664,949248
"org.h2.mvstore.RootReference",25469,1426264
"org.h2.table.IndexColumn",22041,528984
"java.util.ArrayList",17324,415776
"org.h2.expression.ExpressionColumn",16546,794208
"org.h2.value.ValueLong",10285,246840
"java.util.ArrayList$Itr",9379,300128
"java.lang.String[]",7566,273464
"java.util.concurrent.ConcurrentHashMap$Node",7029,224928
"org.h2.expression.Alias",6817,218144
"java.util.HashMap$Node[]",6702,818912
"java.util.HashMap",6214,298272
"java.util.LinkedHashMap",6150,344400
"org.h2.table.Column",5836,513568
"java.lang.Class[]",5692,117824
"org.h2.mvstore.CursorPos",5461,131064
"java.lang.Integer",5449,87184
"java.lang.reflect.Method",4732,416416
"java.lang.Object",3942,63072
"org.h2.mvstore.MVMap$IntValueHolder",3482,55712
"java.lang.ref.WeakReference",3386,108352
"org.h2.expression.Expression[]",3367,65480
"org.h2.value.ValueInt",3353,53648
"java.lang.Long",3323,79752
"java.util.HashSet",3281,52496
"java.util.regex.Matcher",2937,187968
"org.h2.mvstore.tx.TransactionMap",2591,82912
"org.h2.value.ValueArray",2510,80320
"java.lang.ref.SoftReference",2266,90640
"org.h2.expression.condition.CompareLike",2191,140224
"org.h2.table.IndexColumn[]",2173,166864
"java.lang.Class",2055,657600
"java.util.LinkedHashSet",1977,31632
"org.h2.table.Column[]",1961,122872
"java.util.Hashtable$Entry",1931,61792
"org.h2.table.TableFilter[]",1921,36480
"org.h2.expression.Parameter",1913,61216
"java.util.TreeMap$Entry",1804,72160
"org.h2.expression.condition.ConditionAndOr",1789,57248
"java.beans.MethodRef",1745,41880
"org.springframework.core.type.classreading.SimpleMethodMetadataReadingVisitor",1739,97384
"org.h2.mvstore.tx.Snapshot",1711,41064
"org.h2.index.IndexType",1709,41016
"org.springframework.core.type.classreading.SimpleAnnotationMetadataReadingVisitor$$Lambda$485.1251686742",1697,27152
"org.h2.mvstore.tx.VersionedValueUncommitted",1646,52672
"sun.reflect.annotation.AnnotationInvocationHandler",1490,35760
"org.h2.mvstore.tx.TxDecisionMaker",1400,78400
"org.h2.index.MetaIndex",1399,111920
"java.util.LinkedHashMap$LinkedKeySet",1354,21664
"org.h2.expression.function.Function",1300,52000
"org.h2.expression.ExpressionVisitor",1276,61248
"java.util.Collections$UnmodifiableSet",1235,19760
"org.springframework.core.annotation.AnnotationTypeMappings$Cache$$Lambda$220.1581078471",1208,19328
"org.springframework.core.annotation.AnnotationTypeMappings$$Lambda$219.1810923540",1165,18640
"org.h2.table.PlanItem",1149,45960
"java.util.concurrent.ConcurrentHashMap$MapEntry",1134,27216
"java.util.HashMap$KeySet",1122,17952
"org.h2.mvstore.Page$PageReference",1116,35712
"java.util.LinkedHashMap$LinkedKeyIterator",1045,33440
"java.util.HashMap$KeyIterator",1034,41360
"java.util.LinkedHashMap$LinkedValues",948,15168
"org.h2.table.TableFilter",931,119168
"org.h2.util.ColumnNamer",921,22104
"java.util.concurrent.locks.ReentrantLock$NonfairSync",918,29376
"com.sun.proxy.$Proxy6",908,14528
"org.h2.index.IndexCursor",899,57536
"antlr.ANTLRHashString",824,26368
"org.apache.lucene.util.BytesRef",787,18888
"org.h2.command.dml.Select",780,168480
"java.beans.MethodDescriptor",775,43400
"java.util.Collections$UnmodifiableCollection$1",763,18312
"sun.reflect.DelegatingMethodAccessorImpl",751,12016
"java.util.concurrent.ConcurrentLinkedQueue$Node",748,17952
"java.util.Collections$SynchronizedSet",728,17472
"org.springframework.asm.Type",718,22976
"org.h2.table.Plan$1",716,17184
"boolean[]",715,22848
"org.h2.value.ValueRow",676,16224
"long[]",672,457568
"java.math.BigDecimal",670,26800
"java.io.File",667,21344
"org.dbunit.dataset.Column",667,26680
"org.h2.command.dml.AllColumnsForPlan",659,15816
"org.h2.table.Plan",659,21088
"sun.reflect.generics.tree.SimpleClassTypeSignature",639,15336
"org.h2.mvstore.Cursor",634,25360
"sun.reflect.generics.tree.TypeArgument[]",623,11928
"java.lang.Class$ReflectionData",608,34048
"org.springframework.core.annotation.AnnotationTypeMappings[]",605,14520
"sun.reflect.generics.tree.ClassTypeSignature",601,9616
"org.springframework.core.annotation.MergedAnnotationsCollection",600,14400
"org.springframework.core.annotation.TypeMappedAnnotation",599,33544
"org.h2.command.dml.Optimizer",598,38272
"java.util.concurrent.locks.ReentrantReadWriteLock$NonfairSync",593,28464
"org.springframework.core.annotation.MergedAnnotation[]",592,9472
"java.util.concurrent.locks.ReentrantLock",587,9392
"java.util.concurrent.locks.ReentrantReadWriteLock$ReadLock",584,9344
"org.springframework.core.type.classreading.SimpleMethodMetadataReadingVisitor$$Lambda$486.1681838063",582,9312
"org.springframework.core.type.classreading.MergedAnnotationReadingVisitor",581,23240
"org.springframework.core.type.classreading.SimpleMethodMetadataReadingVisitor$$Lambda$487.456240898",579,9264
"org.springframework.core.type.classreading.SimpleMethodMetadataReadingVisitor$Source",575,18400
"org.h2.value.TypeInfo",573,22920
"sun.reflect.NativeMethodAccessorImpl",572,13728
"java.lang.reflect.Type[]",568,12088
"org.springframework.core.MethodClassKey",566,13584
"java.lang.reflect.Field",552,39744
"org.springframework.core.type.classreading.SimpleMethodMetadata",544,17408
"java.util.LinkedHashMap$LinkedEntrySet",528,8448
"java.util.concurrent.ConcurrentHashMap",526,33664
"java.lang.ref.ReferenceQueue$Lock",525,8400
"org.apache.lucene.index.FieldInfo",521,25008
"java.lang.reflect.Constructor",518,41440
"java.util.concurrent.atomic.AtomicInteger",514,8224
"java.util.concurrent.CopyOnWriteArrayList",505,12120
"java.lang.reflect.Parameter[]",504,8064
"java.lang.ref.ReferenceQueue",499,15968
"java.lang.reflect.Constructor[]",498,11856
"java.util.Vector",489,15648
"java.util.concurrent.atomic.LongAdder",485,15520
"java.util.TreeMap",478,22944
"org.dbunit.util.QualifiedTableName",478,11472
"org.junit.platform.engine.UniqueId$Segment",473,11352
"org.junit.platform.launcher.TestIdentifier",473,18920
"org.junit.platform.engine.UniqueId",459,14688
"org.springframework.util.ConcurrentReferenceHashMap$SoftEntryReference",458,21984
"org.junit.platform.engine.support.descriptor.MethodSource",457,14624
"org.h2.expression.ValueExpression",450,10800
