"Time [s]","Process load","System load"
0.0,0,0
1.0,17.65,27.52
2.0,10.51,18.17
3.01,21.91,29.83
4.01,16.66,27.34
5.01,26.77,33.26
6.01,29.3,38.28
7.01,22.08,37.29
8.02,20.77,31.28
9.02,16.87,29.59
10.02,12.08,21.31
11.03,14.01,19.45
12.03,13.54,23.56
13.03,22.11,31.73
14.03,32.06,42.62
15.03,16.46,28.01
16.04,16.49,22.06
17.04,18.67,33.33
18.04,19.63,29.91
19.05,15.98,24.17
20.05,19.26,29.55
21.05,17.04,23.8
22.05,23.44,28.64
23.05,25,37.37
24.05,25.75,33.16
25.05,20.28,30.7
26.06,18.82,27.9
27.06,24.45,28.48
28.06,28.09,40.32
29.06,17.39,26.61
30.06,13.8,21.74
31.07,15.43,28.14
32.07,12.62,22.39
33.07,12.75,20.31
34.07,12.84,21.26
35.08,12.7,23.05
36.08,15.6,22.63
37.08,12.74,23.54
38.09,12.73,19.23
39.09,14.42,25.2
40.09,10.24,20.86
41.1,11.8,19.18
42.1,10.51,19.99
43.1,18.08,38.37
44.11,20.88,32.16
45.11,10.8,24.47
46.11,27.25,35.18
47.12,19.97,28.66
48.12,14.84,25.78
49.18,8.34,18.89
50.18,15.56,32.03
51.19,8.44,20
52.19,11.95,18.45
53.19,10.16,22.54
54.21,9.42,17.2
55.21,11.08,14.87
56.21,9.88,19.61
57.21,9.36,19.64
58.21,13.35,22.04
59.22,11.97,27.96
60.22,10.77,22.22
61.22,10.53,20.68
62.22,13.36,25.69
63.23,16.13,25.49
64.23,13.73,26.42
65.24,11.15,24.38
66.24,9.73,17
67.24,10.41,20.18
68.24,8.44,22.48
69.25,12.2,21.67
70.25,13.38,27.02
71.25,14.51,26.16
72.26,20.52,33.14
73.26,18.67,30.73
74.26,13.15,25.78
75.26,11.41,21
76.27,11.06,23.54
77.27,11.42,23.36
78.27,8.04,18.31
79.28,12.98,26.22
80.28,8.19,20.16
81.28,8.19,18.97
82.28,7.91,25.31
83.29,12.46,28.43
84.29,9.09,22.36
85.29,7.91,22.82
86.29,10.41,19.4
87.3,10.75,23.73
88.3,10.65,25.83
89.34,7.78,15.7
90.34,8.17,24.51
91.34,7.92,22.35
92.35,11.3,21.3
93.35,13.36,29.69
94.35,9.37,21.75
95.35,8.43,22.32
96.36,8.82,30.08
97.36,7.93,32
98.37,11.92,32.03
99.37,7.92,21.42
100.37,8.81,23.86
101.38,10.62,24.09
102.38,9.73,22.45
103.38,6.89,19.51
104.38,11.98,23.3
105.39,10.37,22.94
106.39,8.05,20.53
107.39,7.94,20.44
108.4,9.71,26.69
109.4,6.75,17.53
110.41,8.82,22.82
111.41,8.04,23.1
112.41,7,18.41
113.42,7.78,19.97
114.42,9.34,22.72
115.42,7.26,17.39
116.43,7.79,21.83
117.43,7.94,22.25
118.43,7.26,18.67
119.43,8.05,21.05
120.44,9.23,24.45
121.44,7.15,18.21
122.44,7.15,20.16
123.44,8.16,21.52
124.45,8.17,18.16
125.45,8.03,21.37
126.45,7.55,19.14
127.46,8.96,13.9
128.46,9.31,20.31
129.47,9.21,17.13
130.47,9.59,16.45
131.48,8.29,19.56
132.48,8.97,17.43
133.48,8.81,16.85
134.49,9.22,17.91
135.49,8.3,16.86
136.49,7.79,17.53
137.5,10.12,20.51
138.5,9.63,13.4
139.5,10.27,20.42
140.5,9.49,17.04
141.5,9.86,15.17
142.78,8.77,17.05
143.78,11.41,24.24
144.78,12.5,21.61
145.79,10.11,23.6
146.79,9.23,18.59
147.79,10.79,18.08
148.79,9.34,19.73
149.8,8.7,21.7
150.8,11.54,18.01
151.8,9.62,21.98
152.81,10.38,22.45
153.81,7.66,14.93
154.81,8.72,21.87
155.82,9.59,20.36
156.82,9.62,18.21
157.82,8.7,18.71
158.82,14.12,23.57
159.83,8.19,16.89
160.83,8.84,21.71
161.83,9.33,16.46
162.84,9.33,19.33
163.84,8.29,21.76
164.84,8.71,16.9
165.85,9.08,19.32
166.85,9.88,21.98
167.85,8.3,17.26
168.86,8.56,17.89
169.86,8.3,24.76
170.87,10.64,19.47
171.87,7.52,18.17
172.99,8.51,20.04
173.99,8.3,14.93
174.99,8.58,20.94
175.99,7.41,19.24
176.99,8.59,18.23
178.0,8.3,19.34
179.0,9.09,19.87
180.0,7.8,14.32
181.0,9.75,21.46
182.0,9.24,19.27
183.0,8.33,14.7
184.01,8.05,22.87
185.01,9.35,19.62
186.08,10.18,18.66
187.08,12.1,22.65
188.09,9.72,22.94
189.09,9.07,15.56
190.09,8.96,21.83
191.1,9.99,20.49
192.1,7.92,16.5
193.1,7.26,19.06
194.23,8.86,19.45
195.24,15.62,22.78
196.24,8.32,22.11
197.24,7.79,18.83
198.24,8.81,17.1
199.25,9.33,24.12
200.25,7.77,21.53
201.26,8.44,14.94
202.26,7.64,17.62
203.26,10.79,26.78
204.27,7.8,17.04
205.27,8.85,22.91
206.27,8.6,20.59
207.27,8.05,19.47
208.27,8.16,18.15
209.27,8.33,14.32
210.28,7.13,16.22
211.28,8.56,18.67
212.46,7.99,16.31
213.46,8.45,17.57
214.46,8.82,18.28
215.47,7.37,17.49
216.47,7.94,17.29
217.47,8.71,20.18
218.47,8.44,12.73
219.47,8.84,17.02
220.48,8.43,18.82
221.48,8.19,11.81
222.48,8.58,25.36
223.49,8.82,25.96
224.49,8.04,15.69
225.6,8.3,17.66
226.61,7.66,14.94
227.61,8.32,15.86
228.61,9.62,18.71
229.68,8.24,15.78
230.69,8.44,19.36
231.69,8.31,25.85
232.69,7.54,21.59
233.69,8.7,18.57
234.69,8.84,19.64
235.7,7.8,15.08
236.7,7.02,18.33
237.7,8.06,19.27
238.7,9.34,20.38
239.7,8.69,16.09
240.71,8.04,18.02
241.71,7.91,15.45
242.71,9.5,15.35
243.79,7.87,17.82
244.78,8.76,14.64
245.79,16.45,30.7
246.79,8.56,23.37
247.8,7.13,28.04
248.8,9.88,22.34
249.8,7.94,19.4
250.8,7.27,19.87
251.81,7.38,19.84
252.81,8.05,20.91
253.81,7.91,21.68
254.82,7.13,21.5
255.82,8.07,18.63
256.82,8.31,17.8
257.82,8.71,20.42
258.83,8.04,15.68
259.83,8.71,15.09
260.83,7.93,22.76
261.83,8.56,18.3
262.85,7.82,19.11
263.85,8.33,20.05
264.85,8.2,14.31
265.85,8.8,19.17
266.86,10.93,23.8
267.86,9.23,13.27
268.86,9.6,17.39
269.86,11.42,21.67
270.87,10.26,15.45
272.01,8.31,17.65
273.01,9,20.2
274.01,8.83,13.51
275.02,9.47,19.32
276.21,8.75,15.65
277.21,9.38,14.72
278.21,14.14,23.76
279.21,9.11,16.79
280.21,8.17,14.93
281.22,8.44,19.6
282.22,8.18,14.42
283.22,8.2,16.4
284.22,8.84,19.49
285.23,8.29,14.76
286.23,9.35,16.1
287.23,9.32,17.88
288.24,8.58,14.95
289.24,8.33,17.32
290.24,8.31,18.71
291.24,8.85,16.92
292.24,8.44,16.5
293.24,8.33,14.32
294.25,8.32,13.91
295.25,8.56,18.17
296.25,8.71,17.04
297.44,8.65,16.86
298.44,8.07,16.95
299.44,8.6,14.7
300.44,8.44,18.99
301.45,8.17,17.24
302.45,8.2,14.58
303.45,9.08,17.26
304.45,8.55,18.15
305.46,7.94,13.54
306.46,8.82,15.3
307.46,8.31,17.8
308.47,8.17,15.44
309.47,10.25,20.38
310.47,8.05,17.14
311.47,8.45,17.04
312.48,8.44,17.01
313.77,8.13,16.66
314.77,8.34,14.73
315.77,8.19,19.24
316.77,8.32,19.77
317.78,9.49,15.74
318.78,1.17,12.06
319.78,2.34,10.55
320.78,8.57,15.71
321.79,10.76,22.43
323.07,8.26,16.52
324.07,8.17,12.72
325.07,7.42,17.7
326.32,8.2,18.7
327.32,8.58,13.66
328.32,8.32,21.85
329.33,13.38,24.3
330.33,8.56,14.14
331.33,8.2,20.31
332.34,8.8,16.04
333.34,8.85,15.49
334.34,8.58,17.29
335.34,7.93,14.17
336.35,18.69,26.35
337.35,9.1,17.18
338.63,8.32,14.81
339.63,9.77,15.64
340.63,8.44,18.32
341.64,8.82,15.43
342.84,8.43,15.03
343.85,8.95,16.21
344.85,9.23,15.6
345.85,8.72,16.27
346.85,8.32,17.55
347.85,9.73,19.21
348.85,11.7,20.02
349.85,8.72,20.05
350.86,8.18,13.9
351.9,9.85,20.08
352.91,8.42,18.02
353.91,8.18,16.09
354.91,8.32,18.33
355.92,8.9,17.55
356.92,9.33,13.23
357.93,8.59,19.4
