"Time [s]","Committed size","Free size","Used size"
0.0,247296000,239553000,7743000
1.01,247296000,198237000,49059000
2.01,178176000,166068000,12108000
3.01,217600000,192430000,25170000
4.01,217600000,182741000,34859000
5.01,287744000,204480000,83264000
6.01,287744000,230727000,57017000
7.01,287744000,161123000,126621000
8.01,466944000,405203000,61741000
9.01,466944000,353240000,113704000
10.01,466944000,298449000,168495000
11.01,466944000,191816000,275128000
12.01,473600000,372987000,100613000
13.01,473600000,295741000,177859000
14.01,473600000,247073000,226527000
15.01,638464000,583248000,55216000
16.01,638464000,516531000,121933000
17.01,638464000,430059000,208405000
18.01,638464000,331696000,306768000
19.02,638464000,203172000,435292000
20.02,645120000,450067000,195053000
21.02,645120000,226668000,418452000
22.02,788480000,650873000,137607000
23.02,788480000,563553000,224927000
24.02,788480000,448849000,339631000
25.02,788480000,299332000,489148000
26.02,788480000,678864000,109616000
27.02,788480000,617244000,171236000
28.02,788480000,580394000,208086000
29.02,788480000,495677000,292803000
30.02,788480000,363933000,424547000
31.02,788480000,203123000,585357000
32.02,973824000,820517000,153307000
33.02,973824000,765108000,208716000
34.02,973824000,583508000,390316000
35.02,973824000,481672000,492152000
36.02,973824000,204267000,769557000
37.03,980480000,808722000,171758000
38.03,980480000,620382000,360098000
39.03,980480000,444484000,535996000
40.03,980480000,247799000,732681000
41.03,1246208000,1039561000,206647000
42.03,1246208000,715763000,530445000
43.03,1246208000,413947000,832261000
44.03,1245696000,1121943000,123753000
45.03,1245696000,842013000,403683000
46.03,1245696000,421291000,824405000
47.03,1554432000,1319307000,235125000
48.03,1554432000,1101575000,452857000
49.03,1554432000,853596000,700836000
50.03,1554432000,779377000,775055000
51.03,1554432000,659459000,894973000
52.03,1554432000,249128000,1305304000
53.03,1553920000,1302204000,251716000
54.03,1553920000,838277000,715643000
55.04,1553920000,611368000,942552000
56.04,1553920000,320000000,1233920000
57.04,1607680000,1410416000,197264000
58.04,1607680000,1129747000,477933000
59.04,1607680000,719804000,887876000
60.04,1607680000,309031000,1298649000
61.04,1607680000,238460000,1369220000
62.04,1607168000,1457241000,149927000
