"Name","Instance Count","Size (bytes)"
"char[]",435396,61154616
"java.lang.String",182966,4391184
"org.h2.value.ValueString",181395,4353480
"java.lang.StringBuilder",87059,2089416
"byte[]",69734,20844912
"java.util.LinkedHashMap$Entry",66963,2678520
"com.sun.nio.zipfs.ZipFileSystem$IndexNode",59281,1896992
"int[]",49575,4152056
"java.lang.Object[]",39889,3751872
"java.util.HashMap$Node",25425,813600
"org.h2.value.Value[]",24060,2562696
"org.h2.result.RowImpl",21392,684544
"org.h2.mvstore.RootReference",17362,972272
"org.h2.table.IndexColumn",15839,380136
"java.util.ArrayList",14969,359256
"org.h2.expression.ExpressionColumn",11815,567120
"org.h2.value.ValueLong",8257,198168
"java.lang.String[]",7837,279776
"java.util.ArrayList$Itr",7247,231904
"java.util.concurrent.ConcurrentHashMap$Node",7072,226304
"java.util.HashMap$Node[]",6010,1012136
"java.util.LinkedHashMap",5996,335776
"java.lang.Class[]",5777,120528
"java.util.HashMap",5478,262944
"org.h2.expression.Alias",5071,162272
"java.lang.Integer",4803,76848
"java.lang.reflect.Method",4452,391776
"org.h2.table.Column",4106,361328
"java.lang.Object",4028,64448
"org.h2.mvstore.CursorPos",3831,91944
"java.lang.ref.WeakReference",3412,109184
"java.util.regex.Matcher",3347,214208
"java.util.HashSet",2840,45440
"java.lang.Long",2728,65472
"org.h2.mvstore.MVMap$IntValueHolder",2722,43552
"org.h2.value.ValueInt",2389,38224
"org.h2.expression.Expression[]",2372,45352
"java.lang.ref.SoftReference",2332,93280
"org.h2.value.ValueArray",2160,69120
"java.lang.Class",2011,643520
"java.util.LinkedHashSet",1981,31696
"java.util.Hashtable$Entry",1967,62944
"org.springframework.core.type.classreading.SimpleMethodMetadataReadingVisitor",1857,103992
"java.util.TreeMap$Entry",1747,69880
"org.h2.mvstore.tx.TransactionMap",1726,55232
"java.beans.MethodRef",1711,41064
"org.h2.table.IndexColumn[]",1710,122880
"org.springframework.core.type.classreading.SimpleAnnotationMetadataReadingVisitor$$Lambda$485.1251686742",1637,26192
"org.h2.expression.condition.CompareLike",1579,101056
"org.h2.table.TableFilter[]",1504,28856
"java.util.LinkedHashMap$LinkedKeySet",1438,23008
"org.h2.table.Column[]",1438,85736
"org.h2.index.IndexType",1431,34344
"org.h2.mvstore.tx.VersionedValueUncommitted",1418,45376
"sun.reflect.annotation.AnnotationInvocationHandler",1406,33744
"org.h2.expression.Parameter",1372,43904
"org.h2.expression.condition.ConditionAndOr",1283,41056
"org.springframework.core.annotation.AnnotationTypeMappings$$Lambda$219.2092801316",1216,19456
"org.springframework.core.annotation.AnnotationTypeMappings$Cache$$Lambda$220.376635015",1185,18960
"java.util.Collections$UnmodifiableSet",1181,18896
"java.util.concurrent.ConcurrentHashMap$MapEntry",1136,27264
"org.h2.mvstore.tx.Snapshot",1120,26880
"java.util.LinkedHashMap$LinkedKeyIterator",1038,33216
"org.h2.index.MetaIndex",1034,82720
"org.h2.mvstore.tx.TxDecisionMaker",1000,56000
"org.h2.table.PlanItem",966,38640
"java.util.LinkedHashMap$LinkedValues",946,15136
"java.util.concurrent.locks.ReentrantLock$NonfairSync",946,30272
"java.util.HashMap$KeySet",934,14944
"java.util.HashMap$KeyIterator",915,36600
"org.h2.expression.ExpressionVisitor",852,40896
