"Time [s]","Process load","System load"
0.0,0,0
1.0,16.87,23.36
2.01,9.14,17.11
3.01,14.35,23.35
4.01,22.13,30.34
5.01,20.7,28.12
6.01,14.97,27.47
7.01,10.64,18.17
8.01,13.27,21.59
9.01,13.54,22.52
10.02,25.85,33.13
11.02,24.85,33.82
12.02,16.1,23.26
13.03,19.47,26.08
14.03,19.27,28.25
15.03,19.61,28.59
16.03,17.5,23.73
17.04,20.88,28.27
18.04,13.62,19.06
19.04,24.68,35.21
20.05,27.44,39.54
21.05,28.17,34.92
22.05,25.25,35.28
23.05,23.41,32.51
24.05,15.34,19.9
25.05,14.68,24.69
26.38,19.78,30.46
