"Time [s]","Committed size","Free size","Used size"
0.0,247296000,239554000,7742000
1.0,247296000,190504000,56792000
2.01,247296000,232285000,15011000
3.01,169984000,101005000,68979000
4.01,204288000,103064000,101224000
5.01,319488000,286496000,32992000
6.01,319488000,235517000,83971000
7.02,319488000,165049000,154439000
8.02,319488000,163891000,155597000
9.02,396800000,325510000,71290000
10.02,396800000,257947000,138853000
11.17,467456000,430460000,36996000
12.17,467456000,362933000,104523000
13.17,467456000,265355000,202101000
14.17,549888000,434394000,115494000
15.18,549888000,301285000,248603000
16.18,550400000,425931000,124469000
17.18,550400000,252159000,298241000
18.18,652288000,561959000,90329000
19.18,652288000,505728000,146560000
20.18,652288000,438846000,213442000
21.19,652288000,277645000,374643000
22.2,654848000,570290000,84558000
23.2,654848000,389279000,265569000
24.2,654848000,325313000,329535000
25.21,654848000,240337000,414511000
