"Name","Instance Count","Size (bytes)"
"char[]",55443,6694632
"java.lang.String",28447,682728
"org.h2.value.ValueString",25630,615120
"byte[]",11807,3680664
"java.util.HashMap$Node",8577,274464
"java.lang.Object[]",7701,566032
"java.lang.StringBuilder",7174,172176
"int[]",7107,510712
"java.util.concurrent.ConcurrentHashMap$Node",5325,170400
"java.lang.String[]",5155,134704
"java.util.ArrayList",4304,103296
"java.lang.Class[]",3857,84728
"org.h2.value.Value[]",3662,406712
"java.util.LinkedHashMap$Entry",3237,129480
"java.lang.Object",2905,46480
"org.h2.result.RowImpl",2715,86880
"java.lang.reflect.Method",2545,223960
"java.util.HashMap$Node[]",2291,212968
"java.util.LinkedHashMap",2111,118216
"org.h2.mvstore.RootReference",1969,110264
"java.util.HashMap",1930,92640
"java.lang.ref.WeakReference",1916,61312
"org.h2.table.IndexColumn",1900,45600
"java.util.ArrayList$Itr",1546,49472
"java.lang.Integer",1519,24304
"java.lang.Class",1495,478400
"org.h2.expression.ExpressionColumn",1169,56112
"java.util.AbstractList$Itr",909,29088
"java.lang.ref.SoftReference",853,34120
"java.util.HashSet",822,13152
"java.util.concurrent.locks.ReentrantLock$NonfairSync",740,23680
"java.beans.MethodRef",727,17448
"java.util.concurrent.ConcurrentHashMap$MapEntry",681,16344
"org.springframework.core.annotation.TypeMappedAnnotation",676,37856
"org.springframework.core.annotation.MergedAnnotationsCollection",656,15744
"org.springframework.core.annotation.AnnotationTypeMappings[]",653,15672
"boolean[]",637,17896
"org.springframework.core.type.classreading.SimpleMethodMetadataReadingVisitor$Source",631,20192
"org.springframework.core.type.classreading.SimpleMethodMetadata",612,19584
"java.util.LinkedHashMap$LinkedKeyIterator",570,18240
"sun.reflect.generics.tree.TypeArgument[]",569,10784
"java.net.URL",564,36096
"org.h2.table.Column",564,49632
"net.bytebuddy.description.type.TypeDescription$ForLoadedType",556,22240
"sun.reflect.generics.tree.ClassTypeSignature",550,8800
"net.bytebuddy.description.type.TypeDescription$Generic$OfNonGenericType$ForLoadedType",549,13176
"sun.reflect.generics.tree.SimpleClassTypeSignature",548,13152
"org.h2.expression.Alias",523,16736
"org.h2.value.ValueArray",520,16640
"java.util.stream.ReferencePipeline$Head",499,27944
"java.lang.reflect.Type[]",493,10856
"java.lang.ref.Finalizer",472,18880
"java.util.concurrent.locks.ReentrantLock",469,7504
"org.h2.value.ValueInt",456,7296
"org.h2.value.ValueLong",449,10776
"java.util.concurrent.CopyOnWriteArrayList",448,10752
"java.beans.MethodDescriptor",440,24640
"org.h2.mvstore.CursorPos",430,10320
"java.lang.reflect.Method[]",426,21608
"java.util.Collections$UnmodifiableCollection$1",425,10200
"java.util.LinkedHashMap$LinkedValueIterator",424,13568
"java.lang.reflect.Field",419,30168
"java.io.File",413,13216
"org.springframework.core.MethodClassKey",400,9600
"java.lang.Long",393,9432
"java.util.HashMap$KeyIterator",393,15720
"java.util.concurrent.locks.ReentrantReadWriteLock$WriteLock",392,6272
"java.util.LinkedHashMap$LinkedValues",390,6240
"java.util.concurrent.locks.ReentrantReadWriteLock$Sync$ThreadLocalHoldCounter",389,6224
"sun.reflect.annotation.AnnotationInvocationHandler",384,9216
"net.sf.ehcache.store.chm.SelectableConcurrentHashMap$Segment",382,21392
"org.terracotta.statistics.archive.StatisticSampler$SamplingTask",375,9000
"net.sf.ehcache.statistics.extended.SampledStatistic",365,8760
"org.h2.mvstore.MVMap$IntValueHolder",355,5680
"org.terracotta.statistics.archive.StatisticSampler",345,13800
"java.util.ArrayList$ArrayListSpliterator",337,10784
"java.util.LinkedHashMap$LinkedEntryIterator",337,10784
"org.terracotta.statistics.archive.StatisticArchive",335,8040
"java.util.Hashtable$Entry",329,10528
"org.hibernate.annotations.common.reflection.java.JavaAnnotationReader",323,5168
"java.util.LinkedHashSet",316,5056
"com.sun.xml.bind.v2.runtime.unmarshaller.Scope",313,10016
"java.util.concurrent.ConcurrentHashMap",311,19904
"java.util.HashMap$KeySet",300,4800
"java.util.concurrent.atomic.AtomicInteger",299,4784
"java.util.TreeMap$Entry",296,11840
"org.apache.lucene.util.BytesRef",293,7032
"org.h2.mvstore.tx.VersionedValueUncommitted",291,9312
"java.lang.ref.ReferenceQueue$Lock",289,4624
"org.h2.expression.Expression[]",286,5912
"java.lang.ref.ReferenceQueue",282,9024
"org.springframework.util.ConcurrentReferenceHashMap$Entry",269,6456
"net.bytebuddy.description.type.TypeList$Generic$Explicit",267,6408
"org.springframework.util.ConcurrentReferenceHashMap$SoftEntryReference",260,12480
"org.hibernate.loader.PropertyPath",257,6168
"java.lang.Class$ReflectionData",254,14224
"org.springframework.util.ConcurrentReferenceHashMap$Reference[]",251,17840
"org.springframework.util.ConcurrentReferenceHashMap$ReferenceManager",250,6000
"org.springframework.util.ConcurrentReferenceHashMap$Segment",243,9720
"jdk.internal.org.objectweb.asm.Item",239,13384
"java.util.Collections$UnmodifiableSet",238,3808
"java.util.stream.ReferencePipeline$2",238,15232
"java.util.stream.ReferencePipeline$2$1",237,5688
"java.util.concurrent.locks.ReentrantReadWriteLock$ReadLock",235,3760
"java.util.concurrent.locks.ReentrantReadWriteLock$NonfairSync",234,11232
"org.h2.value.TypeInfo",234,9360
"net.bytebuddy.description.type.TypeDescription$Generic$Visitor$Substitutor$ForAttachment",233,5592
"net.sf.ehcache.store.chm.SelectableConcurrentHashMap$HashEntry[]",229,5496
"java.lang.String[][]",228,15608
"java.util.concurrent.atomic.AtomicReference",227,3632
"java.util.LinkedHashMap$LinkedKeySet",226,3616
"java.util.concurrent.CopyOnWriteArraySet",221,3536
"org.terracotta.statistics.jsr166e.LongAdder",217,6944
"net.bytebuddy.implementation.bytecode.StackManipulation$Size",206,4944
"java.lang.reflect.Constructor",205,16400
"org.h2.table.Column[]",203,13304
"org.terracotta.context.extractor.DirectAttributeGetter",203,3248
"net.sf.ehcache.statistics.extended.LatencyImpl$StatisticImpl",202,4848
"sun.reflect.generics.factory.CoreReflectionFactory",202,4848
"java.util.zip.ZipFile$ZipFileInputStream",200,11200
"sun.reflect.generics.reflectiveObjects.ParameterizedTypeImpl",199,4776
"java.util.stream.ReferencePipeline$3",197,12608
"java.lang.reflect.Constructor[]",196,4552
"java.util.Arrays$ArrayList",195,4680
"java.util.WeakHashMap$Entry",195,7800
"java.util.stream.Collectors$CollectorImpl",195,6240
"org.h2.mvstore.tx.Snapshot",194,4656
"java.util.HashMap$Values",192,3072
"org.hibernate.type.descriptor.sql.IntegerTypeDescriptor$2",190,6080
"java.util.stream.ReferencePipeline$3$1",188,4512
"org.apache.xerces.impl.xs.XSParticleDecl",188,7520
"java.lang.invoke.MethodType",187,7480
"org.hibernate.loader.plan.build.internal.spaces.EntityQuerySpaceImpl",187,7480
"java.util.zip.ZipFile$ZipFileInflaterInputStream",184,10304
"java.lang.invoke.MethodType$ConcurrentWeakInternSet$WeakEntry",182,5824
"java.util.jar.Attributes$Name",181,4344
"org.springframework.core.io.FileSystemResource",181,4344
"sun.reflect.generics.tree.FieldTypeSignature[]",181,3160
"org.hibernate.search.engine.impl.MappingModelMetadataProvider$MappingModelAnnotationReader",180,7200
"org.hibernate.engine.FetchStrategy",179,4296
"java.util.concurrent.ConcurrentLinkedQueue$Node",177,4248
"org.hibernate.property.access.spi.GetterMethodImpl",173,4152
"sun.nio.fs.WindowsPath",172,6880
"org.dbunit.dataset.Column",171,6840
"java.lang.annotation.Annotation[]",170,2840
"org.h2.mvstore.tx.TransactionMap",169,5408
"org.h2.table.IndexColumn[]",169,13952
"org.hibernate.loader.plan.build.internal.returns.SimpleEntityIdentifierDescriptionImpl",169,2704
"org.hibernate.type.descriptor.sql.VarcharTypeDescriptor$2",166,5312
"org.apache.xerces.util.SymbolTable$Entry",162,3888
"org.h2.index.IndexType",162,3888
"org.springframework.core.type.classreading.SimpleAnnotationMetadata",162,9072
"com.sun.proxy.$Proxy10",157,2512
"java.util.concurrent.ConcurrentLinkedQueue",156,3744
"net.bytebuddy.description.type.TypeDescription$Generic$LazyProjection$ForLoadedReturnType",155,3720
"org.apache.lucene.document.FieldType",154,6160
"org.springframework.core.type.classreading.SimpleMetadataReader",154,3696
"sun.reflect.generics.repository.MethodRepository",154,6160
"org.h2.expression.ExpressionVisitor",152,7296
"org.hibernate.property.access.spi.SetterMethodImpl",152,4864
"org.hibernate.tuple.BaselineAttributeInformation",152,4864
"java.util.stream.ReduceOps$3",151,4832
"org.apache.lucene.document.Field",151,4832
"org.h2.expression.Parameter",151,4832
"java.util.stream.AbstractPipeline$$Lambda$125.1863932867",150,2400
"java.util.stream.MatchOps$$Lambda$51.1734161410",149,3576
"org.hibernate.boot.model.naming.Identifier",149,3576
"java.util.stream.ReduceOps$3ReducingSink",148,4736
"net.bytebuddy.description.ByteCodeElement$Token$TokenList",148,3552
"org.hibernate.engine.spi.EntityKey",148,3552
"java.lang.reflect.TypeVariable[]",147,2464
"org.springframework.core.ResolvableType",147,7056
"java.util.Optional",146,2336
"org.junit.jupiter.engine.extension.MutableExtensionRegistry$$Lambda$253.988800485",146,2336
"java.util.stream.MatchOps$1MatchSink",145,3480
"java.util.stream.StreamSpliterators$WrappingSpliterator",145,6960
"org.apache.xerces.impl.xs.XSElementDecl",145,10440
"org.h2.table.TableFilter[]",145,2736
"org.hibernate.search.engine.impl.LuceneOptionsImpl",143,5720
"org.terracotta.statistics.jsr166e.LongMaxUpdater",143,4576
"sun.reflect.generics.tree.MethodTypeSignature",143,4576
"org.hibernate.loader.plan.build.internal.returns.EntityAttributeFetchImpl",142,6816
"org.hibernate.mapping.Column",140,10080
"org.hibernate.mapping.Property",138,7728
"org.junit.jupiter.engine.extension.MutableExtensionRegistry$$Lambda$254.345902941",138,2208
"sun.reflect.NativeConstructorAccessorImpl",138,3312
"sun.reflect.generics.tree.TypeSignature[]",138,3168
"java.util.LinkedList$Node",137,3288
"sun.reflect.generics.tree.FormalTypeParameter[]",135,2216
"java.util.stream.StreamSpliterators$WrappingSpliterator$$Lambda$127.103887628",131,2096
"org.springframework.core.type.MethodMetadata[]",131,2096
"org.apache.xerces.impl.xs.XSAttributeDecl",130,6240
"org.apache.xerces.impl.xs.identity.IdentityConstraint[]",130,3120
"org.h2.expression.function.Function",128,5120
"java.net.URLClassLoader$1",127,3048
"java.util.stream.MatchOps$MatchOp",126,3024
"sun.reflect.DelegatingConstructorAccessorImpl",126,2016
"org.apache.lucene.codecs.blocktree.BlockTreeTermsWriter$PendingTerm",125,4000
"org.apache.xerces.util.SymbolHash$Entry",125,3000
"org.codehaus.groovy.reflection.GeneratedMetaMethod$Proxy",125,7000
"java.util.Collections$UnmodifiableMap",124,3968
"org.apache.lucene.codecs.lucene50.Lucene50PostingsFormat$IntBlockTermState",124,11904
"org.apache.xerces.impl.xs.XSAttributeUseImpl",124,3968
"sun.reflect.generics.scope.MethodScope",124,2976
"java.lang.Class$MethodArray",122,2928
"org.h2.expression.condition.ConditionAndOr",121,3872
"org.hibernate.metamodel.model.domain.internal.SingularAttributeImpl$DelayedKeyTypeAccess",119,2856
"java.lang.Package",117,6552
"java.util.concurrent.atomic.AtomicLong",116,2784
"net.bytebuddy.jar.asm.SymbolTable$Entry",116,6496
"java.lang.StringBuffer",114,2736
"org.h2.mvstore.db.ValueDataType",114,4560
"org.hibernate.metamodel.model.domain.internal.SingularAttributeImpl",113,5424
"net.bytebuddy.description.type.TypeDescription$Generic$AnnotationReader$Delegator$ForLoadedMethodReturnType",112,1792
"net.bytebuddy.description.type.TypeList$Explicit",112,2688
"org.h2.expression.condition.CompareLike",112,7168
"java.util.Collections$UnmodifiableRandomAccessList",111,2664
"org.hibernate.internal.util.collections.IdentityMap$IdentityKey",111,1776
"net.bytebuddy.description.annotation.AnnotationList$Explicit",110,2640
"org.hibernate.engine.spi.CollectionKey",110,3520
"long[]",106,169344
"org.mockito.internal.util.collections.HashCodeAndEqualsSafeSet$1",105,2520
"com.sun.xml.bind.v2.runtime.Name",103,3296
"org.hibernate.type.descriptor.sql.TimestampTypeDescriptor$2",103,3296
"net.bytebuddy.description.type.TypeDescription$Generic$LazyProjection$OfMethodParameter",101,3232
"org.hibernate.metamodel.model.domain.internal.BasicTypeImpl",101,2424
"java.time.LocalDateTime",100,2400
"java.lang.Class$AnnotationData",99,2376
"java.util.stream.Streams$ConcatSpliterator$OfRef",99,2376
"java.util.Collections$SingletonList",98,2352
"org.hibernate.loader.DefaultEntityAliases",97,3880
"org.hibernate.mapping.SimpleValue",96,7680
"com.sun.xml.bind.v2.util.QNameMap$Entry",95,3040
"javax.xml.namespace.QName",95,2280
"org.hibernate.search.spi.impl.PojoIndexedTypeIdentifier",95,1520
"java.util.jar.JarFile$JarFileEntry",94,9024
"org.h2.mvstore.Cursor",94,3760
"org.hibernate.tuple.entity.EntityBasedBasicAttribute",94,3760
"org.apache.lucene.util.fst.Builder$Arc[]",92,2224
"com.sun.org.apache.xerces.internal.xni.QName",91,2912
"java.security.CodeSource",91,2912
"org.apache.lucene.util.fst.Builder$Arc",91,2912
"org.apache.lucene.util.fst.Builder$UnCompiledNode",91,4368
"org.hibernate.type.ManyToOneType",91,4368
"java.lang.ClassNotFoundException",90,3600
"com.sun.xml.bind.v2.model.impl.RuntimeClassInfoImpl$RuntimePropertySeed",89,2136
"java.lang.reflect.Field[]",89,2360
"java.util.stream.Streams$2",89,2136
"org.junit.platform.commons.util.ReflectionUtils$$Lambda$196.1704064279",88,1408
"sun.net.www.ParseUtil",88,1408
"java.sql.Timestamp",87,2784
"java.util.AbstractList$ListItr",86,2752
"java.util.HashMap$EntrySet",86,1376
"java.util.EnumMap",85,3400
"org.springframework.beans.factory.support.MethodOverrides",85,1360
"sun.reflect.DelegatingMethodAccessorImpl",85,1360
"com.sun.xml.bind.v2.runtime.reflect.Accessor$FieldReflection",83,1992
"org.h2.index.MetaIndex",83,6640
"java.beans.PropertyDescriptor",82,5904
"net.bytebuddy.description.method.ParameterList$TypeSubstituting",82,2624
"net.sf.ehcache.statistics.extended.SemiExpiringStatistic",81,2592
"org.apache.logging.log4j.core.Logger$PrivateConfig",81,3240
"java.util.RegularEnumSet",80,2560
"org.hibernate.sql.Alias",80,1920
"org.springframework.beans.factory.annotation.InjectionMetadata",80,1920
"org.h2.mvstore.tx.Transaction",77,6776
"org.h2.table.PlanItem",77,3080
"org.hibernate.boot.jaxb.hbm.spi.JaxbHbmBasicAttributeType",77,7392
"org.springframework.core.ResolvableType$DefaultVariableResolver",77,1232
"sun.reflect.NativeMethodAccessorImpl",77,1848
"org.springframework.core.MethodParameter",76,4864
"org.terracotta.statistics.derived.EventParameterSimpleMovingAverage$1",76,1216
"org.apache.logging.log4j.spi.AbstractLogger$LocalLogBuilder",75,1800
"org.springframework.core.annotation.AnnotationTypeMappings$Cache$$Lambda$373.399699227",75,1200
"org.terracotta.statistics.derived.EventParameterSimpleMovingAverage",75,3000
"org.terracotta.statistics.derived.EventRateSimpleMovingAverage$CounterPartition",75,3600
"net.bytebuddy.implementation.bytecode.StackManipulation$Compound",74,1184
"com.sun.xml.bind.v2.model.impl.FieldPropertySeed",73,1752
"net.sf.ehcache.statistics.extended.RateImpl",73,1752
"net.sf.ehcache.statistics.extended.RateImpl$1",73,3504
"org.apache.logging.log4j.message.ParameterizedMessageFactory",73,1168
"org.h2.value.ValueRow",73,1752
"org.terracotta.statistics.derived.LatencySampling",73,2336
"org.apache.logging.log4j.message.DefaultFlowMessageFactory",71,1704
"org.h2.table.TableFilter",71,9088
"net.bytebuddy.implementation.bytecode.StackManipulation[]",70,1832
"net.sf.ehcache.util.concurrent.ConcurrentHashMap$Node",70,2240
"org.terracotta.context.WeakIdentityHashMap$IdentityWeakReference",70,2240
"java.util.AbstractMap$SimpleImmutableEntry",69,1656
"net.sf.ehcache.statistics.extended.LatencyImpl",69,3312
"org.terracotta.statistics.derived.EventParameterSimpleMovingAverage$2",69,1104
"org.terracotta.statistics.derived.EventRateSimpleMovingAverage",69,2760
"java.util.Hashtable$Entry[]",68,5968
"org.h2.mvstore.Page$Leaf",68,3264
"java.lang.invoke.DirectMethodHandle",67,2144
"org.apache.logging.log4j.core.Logger",67,2680
"java.util.LinkedHashMap$LinkedEntrySet",66,1056
"org.terracotta.context.extractor.LazyContextElement",66,1584
"org.terracotta.statistics.derived.OperationResultFilter",66,1584
"java.lang.ThreadLocal",65,1040
"org.terracotta.context.MutableTreeNode",65,1560
"int[][]",64,5432
"java.util.Vector",64,2048
"org.h2.mvstore.tx.VersionedValueType",64,1024
"org.terracotta.statistics.AbstractOperationStatistic$2",64,1536
"org.terracotta.statistics.derived.EventParameterSimpleMovingAverage$3",64,1024
"org.terracotta.statistics.derived.EventParameterSimpleMovingAverage$AveragePartition",64,3072
"sun.misc.URLClassPath$JarLoader$2",64,2048
"org.codehaus.groovy.runtime.metaclass.MetaMethodIndex$Entry",62,3472
"org.codehaus.groovy.util.ReferenceType$SoftRef",62,2976
"org.h2.index.IndexCondition",62,1984
"org.h2.index.IndexCursor",61,3904
"org.h2.mvstore.MVMap",61,4392
"org.h2.expression.ValueExpression",60,1440
"org.hibernate.loader.plan.exec.internal.EntityReferenceAliasesImpl",60,1440
"com.sun.proxy.$Proxy74",59,944
"java.util.concurrent.ConcurrentHashMap$Node[]",59,90456
"org.springframework.beans.PropertyValue",59,2832
"org.apache.xerces.impl.xs.util.XSObjectListImpl",58,1392
"org.codehaus.groovy.reflection.CachedMethod",58,3712
"org.h2.table.Plan$1",58,1392
"org.hibernate.engine.internal.MutableEntityEntry",58,2784
"java.util.LinkedList",57,1824
"net.sf.ehcache.statistics.extended.OperationImpl",57,1824
"org.apache.xerces.impl.xs.XSParticleDecl[]",57,1664
"org.h2.mvstore.db.MVSecondaryIndex",57,4560
"org.h2.table.Plan",56,1792
"org.springframework.core.annotation.AnnotationTypeMappings$$Lambda$372.365864880",56,896
"net.bytebuddy.description.type.TypeDescription$Generic$AnnotationReader$Delegator$ForLoadedExecutableParameterType",55,1320
"org.apache.lucene.store.RAMFile",55,2200
"net.bytebuddy.description.method.ParameterDescription$Latent",54,2592
"org.codehaus.groovy.reflection.CachedClass[]",54,1400
"net.bytebuddy.dynamic.Transformer$ForMethod$TransformedMethod$AttachmentVisitor",53,848
"net.bytebuddy.matcher.ElementMatcher[]",53,1272
"org.h2.constraint.ConstraintReferential",53,5088
"org.h2.mvstore.Page$PageReference",53,1696
"org.h2.util.ColumnNamer",53,1272
"org.hibernate.tuple.entity.EntityBasedAssociationAttribute",53,2544
"java.util.zip.ZipEntry",52,4160
"net.bytebuddy.description.method.ParameterDescription$ForLoadedParameter$OfMethod",52,1664
"sun.reflect.ClassFileAssembler",52,1664
"net.sf.ehcache.statistics.CoreStatisticsImpl$1",51,816
"org.hibernate.type.descriptor.sql.BooleanTypeDescriptor$2",51,1632
"sun.reflect.generics.scope.ClassScope",51,1224
"com.sun.xml.bind.v2.runtime.reflect.TransducedAccessor$CompositeTransducedAccessorImpl",50,1200
"org.hibernate.loader.plan.build.internal.returns.CollectionAttributeFetchImpl",50,2400
"org.hibernate.loader.plan.build.internal.returns.CollectionFetchableElementEntityGraph",50,2000
"org.hibernate.loader.plan.exec.process.internal.EntityReferenceInitializerImpl",50,1200
"org.hibernate.type.Type[]",50,2040
"org.springframework.beans.MutablePropertyValues",50,1200
"org.terracotta.statistics.GeneralOperationStatistic",50,2000
"com.sun.xml.bind.v2.model.impl.RuntimeAttributePropertyInfoImpl",49,3136
"com.sun.xml.bind.v2.runtime.unmarshaller.ChildLoader",49,1176
"java.time.LocalDate",49,1176
"org.hibernate.stat.internal.StatisticsImpl$$Lambda$649.38346737",49,784
"org.springframework.beans.GenericTypeAwarePropertyDescriptor",49,4704
"org.springframework.core.ResolvableType[]",49,1064
"org.hibernate.loader.GeneratedCollectionAliases",48,1920
"com.sun.xml.bind.v2.runtime.property.TagAndType",47,1128
"java.util.HashMap$ValueIterator",47,1880
"java.util.Hashtable",47,2256
"org.hibernate.engine.spi.CollectionEntry",47,2256
"sun.misc.ProxyGenerator$ConstantPool$IndirectEntry",47,1128
"net.bytebuddy.description.method.MethodDescription$TypeToken",46,1104
"org.codehaus.groovy.util.ManagedReference",46,1104
"org.h2.expression.condition.Comparison",46,1472
"org.hibernate.loader.plan.build.internal.spaces.CollectionQuerySpaceImpl",46,2208
"org.springframework.core.annotation.TypeMappedAnnotations",46,1840
"com.sun.proxy.$Proxy61",45,720
"org.apache.xerces.impl.xs.XSModelGroupImpl",45,1440
"org.h2.command.dml.Select",45,9720
"org.hibernate.mapping.ForeignKey",45,2160
"com.sun.xml.bind.v2.runtime.property.AttributeProperty",44,1760
"java.util.concurrent.ConcurrentLinkedDeque$Node",44,1056
"org.springframework.core.annotation.AnnotationTypeMappings$$Lambda$381.164757726",44,704
"java.util.Spliterators$ArraySpliterator",43,1376
"java.util.WeakHashMap$Entry[]",43,4080
"sun.reflect.ByteVectorImpl",43,1032
"com.sun.proxy.$Proxy91",42,672
"net.bytebuddy.description.method.ParameterList$ForTokens",42,1008
"org.apache.logging.log4j.message.MessageFormatMessageFactory",42,672
"org.apache.xerces.impl.xs.XSAnnotationImpl",42,1008
"com.sun.proxy.$Proxy88",41,656
"java.lang.reflect.Parameter[]",41,688
"java.util.ArrayDeque",41,984
"org.apache.xerces.impl.xs.XSAttributeGroupDecl",41,1968
"org.terracotta.context.extractor.WeakAttributeGetter",41,656
"com.sun.xml.bind.v2.model.impl.RuntimeTypeRefImpl",40,1600
"java.util.Properties",40,1920
"net.bytebuddy.matcher.ElementMatcher$Junction$Conjunction",40,640
"org.hibernate.event.spi.PreLoadEvent",40,1280
"org.hibernate.loader.CollectionAliases[]",40,960
"net.bytebuddy.description.method.ParameterDescription$TypeSubstituting",39,1248
"net.bytebuddy.description.type.TypeDescription$Generic$LazyProjection$WithResolvedErasure",39,1248
"java.lang.invoke.BoundMethodHandle$Species_L",38,1216
"java.util.WeakHashMap",38,1824
"org.apache.lucene.store.RAMOutputStream",38,2128
"org.h2.command.dml.Select$LazyResultQueryFlat",38,2432
"org.hibernate.stat.internal.StatisticsImpl$$Lambda$642.486295545",38,608
"org.springframework.beans.factory.support.RootBeanDefinition",38,6688
"java.security.ProtectionDomain",37,1480
"org.apache.xerces.impl.dv.ValidatedInfo",37,1480
"org.h2.command.dml.AllColumnsForPlan",37,888
"org.h2.mvstore.tx.TransactionMap$CommittedIterator",37,1184
"org.hibernate.collection.internal.PersistentSet",37,2368
"org.hibernate.mapping.Table$ForeignKeyKey",37,888
