"Time [s]","Process load","System load"
0.0,0,0
1.01,16.63,26.5
2.01,10.53,21.72
3.01,13.11,18.03
4.01,17.45,30.08
5.01,17.07,23.45
6.02,15.42,23.86
7.02,10.88,23.32
8.03,11.41,22.17
9.03,14.42,20.91
10.03,17.65,27
11.04,29.24,35.61
12.04,20.81,31.6
13.04,12.1,20.45
14.04,20.53,30.79
15.04,18.75,26.43
16.04,22.08,31.31
17.05,16.61,22.06
18.05,17.77,28.79
19.06,17.77,27.91
20.06,24.77,31.5
21.06,24.63,37.48
22.07,27.75,33.98
23.07,27.73,34.76
24.07,18.3,29.98
25.07,16.42,24.5
26.07,25.98,34.82
27.14,8.58,18.63
