"Time [s]","Committed size","Free size","Used size"
0.0,247296000,239553000,7743000
1.0,247296000,186625000,60671000
2.0,247296000,227307000,19989000
3.01,205312000,183925000,21387000
4.01,205312000,85795000,119517000
5.01,328704000,279374000,49330000
6.02,328704000,209305000,119399000
7.02,328192000,288276000,39916000
8.02,328192000,149941000,178251000
9.03,418816000,327690000,91126000
10.03,418816000,264485000,154331000
11.03,486912000,406475000,80437000
12.03,486912000,312095000,174817000
13.06,573440000,516479000,56961000
14.05,573440000,374115000,199325000
15.06,573440000,183302000,390138000
16.06,574464000,347748000,226716000
17.07,574464000,240651000,333813000
18.07,574464000,174558000,399906000
19.07,697856000,559380000,138476000
20.07,697856000,384811000,313045000
21.07,697856000,226634000,471222000
22.08,698880000,556145000,142735000
23.08,698880000,493363000,205517000
24.36,698880000,420588000,278292000
