"Name","Instance Count","Size (bytes)"
"char[]",133506,14845224
"org.h2.value.ValueString",96143,2307432
"java.lang.String",62210,1493040
"int[]",23166,1575720
"java.lang.StringBuilder",21586,518064
"java.lang.Object[]",16371,1579240
"byte[]",12133,4511232
"org.h2.value.Value[]",11708,1453112
"java.util.HashMap$Node",11139,356448
"org.h2.result.RowImpl",10349,331168
"org.h2.mvstore.RootReference",9918,555408
"org.h2.table.IndexColumn",6308,151392
"java.util.concurrent.ConcurrentHashMap$Node",5568,178176
"java.util.ArrayList",5331,127944
"java.lang.String[]",5132,132536
"java.lang.Class[]",3811,83696
"org.h2.expression.ExpressionColumn",3508,168384
"java.util.LinkedHashMap$Entry",3431,137240
"java.lang.Object",2901,46416
"java.lang.reflect.Method",2631,231528
"java.util.ArrayList$Itr",2606,83392
"java.util.HashMap$Node[]",2587,222424
"java.util.HashMap",2357,113136
"java.util.LinkedHashMap",2045,114520
"java.lang.Integer",1994,31904
"java.lang.ref.WeakReference",1861,59552
"java.lang.Class",1541,493120
"org.h2.table.Column",1531,134728
"org.h2.expression.Alias",1480,47360
"org.h2.value.ValueLong",1145,27480
"java.util.HashSet",1060,16960
"org.h2.value.ValueInt",1034,16544
"org.h2.expression.Expression[]",938,19928
"java.util.AbstractList$Itr",919,29408
"java.lang.ref.SoftReference",853,34120
"org.h2.mvstore.CursorPos",842,20208
"java.beans.MethodRef",699,16776
"java.util.concurrent.locks.ReentrantLock$NonfairSync",697,22304
"java.util.concurrent.ConcurrentHashMap$MapEntry",681,16344
"org.springframework.core.annotation.TypeMappedAnnotation",671,37576
"java.lang.ref.Finalizer",665,26600
"org.springframework.core.annotation.AnnotationTypeMappings[]",661,15856
"org.springframework.core.type.classreading.SimpleMethodMetadata",650,20800
"org.h2.value.ValueArray",639,20448
"org.springframework.core.annotation.MergedAnnotationsCollection",632,15168
"org.springframework.core.type.classreading.SimpleMethodMetadataReadingVisitor$Source",631,20192
"boolean[]",606,16904
"sun.reflect.generics.tree.SimpleClassTypeSignature",605,14520
"java.net.URL",599,38336
"java.lang.Long",586,14064
"java.util.LinkedHashMap$LinkedKeyIterator",579,18528
"net.bytebuddy.description.type.TypeDescription$Generic$OfNonGenericType$ForLoadedType",576,13824
"sun.reflect.generics.tree.ClassTypeSignature",575,9200
"net.bytebuddy.description.type.TypeDescription$ForLoadedType",568,22720
"sun.reflect.generics.tree.TypeArgument[]",546,10424
"org.h2.mvstore.MVMap$IntValueHolder",545,8720
"org.h2.expression.function.Function",523,20920
"java.util.stream.ReferencePipeline$Head",522,29232
"org.h2.table.IndexColumn[]",513,46344
"java.util.HashMap$KeyIterator",489,19560
"org.h2.table.Column[]",488,34960
"java.util.concurrent.locks.ReentrantLock",477,7632
"java.lang.reflect.Type[]",473,10472
"org.h2.expression.Parameter",457,14624
"java.util.TreeMap$Entry",445,17800
"java.util.concurrent.CopyOnWriteArrayList",430,10320
"org.h2.index.IndexType",430,10320
"sun.reflect.annotation.AnnotationInvocationHandler",421,10104
"java.util.LinkedHashMap$LinkedValues",418,6688
"org.h2.expression.condition.ConditionAndOr",418,13376
"java.lang.reflect.Field",416,29952
"org.h2.mvstore.tx.Snapshot",415,9960
"org.h2.mvstore.tx.TransactionMap",405,12960
"java.beans.MethodDescriptor",403,22568
"java.util.Collections$UnmodifiableCollection$1",402,9648
"java.util.LinkedHashMap$LinkedValueIterator",393,12576
"org.h2.table.TableFilter[]",387,7584
"org.h2.expression.condition.CompareLike",383,24512
"java.io.File",354,11328
"org.springframework.core.MethodClassKey",354,8496
"org.terracotta.statistics.archive.StatisticArchive",353,8472
"java.util.HashMap$KeySet",352,5632
"org.terracotta.statistics.archive.StatisticSampler$SamplingTask",350,8400
"org.h2.expression.ExpressionVisitor",349,16752
"org.terracotta.statistics.archive.StatisticSampler",349,13960
"java.util.ArrayList$ArrayListSpliterator",343,10976
"java.util.concurrent.locks.ReentrantReadWriteLock$Sync$ThreadLocalHoldCounter",343,5488
"java.util.LinkedHashMap$LinkedEntryIterator",341,10912
"net.sf.ehcache.statistics.extended.SampledStatistic",340,8160
"java.lang.reflect.Method[]",338,16280
"java.util.concurrent.locks.ReentrantReadWriteLock$WriteLock",337,5392
"net.sf.ehcache.store.chm.SelectableConcurrentHashMap$Segment",334,18704
"java.lang.ref.ReferenceQueue$Lock",332,5312
"java.util.Hashtable$Entry",328,10496
"java.util.zip.ZipFile$ZipFileInputStream",320,17920
"com.sun.xml.bind.v2.runtime.unmarshaller.Scope",317,10144
"java.util.zip.ZipFile$ZipFileInflaterInputStream",315,17640
"org.hibernate.annotations.common.reflection.java.JavaAnnotationReader",311,4976
"java.util.LinkedHashSet",305,4880
"org.apache.lucene.util.BytesRef",304,7296
"org.h2.index.MetaIndex",303,24240
"java.util.concurrent.atomic.AtomicInteger",301,4816
"org.h2.mvstore.tx.VersionedValueUncommitted",299,9568
"java.util.concurrent.locks.ReentrantReadWriteLock$ReadLock",289,4624
"java.util.concurrent.ConcurrentHashMap",288,18432
"java.lang.ref.ReferenceQueue",287,9184
"java.util.concurrent.locks.ReentrantReadWriteLock$NonfairSync",286,13728
"org.springframework.util.ConcurrentReferenceHashMap$SoftEntryReference",286,13728
"net.sf.ehcache.store.chm.SelectableConcurrentHashMap$HashEntry[]",279,6696
"java.lang.Class$ReflectionData",275,15400
"org.springframework.util.ConcurrentReferenceHashMap$Reference[]",263,17968
"net.bytebuddy.description.type.TypeList$Generic$Explicit",257,6168
"jdk.internal.org.objectweb.asm.Item",256,14336
"org.springframework.util.ConcurrentReferenceHashMap$Entry",245,5880
"java.lang.String[][]",243,16984
"java.util.concurrent.CopyOnWriteArraySet",240,3840
"java.util.Arrays$ArrayList",235,5640
"org.springframework.util.ConcurrentReferenceHashMap$ReferenceManager",232,5568
