"Time [s]","Process load","System load"
0.0,0,0
1.01,15.45,32.58
2.01,11.7,29.52
3.01,12.7,32.29
4.02,15.82,30.08
5.02,18.86,38.11
6.06,17.96,37.82
7.06,14.8,33.75
8.06,12.36,30.33
9.06,11.31,27.97
10.06,13.13,27.02
11.07,16.46,33.84
12.07,13.78,29.39
13.07,26.56,43.49
14.07,28.97,48.72
15.08,20.65,33.52
16.08,10.9,25.05
17.08,16.39,36.28
18.08,18.59,32.25
19.08,22.5,41.89
20.09,18.69,36.34
21.09,18.93,34.36
22.09,19.88,38.33
23.1,11.17,24.42
24.19,22.89,39.82
25.19,25.25,45.18
26.19,23.67,39.27
27.2,29.36,48.86
28.2,24.76,42.8
29.2,22.89,40.84
30.2,20.36,39.68
31.21,12.07,25.18
32.21,23.54,42.4
33.36,8.72,23.57
