"Name","Instance Count","Size (bytes)"
"char[]",40976,4446840
"org.h2.value.ValueString",23944,574656
"java.lang.String",22171,532104
"java.util.HashMap$Node",7207,230624
"int[]",6188,403936
"java.lang.Object[]",5696,458712
"java.lang.StringBuilder",5540,132960
"java.util.concurrent.ConcurrentHashMap$Node",5426,173632
"java.lang.String[]",4557,119256
"java.util.ArrayList",3767,90408
"java.lang.Class[]",3652,80704
"org.h2.value.Value[]",3225,363256
"java.util.LinkedHashMap$Entry",3135,125400
"java.lang.Object",2917,46672
"java.lang.reflect.Method",2498,219824
"org.h2.result.RowImpl",2442,78144
"java.util.LinkedHashMap",2231,124936
"byte[]",2151,1728528
"java.util.HashMap$Node[]",2106,167832
"java.lang.ref.WeakReference",1893,60576
"org.h2.table.IndexColumn",1835,44040
"java.util.HashMap",1532,73536
"org.h2.mvstore.RootReference",1521,85176
"java.lang.Class",1395,446400
"org.h2.expression.ExpressionColumn",987,47376
"java.util.ArrayList$Itr",928,29696
"java.lang.ref.SoftReference",855,34200
"java.util.concurrent.locks.ReentrantLock$NonfairSync",777,24864
"java.beans.MethodRef",738,17712
"java.util.AbstractList$Itr",733,23456
"java.lang.Integer",688,11008
"java.util.concurrent.ConcurrentHashMap$MapEntry",684,16416
"org.springframework.core.annotation.TypeMappedAnnotation",661,37016
"org.springframework.core.annotation.MergedAnnotationsCollection",643,15432
"boolean[]",632,19432
"org.springframework.core.type.classreading.SimpleMethodMetadataReadingVisitor$Source",632,20224
"org.springframework.core.type.classreading.SimpleMethodMetadata",627,20064
"org.springframework.core.annotation.AnnotationTypeMappings[]",615,14768
"sun.reflect.generics.tree.ClassTypeSignature",569,9104
"sun.reflect.generics.tree.TypeArgument[]",554,10432
"sun.reflect.generics.tree.SimpleClassTypeSignature",541,12984
"java.lang.ref.Finalizer",533,21320
"org.h2.value.ValueArray",531,16992
"java.util.HashSet",506,8096
"org.h2.table.Column",505,44440
"sun.reflect.annotation.AnnotationInvocationHandler",490,11760
"net.bytebuddy.description.type.TypeDescription$Generic$OfNonGenericType$ForLoadedType",485,11640
"java.lang.reflect.Type[]",476,10432
"net.bytebuddy.description.type.TypeDescription$ForLoadedType",458,18320
"org.hibernate.annotations.common.reflection.java.JavaXSimpleType",447,14304
"java.util.concurrent.CopyOnWriteArrayList",444,10656
"java.util.concurrent.locks.ReentrantReadWriteLock$NonfairSync",417,20016
"java.util.concurrent.locks.ReentrantLock",413,6608
"java.util.concurrent.locks.ReentrantReadWriteLock$ReadLock",412,6592
"org.h2.value.ValueLong",411,9864
"net.sf.ehcache.store.chm.SelectableConcurrentHashMap$HashEntry[]",407,9768
"org.h2.expression.Alias",404,12928
"org.h2.value.ValueInt",396,6336
"org.springframework.core.MethodClassKey",388,9312
"java.beans.MethodDescriptor",385,21560
"java.util.LinkedHashMap$LinkedValues",383,6128
"org.terracotta.statistics.archive.StatisticSampler$SamplingTask",371,8904
"net.sf.ehcache.statistics.extended.SampledStatistic",369,8856
"org.terracotta.statistics.archive.StatisticSampler",366,14640
"java.util.stream.ReferencePipeline$Head",365,20440
"org.terracotta.statistics.archive.StatisticArchive",363,8712
"java.lang.reflect.Field",354,25488
"org.hibernate.annotations.common.reflection.java.JavaXMethod",314,10048
"org.springframework.util.ConcurrentReferenceHashMap$Entry",314,7536
"java.util.Hashtable$Entry",311,9952
"org.hibernate.annotations.common.reflection.java.JavaAnnotationReader",310,4960
"com.sun.xml.bind.v2.runtime.unmarshaller.Scope",308,9856
"java.util.LinkedHashMap$LinkedValueIterator",297,9504
"java.util.LinkedHashSet",294,4704
"java.util.concurrent.ConcurrentHashMap",293,18752
"java.util.concurrent.atomic.AtomicInteger",292,4672
"java.lang.ref.ReferenceQueue",289,9248
"java.lang.reflect.Method[]",281,20384
"org.springframework.util.ConcurrentReferenceHashMap$SoftEntryReference",281,13488
"java.lang.ref.ReferenceQueue$Lock",279,4464
"java.lang.Class$ReflectionData",278,15568
"org.h2.expression.Expression[]",254,5280
"java.util.LinkedHashMap$LinkedEntryIterator",250,8000
"org.springframework.util.ConcurrentReferenceHashMap$Reference[]",246,17448
"org.springframework.util.ConcurrentReferenceHashMap$Segment",246,9840
"java.util.TreeMap$Entry",245,9800
"org.springframework.util.ConcurrentReferenceHashMap$ReferenceManager",243,5832
"java.util.concurrent.CopyOnWriteArraySet",234,3744
"java.util.ArrayList$ArrayListSpliterator",233,7456
"org.terracotta.statistics.jsr166e.LongAdder",232,7424
"java.util.zip.ZipFile$ZipFileInflaterInputStream",224,12544
"java.util.zip.ZipFile$ZipFileInputStream",222,12432
"org.hibernate.loader.PropertyPath",222,5328
"java.lang.String[][]",221,14624
"net.bytebuddy.description.type.TypeList$Generic$Explicit",219,5256
"java.lang.reflect.Constructor[]",216,4968
"java.util.concurrent.locks.ReentrantReadWriteLock$Sync$ThreadLocalHoldCounter",214,3424
"java.util.HashMap$Values",211,3376
"java.util.concurrent.atomic.AtomicReference",210,3360
"java.util.concurrent.locks.ReentrantReadWriteLock$WriteLock",210,3360
"net.sf.ehcache.statistics.extended.LatencyImpl$StatisticImpl",208,4992
"java.util.HashMap$KeyIterator",207,8280
"net.sf.ehcache.store.chm.SelectableConcurrentHashMap$Segment",205,11480
"java.util.stream.ReferencePipeline$2$1",202,4848
"java.util.LinkedHashMap$LinkedKeySet",201,3216
"java.util.jar.Attributes$Name",200,4800
"java.util.Collections$UnmodifiableSet",199,3184
"org.hibernate.loader.plan.build.internal.spaces.EntityQuerySpaceImpl",199,7960
"net.bytebuddy.description.type.TypeDescription$Generic$Visitor$Substitutor$ForAttachment",198,4752
"org.h2.table.Column[]",194,12168
"sun.reflect.generics.reflectiveObjects.ParameterizedTypeImpl",194,4656
"org.terracotta.context.extractor.DirectAttributeGetter",192,3072
"sun.reflect.generics.tree.FieldTypeSignature[]",191,3344
"org.hibernate.loader.plan.build.internal.returns.SimpleEntityIdentifierDescriptionImpl",190,3040
"org.apache.xerces.impl.xs.XSParticleDecl",186,7440
"net.bytebuddy.implementation.bytecode.StackManipulation$Size",185,4440
"sun.reflect.generics.factory.CoreReflectionFactory",182,4368
"org.h2.value.TypeInfo",179,7160
"java.lang.reflect.Constructor",176,14080
"sun.reflect.generics.tree.FormalTypeParameter[]",176,2928
"org.hibernate.search.engine.impl.MappingModelMetadataProvider$MappingModelAnnotationReader",175,7000
"java.util.concurrent.ConcurrentLinkedQueue$Node",174,4176
"java.lang.annotation.Annotation[]",173,2912
"java.io.File",169,5408
"org.hibernate.annotations.common.reflection.java.JavaXProperty",165,5280
"org.hibernate.engine.FetchStrategy",165,3960
"org.springframework.core.type.classreading.SimpleMetadataReader",165,3960
"org.apache.xerces.util.SymbolTable$Entry",163,3912
"java.util.HashMap$KeySet",162,2592
"java.util.stream.ReferencePipeline$2",161,10304
"java.util.concurrent.ConcurrentLinkedQueue",159,3816
"org.hibernate.property.access.spi.GetterMethodImpl",158,3792
"org.hibernate.boot.model.naming.Identifier",156,3744
"org.springframework.core.type.classreading.SimpleAnnotationMetadata",156,8736
"sun.reflect.generics.repository.MethodRepository",156,6240
"sun.reflect.generics.scope.MethodScope",155,3720
"org.hibernate.metamodel.model.domain.internal.SingularAttributeImpl$DelayedKeyTypeAccess",153,3672
"org.h2.expression.function.Function",150,6000
"org.h2.mvstore.CursorPos",147,3528
"org.apache.xerces.impl.xs.XSElementDecl",146,10512
"java.util.Arrays$ArrayList",145,3480
"sun.reflect.generics.tree.MethodTypeSignature",144,4608
"org.hibernate.mapping.Column",143,10296
"java.lang.invoke.MethodType",141,5640
"java.util.stream.Collectors$CollectorImpl",141,4512
"java.util.stream.ReferencePipeline$3$1",141,3384
"net.bytebuddy.description.ByteCodeElement$Token$TokenList",141,3384
