"Time [s]","Process load","System load"
0.0,0,0
1.0,18.18,22.08
2.01,19.58,28.92
3.01,5.33,11.3
4.01,1.56,6.76
5.01,12.07,18.81
6.02,18.67,25.68
7.02,20.7,25.51
8.02,11.41,16.73
9.03,15.57,24.66
10.03,15.96,19.99
11.03,26.79,38.63
12.03,13,21.07
13.04,14.56,18.33
14.04,17.49,24.36
15.04,18.46,25.35
16.05,21.76,24.87
17.05,17.67,25.47
18.05,18.3,30.76
19.06,17.77,22.04
20.06,14.52,20.49
21.06,14.43,20.67
22.06,17.05,20.31
23.07,22.93,30.7
24.07,9.47,16.21
25.08,7.77,12.19
26.08,3.25,10.27
27.08,3.11,9.62
28.08,2.6,8.06
29.08,1.17,14.97
30.09,1.55,11.58
31.09,2.72,8.57
32.09,15.19,25.57
33.1,22.43,31
34.1,24.73,29.81
35.1,21.83,29.36
36.1,24.35,32.42
37.1,9.86,14.39
38.11,4.54,12.34
39.11,4.28,10.53
40.11,2.34,6.24
41.11,1.55,9.22
42.11,8.84,19.23
43.11,13.66,16.27
44.15,22.81,32.01
45.15,27.7,34.59
46.15,18.82,23.75
47.16,14.03,21.57
48.16,11.05,19.38
49.16,2.85,7.66
50.16,3.24,9.07
51.17,2.98,12.58
52.17,2.85,8.3
53.17,1.43,8.98
54.18,2.46,9.86
55.18,19.4,25
56.18,8.56,16.35
57.19,7,12.84
58.19,2.6,9.21
59.19,2.07,9.6
60.19,2.33,6.76
61.2,1.82,7.41
62.2,3.11,12.06
63.2,3.36,9.59
64.21,22.59,30.76
