"Time [s]","Committed size","Free size","Used size"
0.0,258048000,249356000,8692000
1.0,258048000,232932000,25116000
2.01,49152000,27420000,21732000
3.01,49152000,31475000,17677000
4.01,49152000,31475000,17677000
5.02,49152000,33861000,15291000
6.02,49152000,25154000,23998000
7.02,49152000,13924000,35228000
8.02,49152000,22760000,26392000
9.02,49152000,21555000,27597000
10.03,153600000,122094000,31506000
11.03,153600000,87534000,66066000
12.03,153600000,64569000,89031000
13.04,153600000,51196000,102404000
14.04,153600000,106706000,46894000
15.05,153600000,43244000,110356000
16.05,153600000,108357000,45243000
17.06,153600000,77833000,75767000
18.06,153600000,58382000,95218000
19.06,153600000,37608000,115992000
20.06,153600000,83798000,69802000
21.06,153600000,103722000,49878000
22.06,153600000,117094000,36506000
23.07,153600000,36791000,116809000
24.07,122880000,85766000,37114000
25.07,122880000,60625000,62255000
26.08,122880000,47401000,75479000
27.08,122880000,35200000,87680000
28.08,122880000,86756000,36124000
29.09,122880000,76181000,46699000
30.09,122880000,71195000,51685000
31.1,122880000,65058000,57822000
32.1,122880000,60992000,61888000
33.11,122880000,58041000,64839000
34.11,122880000,56266000,66614000
35.11,122880000,46948000,75932000
36.12,122880000,24218000,98662000
37.12,122880000,64359000,58521000
38.12,122880000,35982000,86898000
39.13,122880000,72669000,50211000
40.13,122880000,63751000,59129000
41.13,122880000,57888000,64992000
42.14,122880000,52349000,70531000
43.14,122880000,46232000,76648000
44.14,122880000,43557000,79323000
45.15,122880000,17226000,105654000
46.15,122880000,54521000,68359000
47.15,122880000,41341000,81539000
48.15,122880000,42036000,80844000
49.16,122880000,21414000,101466000
50.16,122880000,80417000,42463000
51.16,122880000,70871000,52009000
52.17,122880000,67607000,55273000
53.17,122880000,62262000,60618000
54.17,122880000,58114000,64766000
55.17,122880000,55121000,67759000
56.18,122880000,53307000,69573000
57.18,122880000,44226000,78654000
58.18,122880000,44181000,78699000
59.18,122880000,20855000,102025000
60.19,147456000,98944000,48512000
61.19,147456000,95264000,52192000
62.19,147456000,89372000,58084000
63.19,147456000,84666000,62790000
64.2,147456000,81182000,66274000
65.2,147456000,78825000,68631000
66.21,147456000,77670000,69786000
67.21,147456000,68629000,78827000
68.21,137216000,93001000,44215000
