"Name","Instance Count","Size (bytes)"
"byte[]",5701,960704
"java.util.concurrent.ConcurrentHashMap$Node",3472,111104
"java.lang.String",3163,75912
"java.util.HashMap$Node",2231,71392
"java.lang.Object",2032,32512
"java.lang.Object[]",1537,79344
"java.lang.Class",1159,370880
"java.util.ArrayList",757,18168
"java.lang.Class[]",723,18032
"java.util.LinkedHashMap$Entry",649,25960
"org.apache.derby.impl.store.raw.data.StoredRecordHeader",608,19456
"int[]",577,189152
"java.lang.String[]",437,13320
"java.lang.reflect.Method",429,37752
"org.apache.derby.impl.store.raw.data.RecordId",401,9624
"jdk.internal.net.http.hpack.QuickHuffman$ImmutableNode",376,9024
"java.lang.invoke.MethodType",374,14960
"java.util.HashMap$Node[]",347,46792
"java.lang.invoke.BoundMethodHandle$Species_LL",345,13800
"java.util.HashMap",338,16224
"java.util.LinkedList$Node",333,7992
"jdk.internal.util.WeakReferenceKey",328,10496
"java.lang.ref.SoftReference",307,12280
"java.util.LinkedHashMap",250,16000
"java.util.concurrent.locks.ReentrantLock$NonfairSync",242,7744
"java.util.Optional",241,3856
"sun.util.locale.LocaleObjectCache$CacheEntry",218,8720
"java.lang.invoke.LambdaForm$Name",211,6752
"java.lang.invoke.DirectMethodHandle",205,8200
"java.util.stream.ReferencePipeline$Head",189,10584
"java.util.concurrent.locks.ReentrantLock",186,2976
"boolean[]",175,5984
"org.eclipse.persistence.internal.helper.NonSynchronizedVector",170,5440
"sun.security.util.ObjectIdentifier",166,5312
"org.apache.derby.impl.sql.GenericColumnDescriptor",162,6480
"java.lang.Integer",160,2560
"java.util.LinkedList",156,4992
"java.util.LinkedHashMap$LinkedEntryIterator",154,4928
"java.util.HashSet",138,2208
"java.lang.invoke.DirectMethodHandle$Constructor",136,6528
"java.util.Vector",133,4256
"java.nio.StringCharBuffer",131,7336
"java.util.stream.ReferencePipeline$3",125,7000
"java.util.stream.ReferencePipeline$3$1",125,3000
"org.apache.derby.impl.services.cache.CacheEntry",123,4920
"java.lang.Class$ReflectionData",122,7808
"org.eclipse.persistence.internal.oxm.XPathFragment",119,9520
"sun.util.locale.BaseLocale",117,3744
"java.util.Locale",115,3680
"org.eclipse.persistence.internal.descriptors.MethodAttributeAccessor",115,4600
"java.math.BigInteger",114,4560
"org.eclipse.persistence.internal.oxm.XPathNode",114,10032
"org.mockito.internal.util.concurrent.WeakConcurrentMap$LatentKey",113,2712
"sun.util.locale.BaseLocale$Key",113,3616
"java.lang.ref.WeakReference",112,3584
"java.util.stream.ReferencePipeline$2",106,5936
"org.apache.derby.impl.services.cache.ClockPolicy$Holder",104,3328
"java.util.Hashtable$Entry",103,3296
"java.lang.invoke.LambdaForm$Name[]",102,4824
"java.util.Collections$UnmodifiableMap$UnmodifiableEntrySet$UnmodifiableEntry",101,1616
"jdk.internal.reflect.DirectMethodHandleAccessor",101,3232
"java.lang.reflect.Constructor[]",100,2464
"org.apache.derby.impl.services.uuid.BasicUUID",100,3200
"java.lang.reflect.Method[]",99,6552
"long[]",99,15304
"org.eclipse.persistence.oxm.XMLField",98,10192
"java.lang.invoke.LambdaForm",97,4656
"java.lang.reflect.Constructor",97,6984
"char[]",95,52112
"org.eclipse.persistence.oxm.mappings.nullpolicy.NullPolicy",94,2256
