"Time [s]","Process load","System load"
0.0,0,0
1.0,19.51,25.75
2.0,20.53,27.15
3.0,5.32,14.18
4.01,0.91,7.94
5.01,10.15,16.27
6.01,17.31,24.21
7.01,20.18,27.99
8.01,11.17,19.36
9.01,17.57,24.21
10.01,15.75,19.91
11.01,26.54,38.37
12.01,11.84,19.91
13.01,10.55,13.54
14.01,10.41,17.45
15.01,19.36,25.86
16.02,20.83,26.04
17.02,19,29.81
18.02,19.53,23.82
19.02,17.19,23.05
20.02,17.05,22.52
21.02,13.66,17.83
22.02,18.21,24.71
23.02,20.18,29.42
24.02,17.18,20.45
25.02,5.6,12.23
26.02,5.72,11.59
27.02,3,7.94
28.02,2.6,6.38
29.02,1.68,10.27
30.03,1.7,8.33
31.03,2.6,6.5
32.03,8.97,15.87
33.03,24.85,33.94
34.03,24.21,33.33
35.03,21.46,44.22
36.03,19.49,27.42
37.04,24.95,35.08
38.04,22.62,33.69
39.04,19.92,26.81
40.04,13.27,22.24
41.04,8.71,12.36
42.04,3.77,11.31
43.04,11.96,17.69
44.04,5.59,8.97
45.05,3.65,10.55
46.05,11.32,24.47
47.05,11.06,18.23
48.1,11.38,22.99
49.25,13.04,18.37
50.25,23.88,32.19
51.26,16.75,30.67
52.26,17.41,20.91
53.26,31.25,44.92
54.26,27.18,31.35
55.26,17.44,26.16
56.26,11.43,16.37
57.26,17.67,24.43
58.27,19.38,34.72
59.27,14.45,20.45
60.27,5.06,13.78
61.27,3.11,10.39
62.27,4.04,8.59
63.27,1.68,11.7
64.27,1.94,8.06
65.27,16.39,24.06
66.28,11.57,18.98
67.28,11.82,18.06
68.28,8.84,14.81
69.28,13.15,22.52
70.28,6.64,11.2
71.28,3.51,12.35
72.28,2.47,12.36
73.29,3.12,6.64
74.29,2.46,10.27
75.29,5.07,13.38
76.29,14.45,18.49
77.29,23.05,34.37
78.29,4.81,8.84
