"Time [s]","Committed size","Free size","Used size"
0.0,258048000,249356000,8692000
1.0,258048000,245409000,12639000
2.0,49152000,16701000,32451000
3.01,49152000,30892000,18260000
4.01,49152000,30892000,18260000
5.01,49152000,31240000,17912000
6.01,49152000,16515000,32637000
7.02,49152000,22476000,26676000
8.02,49152000,17134000,32018000
9.02,153600000,100666000,52934000
10.02,153600000,65436000,88164000
11.03,153600000,50336000,103264000
12.03,153600000,110478000,43122000
13.03,153600000,44007000,109593000
14.03,153600000,108046000,45554000
15.04,153600000,74562000,79038000
16.04,153600000,51764000,101836000
17.04,153600000,110228000,43372000
18.05,153600000,52253000,101347000
19.05,153600000,33685000,119915000
20.06,153600000,115226000,38374000
21.06,137216000,96066000,41150000
22.06,137216000,25164000,112052000
23.07,137216000,63054000,74162000
24.07,137216000,46174000,91042000
25.07,137216000,35386000,101830000
26.07,137216000,31750000,105466000
27.08,137216000,26444000,110772000
28.08,137216000,98533000,38683000
29.08,137216000,94475000,42741000
30.08,137216000,92361000,44855000
31.09,137216000,83849000,53367000
32.09,137216000,63296000,73920000
33.09,137216000,40083000,97133000
34.09,137216000,85062000,52154000
35.1,137216000,60835000,76381000
36.1,137216000,42434000,94782000
37.1,137216000,36522000,100694000
38.11,137216000,33983000,103233000
39.11,137216000,30604000,106612000
40.11,137216000,25253000,111963000
41.11,137216000,82036000,55180000
42.11,137216000,41193000,96023000
43.12,137216000,28815000,108401000
44.12,137216000,58748000,78468000
45.12,137216000,50746000,86470000
46.13,137216000,24251000,112965000
47.13,137216000,89390000,47826000
48.13,137216000,86059000,51157000
49.14,137216000,80713000,56503000
50.14,137216000,77828000,59388000
51.15,137216000,73420000,63796000
52.16,137216000,71608000,65608000
53.16,137216000,70994000,66222000
54.16,137216000,76441000,60775000
55.16,137216000,45256000,91960000
56.17,137216000,34135000,103081000
57.17,137216000,31375000,105841000
58.17,137216000,25494000,111722000
59.18,137216000,20849000,116367000
60.18,165888000,122595000,43293000
61.18,165888000,119567000,46321000
62.19,165888000,118401000,47487000
63.19,151552000,108199000,43353000
