"Name","Instance Count","Size (bytes)"
"byte[]",6358,1502432
"java.lang.String",3871,92904
"java.util.concurrent.ConcurrentHashMap$Node",3458,110656
"java.util.HashMap$Node",2278,72896
"java.lang.Object",1984,31744
"java.lang.Object[]",1864,89960
"java.lang.Class",1214,388480
"int[]",918,116328
"java.util.ArrayList",810,19440
"java.lang.Class[]",732,18368
"org.mockito.internal.util.concurrent.WeakConcurrentMap$LatentKey",707,16968
"java.util.LinkedHashMap$Entry",636,25440
"org.apache.derby.impl.store.raw.data.StoredRecordHeader",585,18720
"java.lang.String[]",582,17688
"java.lang.reflect.Method",470,41360
"org.apache.derby.impl.store.raw.data.RecordId",426,10224
"org.eclipse.persistence.internal.descriptors.MethodAttributeAccessor$$Lambda.0x000000002f745e68",424,10176
"java.util.HashMap$Node[]",405,41480
"java.util.HashMap",402,19296
"jdk.internal.net.http.hpack.QuickHuffman$ImmutableNode",386,9264
"org.eclipse.persistence.internal.descriptors.MethodAttributeAccessor$$Lambda.0x000000002f746088",367,8808
"java.lang.invoke.MethodType",363,14520
"java.lang.invoke.BoundMethodHandle$Species_LL",362,14480
"jdk.internal.util.WeakReferenceKey",331,10592
"java.lang.ref.SoftReference",325,13000
"java.util.LinkedList$Node",325,7800
"java.nio.StringCharBuffer",312,17472
"java.util.Optional",285,4560
"java.util.concurrent.locks.ReentrantLock",244,3904
"java.util.LinkedHashMap",236,15104
"java.util.concurrent.locks.ReentrantLock$NonfairSync",230,7360
"java.util.stream.ReferencePipeline$Head",230,12880
"sun.util.locale.LocaleObjectCache$CacheEntry",210,8400
"java.lang.invoke.LambdaForm$Name",208,6656
"java.lang.invoke.DirectMethodHandle",202,8080
"boolean[]",199,7296
"java.util.LinkedHashMap$LinkedEntryIterator",186,5952
"org.eclipse.persistence.internal.helper.NonSynchronizedVector",182,5824
"java.util.Vector",179,5728
"char[][]",178,4296
"org.apache.derby.impl.sql.GenericColumnDescriptor",177,7080
"org.apache.derby.iapi.types.SQLVarchar",169,8112
"java.lang.StringBuilder",168,4032
"java.util.HashSet",168,2688
"org.apache.derby.iapi.types.DataValueDescriptor[]",154,5208
"char[]",147,55600
"java.lang.Class$ReflectionData",143,9152
"java.lang.StackFrameInfo",143,6864
"java.util.LinkedList",143,4576
"java.lang.invoke.DirectMethodHandle$Constructor",135,6480
"org.eclipse.persistence.internal.descriptors.MethodAttributeAccessor",133,5320
"sun.security.util.ObjectIdentifier",130,4160
"java.util.stream.ReferencePipeline$3$1",128,3072
"jdk.internal.reflect.DirectMethodHandleAccessor",125,4000
"java.util.stream.ReferencePipeline$3",124,6944
"long[]",124,15776
"org.apache.derby.impl.services.cache.ClockPolicy$Holder",123,3936
"java.util.stream.ReferencePipeline$2",121,6776
"sun.util.locale.BaseLocale",119,3808
"java.util.Collections$UnmodifiableMap$UnmodifiableEntrySet$UnmodifiableEntry",117,1872
"java.util.stream.Collectors$CollectorImpl",117,3744
"java.util.stream.ReferencePipeline$2$1",117,2808
"org.apache.derby.impl.services.cache.CacheEntry",116,4640
"java.lang.ref.WeakReference",115,3680
"sun.util.locale.BaseLocale$Key",115,3680
"java.util.concurrent.atomic.AtomicInteger",114,1824
"java.math.BigInteger",110,4400
"java.lang.reflect.Constructor",109,7848
"java.util.Hashtable$Entry",109,3488
"org.eclipse.persistence.internal.oxm.XPathFragment",109,8720
"java.util.stream.ReduceOps$3ReducingSink",108,3456
"java.lang.invoke.LambdaForm$Name[]",107,5032
"java.util.Locale",106,3392
"java.util.stream.ReduceOps$3",105,3360
"org.eclipse.persistence.internal.oxm.XPathNode",104,9152
"org.eclipse.persistence.oxm.XMLField",104,10816
"java.lang.invoke.LambdaForm",101,4848
"org.apache.derby.impl.services.uuid.BasicUUID",100,3200
"java.lang.reflect.Method[]",96,4624
"sun.security.x509.AVA",95,2280
"java.lang.Long",93,2232
"java.util.concurrent.ConcurrentHashMap",93,5952
"java.util.concurrent.atomic.AtomicLong",93,2232
"jdk.internal.loader.AbstractClassLoaderValue$Sub",92,2208
"org.apache.derby.iapi.types.SQLLongint",92,2208
"sun.security.x509.AVA[]",91,2184
"java.lang.Integer",89,1424
"jdk.internal.org.objectweb.asm.SymbolTable$Entry",88,4928
"org.apache.derby.iapi.store.raw.PageKey",88,2112
"sun.reflect.annotation.AnnotationInvocationHandler",88,2112
"java.nio.HeapByteBuffer",87,4872
"org.apache.derby.iapi.types.DataTypeDescriptor",86,2064
"java.lang.reflect.Constructor[]",84,2040
"org.eclipse.persistence.oxm.mappings.nullpolicy.NullPolicy",84,2016
"java.util.concurrent.ConcurrentHashMap$Node[]",83,16832
"jdk.internal.reflect.DirectConstructorHandleAccessor",82,1968
"org.apache.derby.impl.store.access.heap.HeapRowLocation",82,2624
"org.apache.derby.iapi.services.io.FormatableBitSet",77,1848
"org.apache.derby.catalog.types.TypeDescriptorImpl",76,3040
"java.util.LinkedHashSet",75,1200
"org.eclipse.persistence.internal.descriptors.MethodAttributeAccessor$$Lambda.0x000000002f618000",75,1800
"sun.security.x509.RDN",75,1800
"sun.security.util.DerInputStream",74,2960
"sun.security.util.DerValue",74,2368
"java.util.ArrayList$Itr",73,2336
"java.util.concurrent.locks.AbstractQueuedSynchronizer$ConditionObject",72,1728
"java.util.Date",70,1680
"java.util.Arrays$ArrayList",69,1656
"java.lang.Package",68,2176
"java.util.zip.CRC32",68,1088
"org.apache.derby.impl.sql.GenericParameter",66,3168
"java.util.ArrayList$ArrayListSpliterator",65,2080
"java.lang.invoke.BoundMethodHandle$Species_L",63,2520
"org.apache.derby.iapi.services.io.ArrayOutputStream",63,2016
"org.apache.maven.surefire.junitplatform.RunListenerAdapter$$Lambda.0x000000002f229440",60,960
"java.util.jar.Attributes$Name",59,1416
"org.apache.derby.iapi.services.io.ArrayInputStream",59,1888
"org.apache.derby.iapi.services.io.FormatIdOutputStream",59,2360
"java.security.Provider$ServiceKey",58,1392
"java.util.LinkedHashMap$LinkedValues",58,1392
"short[]",56,1504
"java.lang.invoke.BoundMethodHandle$Species_LLL",55,2640
"java.util.TreeMap$Entry",55,2200
"jdk.internal.util.StrongReferenceKey",55,880
"org.apache.derby.impl.store.raw.data.StoredRecordHeader[]",53,6448
"org.apache.maven.surefire.junitplatform.RunListenerAdapter$$Lambda.0x000000002f229200",53,848
"java.util.concurrent.ConcurrentHashMap$MapEntry",52,1248
"org.apache.derby.impl.services.locks.Lock",52,1664
"java.lang.invoke.MemberName",50,2400
"java.util.regex.Pattern$Slice",50,1200
"jdk.internal.ref.CleanerImpl$PhantomCleanableRef",50,2400
"java.lang.invoke.LambdaForm$NamedFunction",49,1176
"java.util.regex.Pattern$BmpCharProperty",47,1128
"org.apache.maven.surefire.api.util.internal.ImmutableMap$Node",47,1128
"org.eclipse.persistence.internal.helper.DatabaseTable",47,2256
"java.util.LinkedHashMap$LinkedKeySet",46,1104
"java.util.WeakHashMap$Entry",46,1840
"org.apache.derby.catalog.types.BaseTypeIdImpl",46,1472
"org.apache.derby.impl.sql.depend.BasicDependency",46,1104
"org.eclipse.persistence.internal.helper.DatabaseField",46,3312
"org.eclipse.persistence.internal.oxm.XMLDirectMappingNodeValue",45,1080
"org.eclipse.persistence.oxm.mappings.XMLDirectMapping",45,5400
"java.lang.ref.Finalizer",43,1720
"org.apache.derby.iapi.services.io.FormatIdInputStream",43,2064
"java.lang.StackTraceElement",42,2016
"java.net.URL",41,2624
"org.apache.derby.impl.store.raw.log.LogCounter",41,1312
"org.eclipse.persistence.internal.queries.VectorContainerPolicy",41,1312
"java.lang.invoke.DirectMethodHandle$Accessor",40,1920
"java.util.Collections$SynchronizedSet",40,960
"java.util.stream.Streams$2",40,960
"org.apache.derby.impl.store.access.conglomerate.OpenConglomerateScratchSpace",40,1600
"java.util.Collections$UnmodifiableSet",39,624
"java.util.Hashtable$Entry[]",39,5392
"java.util.ImmutableCollections$List12",39,936
"java.util.ResourceBundle$KeyElementReference",39,1248
"java.io.File",38,1216
"java.lang.ref.SoftReference[]",38,2800
"java.util.IdentityHashMap",38,1520
"sun.security.x509.AlgorithmId",37,888
"java.util.Collections$UnmodifiableRandomAccessList",36,864
"java.util.regex.Pattern$$Lambda.0x000000002f136218",36,576
"sun.reflect.generics.tree.SimpleClassTypeSignature",36,864
"java.util.HashMap$EntrySet",35,560
"java.util.HashMap$KeySet",35,560
"java.util.LinkedHashMap$LinkedEntrySet",35,840
"org.eclipse.persistence.internal.expressions.RelationExpression",35,1960
"java.util.Hashtable",34,1632
"java.util.stream.Streams$ConcatSpliterator$OfRef",34,816
"org.apache.derby.iapi.sql.dictionary.ColumnDescriptor",34,2720
"org.apache.derby.impl.store.raw.data.BaseContainerHandle",34,1632
"org.apache.derby.iapi.store.raw.ContainerKey",33,1056
"java.lang.invoke.MethodTypeForm",32,1024
"java.util.jar.JarFile$JarFileEntry",32,3328
"org.apache.maven.surefire.api.util.internal.ClassMethod",32,768
"org.eclipse.persistence.internal.expressions.QueryKeyExpression",32,3584
"org.junit.jupiter.engine.extension.MutableExtensionRegistry$$Lambda.0x000000002f227270",32,512
"java.lang.Byte",31,496
"java.lang.Class$AnnotationData",31,744
"java.lang.Package$VersionInfo",31,1240
"java.lang.invoke.LambdaFormEditor$Transform",31,1488
"org.apache.derby.impl.sql.execute.ValueRow",31,744
"java.io.FileDescriptor",30,1200
"java.lang.ref.ReferenceQueue",29,928
"java.util.regex.IntHashSet[]",29,464
"org.apache.derby.impl.sql.compile.SQLParser$JJCalls",29,928
"org.eclipse.persistence.internal.expressions.ParameterExpression",29,1624
"org.apache.derby.impl.services.bytecode.VMTypeIdCacheable",28,672
"sun.reflect.generics.tree.ClassTypeSignature",28,448
"java.util.stream.Streams$StreamBuilderImpl",27,648
"java.security.Principal[]",26,416
"java.util.WeakHashMap$Entry[]",26,2080
"java.util.regex.Matcher",26,2080
"jdk.internal.reflect.MethodHandleObjectFieldAccessorImpl",26,832
"net.bytebuddy.dynamic.scaffold.MethodGraph$Compiler$Default$Key$Detached",26,624
"org.apache.derby.impl.store.access.heap.OpenHeap",26,1456
"org.apache.derby.impl.store.raw.data.StoredPage",26,4992
"org.eclipse.persistence.internal.helper.DatabaseTable[]",26,1040
"org.eclipse.persistence.internal.jpa.metamodel.SingularAttributeImpl",26,624
"org.junit.jupiter.engine.extension.MutableExtensionRegistry$$Lambda.0x000000002f227020",26,416
"java.lang.Short",25,400
"java.lang.reflect.Parameter[]",25,400
"jdk.proxy2.$Proxy8",25,400
