"Time [s]","Process load","System load"
0.0,0,0
1.0,16.54,25.25
2.0,20.95,26.56
3.0,5.97,12.86
4.01,0.25,6.87
5.01,9.74,14.81
6.01,19.64,24.06
7.01,19.44,29.43
8.02,9.9,13.8
9.02,16.63,19.61
10.02,15.95,21.92
11.03,25.41,37.86
12.03,12.5,22
13.03,17.8,25.59
14.03,18.06,23.65
15.03,19.38,27.44
16.04,19.08,26.86
17.04,20.81,24.71
18.04,16.58,22.66
19.05,15.2,22.61
20.05,13.75,18.3
21.05,18.75,24.47
22.05,17.38,37.87
23.06,21.37,31.87
24.06,23.47,32.16
25.07,18.6,25.62
26.07,14.03,20.14
27.07,10.67,19.26
28.08,8.42,14.64
29.08,10.25,20.89
30.08,6.49,14.65
31.08,4.81,10.02
32.09,2.84,10.9
33.09,2.21,8.83
34.09,3.5,10.13
35.1,0.78,10.37
36.1,12.69,21.76
37.11,19.06,30.47
38.11,22.69,30.86
39.12,24.12,30.21
40.12,21.49,30.6
41.12,21.02,26.86
42.12,20.93,30.7
43.12,24.17,30.28
44.13,22.36,30.04
45.13,20.51,30.5
46.13,9.23,14.17
47.13,8.6,16.01
48.14,10.1,15.17
49.14,1.81,8.3
50.14,4.67,10.63
51.15,12.85,19.23
52.15,6.23,21.95
53.15,13.75,19.19
54.15,12.36,17.18
55.19,24.91,35.85
56.19,20.63,24.41
57.2,20.08,31.48
58.2,30.11,38.94
59.21,25.62,34.26
60.21,14.45,23.69
61.22,10.75,16.58
62.23,18,26.94
63.23,15.44,22.2
64.23,7.93,14.82
65.23,2.97,12.32
66.24,2.85,8.69
67.24,4.54,11.15
68.25,2.97,9.85
69.25,9.86,14.65
70.25,20.02,30.82
71.25,11.69,16.89
72.26,13.28,18.49
73.26,11.04,21.3
74.26,8.83,13.89
75.26,1.95,8.33
76.26,2.6,9.9
77.27,3.37,8.17
78.27,2.73,7.41
79.27,1.03,9.06
80.28,4.8,8.57
81.38,25.26,42.73
82.52,16.16,42.4
83.52,9.75,30.56
