"Time [s]","Committed size","Free size","Used size"
0.0,258048000,249356000,8692000
1.0,258048000,243734000,14314000
2.0,49152000,18119000,31033000
3.0,49152000,30296000,18856000
4.01,49152000,30296000,18856000
5.01,49152000,17169000,31983000
6.01,49152000,16906000,32246000
7.01,49152000,22906000,26246000
8.02,49152000,21211000,27941000
9.02,153600000,101747000,51853000
10.02,153600000,70271000,83329000
11.03,153600000,54354000,99246000
12.03,153600000,39076000,114524000
13.03,153600000,61829000,91771000
14.03,153600000,110498000,43102000
15.03,153600000,91087000,62513000
16.04,153600000,56239000,97361000
17.04,153600000,29816000,123784000
18.04,153600000,66252000,87348000
19.05,153600000,50505000,103095000
20.05,153600000,65812000,87788000
21.05,153600000,95085000,58515000
22.05,131072000,87100000,43972000
23.06,131072000,75735000,55337000
24.06,131072000,47923000,83149000
25.07,131072000,61456000,69616000
26.07,131072000,47737000,83335000
27.07,131072000,41494000,89578000
28.08,131072000,25719000,105353000
29.08,157696000,114969000,42727000
30.08,157696000,103547000,54149000
31.08,157696000,97189000,60507000
32.09,157696000,91742000,65954000
33.09,157696000,88172000,69524000
34.09,157696000,85783000,71913000
35.1,157696000,84609000,73087000
36.1,157696000,76010000,81686000
37.11,157696000,63113000,94583000
38.11,157696000,50982000,106714000
39.12,157696000,36888000,120808000
40.12,157696000,109491000,48205000
41.12,157696000,96816000,60880000
42.12,157696000,82509000,75187000
43.12,157696000,68361000,89335000
44.13,157696000,55446000,102250000
45.13,157696000,41715000,115981000
46.13,157696000,40915000,116781000
47.13,157696000,34774000,122922000
48.14,157696000,112005000,45691000
49.14,157696000,110615000,47081000
50.14,157696000,105627000,52069000
51.15,157696000,94599000,63097000
52.15,157696000,87429000,70267000
53.15,157696000,70023000,87673000
54.15,157696000,59783000,97913000
55.19,157696000,53639000,104057000
56.19,157696000,44423000,113273000
57.2,157696000,35207000,122489000
58.2,157696000,86039000,71657000
59.21,157696000,115316000,42380000
60.21,157696000,30327000,127369000
61.22,157696000,59965000,97731000
62.23,157696000,51459000,106237000
63.23,157696000,42142000,115554000
64.23,157696000,38723000,118973000
65.23,157696000,33421000,124275000
66.24,157696000,29358000,128338000
67.24,157696000,114901000,42795000
68.25,157696000,112016000,45680000
69.25,157696000,109137000,48559000
70.25,157696000,39159000,118537000
71.25,157696000,38748000,118948000
72.26,157696000,40053000,117643000
73.26,157696000,28222000,129474000
74.26,157696000,105078000,52618000
75.26,157696000,101783000,55913000
76.26,157696000,96477000,61219000
77.27,157696000,92384000,65312000
78.27,157696000,89474000,68222000
79.27,157696000,87708000,69988000
80.28,157696000,83897000,73799000
81.38,157696000,76107000,81589000
82.52,157696000,68939000,88757000
83.52,151552000,106466000,45086000
