"Name","Instance Count","Size (bytes)"
"byte[]",6434,1404544
"java.lang.String",4153,99672
"java.lang.Object[]",3669,122104
"java.util.concurrent.ConcurrentHashMap$Node",3580,114560
"java.util.HashMap$Node",2794,89408
"java.lang.Object",2007,32112
"java.util.ArrayList",1931,46344
"java.lang.Class[]",1416,34624
"net.bytebuddy.description.type.TypeDescription$Generic$OfNonGenericType$ForLoadedType",1281,30744
"java.lang.Class",1217,389440
"java.util.AbstractList$Itr",1203,38496
"org.mockito.internal.util.concurrent.WeakConcurrentMap$LatentKey",1078,25872
"net.bytebuddy.description.type.TypeDescription$ForLoadedType",949,15184
"java.util.LinkedHashMap$Entry",869,34760
"java.util.ArrayList$Itr",725,23200
"org.apache.derby.impl.store.raw.data.StoredRecordHeader",592,18944
"int[]",591,230248
"java.lang.reflect.Method",591,52008
"java.util.HashMap$Node[]",589,53184
"java.util.HashMap",551,26448
"java.lang.invoke.MethodType",547,21880
"java.lang.String[]",524,16272
"net.bytebuddy.description.type.TypeList$Generic$Explicit",427,10248
"java.lang.StackFrameInfo",421,20208
"org.apache.derby.impl.store.raw.data.RecordId",406,9744
"jdk.internal.net.http.hpack.QuickHuffman$ImmutableNode",388,9312
"java.util.LinkedHashMap",379,24256
"net.bytebuddy.description.type.TypeDescription$Generic$LazyProjection$ForLoadedReturnType",379,6064
"java.lang.ref.SoftReference",377,15080
"jdk.internal.util.WeakReferenceKey",377,12064
"java.util.Optional",373,5968
"java.util.LinkedList$Node",370,8880
"java.lang.invoke.BoundMethodHandle$Species_LL",366,14640
"net.bytebuddy.description.ByteCodeElement$Token$TokenList",352,8448
"net.bytebuddy.implementation.bytecode.StackManipulation$Size",347,8328
"java.util.Arrays$ArrayList",339,8136
"java.lang.StringBuilder",334,8016
"net.bytebuddy.description.type.TypeDescription$Generic$Visitor$Substitutor$ForAttachment",307,7368
"java.util.stream.ReferencePipeline$Head",305,17080
"net.bytebuddy.description.type.TypeDescription$Generic$LazyProjection$OfMethodParameter",253,6072
"java.util.HashSet",242,3872
"net.bytebuddy.description.type.TypeList$Explicit",240,5760
"java.util.LinkedHashMap$LinkedEntryIterator",234,7488
"java.lang.invoke.DirectMethodHandle",231,9240
"net.bytebuddy.description.method.ParameterList$ForLoadedExecutable$OfMethod",228,5472
"java.lang.Integer",227,3632
"java.util.concurrent.locks.ReentrantLock$NonfairSync",220,7040
"java.util.concurrent.locks.ReentrantLock",216,3456
"java.lang.invoke.LambdaForm$Name",209,6688
"sun.util.locale.LocaleObjectCache$CacheEntry",203,8120
"jdk.internal.util.StrongReferenceKey",202,3232
"net.bytebuddy.description.type.TypeDescription$Generic$AnnotationReader$Delegator$ForLoadedMethodReturnType",200,3200
"org.mockito.internal.debugging.LocationImpl$MetadataShim",198,3168
"java.util.LinkedList",194,6208
"net.bytebuddy.description.method.ParameterDescription$ForLoadedParameter$OfMethod",177,4248
"java.nio.StringCharBuffer",175,9800
"java.util.stream.ReferencePipeline$3$1",175,4200
"java.util.AbstractList$ListItr",173,5536
"org.apache.derby.impl.sql.GenericColumnDescriptor",173,6920
"java.util.stream.ReferencePipeline$2",169,9464
"net.bytebuddy.description.annotation.AnnotationList$Explicit",169,4056
"java.util.stream.Collectors$CollectorImpl",162,5184
"net.bytebuddy.jar.asm.SymbolTable$Entry",162,9072
"java.util.stream.ReferencePipeline$3",160,8960
"org.eclipse.persistence.internal.helper.NonSynchronizedVector",159,5088
